,Présentation du Sujet,Structure,Niveau de Langue,Voix Passive,Concision,Redondance,Langage Négatif,Métaphore,Discours,L'introduction,La conclusion,Persuasivité,Clarté du Langage,Créativité du discours,Global
Présentation du Sujet,0.9999999999999999,0.7358161190470126,0.4950223544787581,0.38491372733317697,0.42047181111095866,0.46362858162366477,0.0633316368065735,0.3143576031486621,0.5083337827475791,0.7220864972545689,0.573296479382389,0.6965739303191476,0.6003898572121866,0.4206452131304753,0.7725656056182213
Structure,0.7358161190470126,0.9999999999999999,0.594463242025058,0.4937167345980856,0.4860122760007951,0.5171548177628197,0.10757383658452059,0.225234368752374,0.5818572248609191,0.5928669705307279,0.7477818154886122,0.7668583086214383,0.6438815887491952,0.5772810836798654,0.8409249896840003
Niveau de Langue,0.4950223544787581,0.594463242025058,1.0,0.440187505957294,0.4704047446702942,0.4057278263000155,0.22955869205019816,0.18043658716575403,0.4367983209347732,0.5377222745219971,0.5125736819768894,0.5844625382360344,0.6498263381197799,0.5184902199102204,0.6765019889733668
Voix Passive,0.384913727333177,0.4937167345980857,0.440187505957294,1.0,0.6003250834309727,0.40154068560655665,0.037662094078763184,0.15216502300785717,0.3359653866501059,0.4529616130778175,0.49178585855964807,0.4530457350787683,0.4289644639708698,0.3660681642496735,0.5576873265508724
Concision,0.42047181111095866,0.4860122760007951,0.47040474467029414,0.6003250834309726,1.0,0.40144049866051346,0.018090710576691482,0.11458676637010812,0.3597116526239916,0.504779736000267,0.38248743946628116,0.48603420160176697,0.49997380901509736,0.41078608789510546,0.6025477943696393
Redondance,0.4636285816236648,0.5171548177628197,0.4057278263000155,0.40154068560655665,0.40144049866051346,0.9999999999999999,0.18952739443512281,0.03944313716823456,0.4271848054582946,0.4474242272223235,0.5581883196500224,0.5876695942368702,0.614976522479118,0.46130818633091875,0.6736257375213476
Langage Négatif,0.0633316368065735,0.1075738365845206,0.22955869205019816,0.037662094078763184,0.018090710576691482,0.18952739443512281,1.0,-0.022741802096286984,-0.05107643945143565,0.0857830292693604,0.17518448632273853,0.18383201755771442,0.1781816027645479,0.08733824676853133,0.1639174394550218
Métaphore,0.3143576031486621,0.225234368752374,0.18043658716575403,0.15216502300785717,0.11458676637010812,0.03944313716823456,-0.02274180209628698,0.9999999999999999,0.17093123624810957,0.15923498654638876,0.1657362896189931,0.3077460326304347,0.10468303520823236,0.3766930656248958,0.2869505633740002
Discours,0.508333782747579,0.5818572248609191,0.4367983209347732,0.33596538665010595,0.35971165262399163,0.4271848054582946,-0.05107643945143564,0.1709312362481096,1.0,0.46962705785480713,0.5319670280282247,0.5929589453015387,0.4693765903324072,0.5361985551458491,0.623547332009534
L'introduction,0.722086497254569,0.5928669705307279,0.5377222745219971,0.4529616130778175,0.5047797360002672,0.4474242272223235,0.08578302926936039,0.15923498654638876,0.4696270578548072,1.0,0.5220651305973107,0.6568364991883916,0.640135401475879,0.42473069827444787,0.7450564915211078
La conclusion,0.573296479382389,0.7477818154886122,0.5125736819768894,0.491785858559648,0.38248743946628116,0.5581883196500224,0.17518448632273853,0.16573628961899312,0.5319670280282247,0.5220651305973107,0.9999999999999999,0.8271638144183803,0.60721993429172,0.5816703041291215,0.8058260920123105
Persuasivité,0.6965739303191476,0.7668583086214384,0.5844625382360344,0.45304573507876833,0.4860342016017669,0.5876695942368702,0.18383201755771442,0.3077460326304347,0.5929589453015387,0.6568364991883916,0.8271638144183803,1.0,0.6631309329711055,0.5553027285064965,0.8887907127277369
Clarté du Langage,0.6003898572121866,0.6438815887491952,0.6498263381197799,0.42896446397086985,0.49997380901509736,0.614976522479118,0.1781816027645479,0.10468303520823236,0.4693765903324072,0.640135401475879,0.6072199342917202,0.6631309329711055,1.0,0.486893264114158,0.7952524309456739
Créativité du discours,0.4206452131304753,0.5772810836798654,0.5184902199102204,0.3660681642496734,0.4107860878951054,0.46130818633091875,0.08733824676853133,0.3766930656248958,0.5361985551458491,0.42473069827444787,0.5816703041291215,0.5553027285064966,0.48689326411415806,1.0,0.6493766612294801
Global,0.7725656056182213,0.8409249896840003,0.6765019889733668,0.5576873265508724,0.6025477943696395,0.6736257375213476,0.1639174394550218,0.2869505633740002,0.623547332009534,0.7450564915211076,0.8058260920123105,0.8887907127277369,0.7952524309456739,0.6493766612294801,0.9999999999999999
