,Présentation du Sujet,Structure,Niveau de Langue,Voix Passive,Concision,Redondance,Langage Négatif,Métaphore,Discours,L'introduction,La conclusion,Persuasivité,Clarté du Langage,Créativité du discours,Global
Présentation du Sujet,0.0,1.4445739280401734e-16,7.055403217214637e-07,0.000179692143790408,3.68880630942337e-05,4.184025974606925e-06,0.553171819341002,0.0025490253214172417,3.1390113076217686e-07,9.63816524741782e-16,3.5151371349702253e-09,2.466309197263296e-14,3.9791325014849637e-10,3.658803808147953e-05,4.758828810050878e-19
Structure,1.4445739280401734e-16,0.0,6.520471605436996e-10,7.624753145895046e-07,1.1975614106823784e-06,1.800332123596272e-07,0.31287792483502563,0.03281009195315987,1.804335649260913e-09,7.435467236381784e-10,2.503587752125389e-17,1.2376129074449912e-18,7.612829878760106e-12,2.5832841573426927e-09,3.418264291260838e-25
Niveau de Langue,7.055403217214637e-07,6.520471605436996e-10,0.0,1.4155981121257282e-05,2.8917005508251565e-06,7.268692683376936e-05,0.029518074716128603,0.08878488646079245,1.6760759823473486e-05,4.624926430699599e-08,2.4076452161288994e-07,1.4672513455477019e-09,4.217445351795918e-12,1.652736668434396e-07,2.516405148771281e-13
Voix Passive,0.00017969214379040746,7.624753145895046e-07,1.4155981121257282e-05,0.0,4.000887621772795e-10,8.762625789993098e-05,0.724519817956594,0.15221899770950753,0.001206498051504586,7.367546363723957e-06,8.547031569507652e-07,7.335287003644748e-06,2.4596808838280566e-05,0.0003877494592706947,1.1302811760358841e-08
Concision,3.68880630942337e-05,1.1975614106823784e-06,2.8917005508251565e-06,4.0008876217728963e-10,0.0,8.801636987826452e-05,0.8656091699968141,0.2821881282148639,0.0004974104679532839,3.90989146028688e-07,0.00019891827334722674,1.1960423686365125e-06,5.241135480070436e-07,5.780184082373428e-05,3.315863946234144e-10
Redondance,4.1840259746068945e-06,1.800332123596272e-07,7.268692683376936e-05,8.762625789993098e-05,8.801636987826452e-05,0.0,0.07359312359108208,0.7120505528851553,2.6801122195336935e-05,9.809976374539945e-06,1.089707912249308e-08,1.1346303651898815e-09,1.1291436328602872e-10,4.7397177628419715e-06,3.4584602469493884e-13
Langage Négatif,0.553171819341002,0.3128779248350256,0.029518074716128603,0.724519817956594,0.8656091699968141,0.07359312359108208,0.0,0.8315146674622713,0.632584306341367,0.4214449910983268,0.0986339201835513,0.08284365654272008,0.09291363427421998,0.4130448598994758,0.12264112830989679
Métaphore,0.0025490253214172417,0.03281009195315987,0.08878488646079245,0.15221899770950753,0.2821881282148639,0.7120505528851553,0.8315146674622713,0.0,0.10722169700686807,0.13384713423729203,0.11848794461872134,0.003170652744192583,0.32613459674950995,0.0002527689610472005,0.006104415218470448
Discours,3.1390113076218163e-07,1.804335649260913e-09,1.6760759823473486e-05,0.0012064980515045804,0.0004974104679532816,2.6801122195336935e-05,0.632584306341367,0.10722169700686807,0.0,3.018153637869391e-06,6.827097791087063e-08,7.379565129691965e-10,3.0599775788327584e-06,5.130861535421402e-08,5.224245915247416e-11
L'introduction,9.63816524741775e-16,7.435467236381784e-10,4.624926430699599e-08,7.367546363723957e-06,3.9098914602868515e-07,9.809976374539945e-06,0.4214449910983268,0.13384713423729203,3.018153637869374e-06,0.0,1.3121028181885476e-07,2.066396060868464e-12,1.0972950407807103e-11,3.0144727625464812e-05,3.7639223996935765e-17
La conclusion,3.5151371349702253e-09,2.503587752125389e-17,2.4076452161288994e-07,8.547031569507652e-07,0.00019891827334722674,1.089707912249308e-08,0.0986339201835513,0.11848794461872134,6.827097791087063e-08,1.3121028181885476e-07,0.0,9.611879663263152e-24,2.2238131467929988e-10,1.8311785573058571e-09,9.858116501070225e-22
Persuasivité,2.466309197263296e-14,1.2376129074449734e-18,1.4672513455477019e-09,7.335287003644748e-06,1.1960423686365125e-06,1.1346303651898815e-09,0.08284365654272008,0.003170652744192583,7.379565129691965e-10,2.066396060868464e-12,9.611879663263152e-24,0.0,1.0714453088946117e-12,1.3439892200350937e-08,1.447727626963778e-31
Clarté du Langage,3.9791325014849637e-10,7.612829878760106e-12,4.217445351795918e-12,2.4596808838280566e-05,5.241135480070436e-07,1.1291436328602872e-10,0.09291363427421998,0.32613459674950995,3.0599775788327584e-06,1.0972950407807103e-11,2.2238131467929828e-10,1.0714453088946117e-12,0.0,1.137938655250484e-06,7.949619676886221e-21
Créativité du discours,3.658803808147953e-05,2.5832841573426927e-09,1.652736668434396e-07,0.0003877494592706948,5.780184082373449e-05,4.7397177628419715e-06,0.4130448598994758,0.0002527689610472005,5.130861535421402e-08,3.0144727625464812e-05,1.8311785573058571e-09,1.3439892200350741e-08,1.1379386552504758e-06,0.0,4.412140956893397e-12
Global,4.758828810050878e-19,3.418264291260838e-25,2.516405148771281e-13,1.1302811760358841e-08,3.3158639462341197e-10,3.4584602469493884e-13,0.12264112830989679,0.006104415218470448,5.224245915247416e-11,3.763922399693711e-17,9.858116501070225e-22,1.447727626963778e-31,7.949619676886221e-21,4.412140956893397e-12,0.0
