Lexical_Feature,Criterion,Spearman_Coefficient,p_value
affect,Présentation du Sujet,0.1308602541967938,0.21892550784470288
affect,Structure,0.11623858738903746,0.2752619836598652
affect,Niveau de Langue,0.1345705293923216,0.20602788273988906
affect,Voix Passive,0.054964339910329105,0.6068760073765049
affect,Concision,0.12381430407096651,0.2449648466543987
affect,Redondance,0.08866503422252621,0.4059562161137782
affect,Langage Négatif,0.07916682031231242,0.45826352985825936
affect,Métaphore,0.10058260221696738,0.3455444265283739
affect,Discours,0.19069643122466154,0.07180115031977967
affect,L'introduction,0.12505344722180156,0.24023710905299814
affect,La conclusion,0.02027304449179782,0.8495771167206875
affect,Persuasivité,0.08780507532102648,0.41054255173850696
affect,Clarté du Langage,-0.03729502009175373,0.7270988182803342
affect,Créativité du discours,0.19193309295977365,0.06994392911018538
affect,Global,0.1143710414113622,0.28310117050184497
émopos,Présentation du Sujet,0.1214985731905155,0.2539712294157593
émopos,Structure,0.12654059530574824,0.23464706417771822
émopos,Niveau de Langue,0.1021067379456603,0.33824688814182535
émopos,Voix Passive,0.1408438021647614,0.18547146845495277
émopos,Concision,0.22011069444106984,0.037105296219565834
émopos,Redondance,0.178196399657006,0.09288605673998014
émopos,Langage Négatif,-0.006864062161517366,0.9488040474174025
émopos,Métaphore,0.024221425095011018,0.8207302754878261
émopos,Discours,0.1783027325360205,0.09268806997836086
émopos,L'introduction,0.16571804581823432,0.11852905758195563
émopos,La conclusion,-0.02507460551021674,0.814526748595523
émopos,Persuasivité,0.09817698088980693,0.3572615019355969
émopos,Clarté du Langage,-0.0131758680148148,0.9019049200553939
émopos,Créativité du discours,0.20303252408043157,0.0549524434059404
émopos,Global,0.13476707142802413,0.20536012861313105
émonég,Présentation du Sujet,0.09929446747154824,0.35178829450991667
émonég,Structure,0.07763245009561263,0.467048452528781
émonég,Niveau de Langue,0.189927236507532,0.0729762192581333
émonég,Voix Passive,-0.07428865799084372,0.48650711350109643
émonég,Concision,-0.03550274780586096,0.7397342215194518
émonég,Redondance,0.020862618609205567,0.8452561213584693
émonég,Langage Négatif,0.18533501818570117,0.08031694127446277
émonég,Métaphore,0.1378353082030015,0.19513558409630388
émonég,Discours,0.15819158779629344,0.13644705855796616
émonég,L'introduction,0.06269532843017499,0.5571741759418494
émonég,La conclusion,0.16010445059817413,0.13170953184144518
émonég,Persuasivité,0.13956562574962944,0.18953393276227073
émonég,Clarté du Langage,0.03614381790151219,0.7352065818834823
émonég,Créativité du discours,0.18113805668797026,0.0875305998537399
émonég,Global,0.11152251175212619,0.2953418258167381
anxiété,Présentation du Sujet,-0.11627969134970677,0.27509110032069956
anxiété,Structure,-0.09898181817418855,0.35331429837379125
anxiété,Niveau de Langue,-0.004505315449818513,0.9663839640548543
anxiété,Voix Passive,-0.18635478668226277,0.07863790841581457
anxiété,Concision,-0.04746319957467803,0.6568750094356854
anxiété,Redondance,-0.07732596991763196,0.4688141146199536
anxiété,Langage Négatif,0.11482698976045116,0.28117370988807483
anxiété,Métaphore,-0.016417271095690963,0.8779400228467757
anxiété,Discours,-0.043117216912731855,0.6865688512773219
anxiété,L'introduction,-0.17495757777331486,0.09907800674925939
anxiété,La conclusion,-0.04058362429520096,0.7041052062162041
anxiété,Persuasivité,0.020449996308602687,0.8482797622586791
anxiété,Clarté du Langage,-0.12286531360580659,0.2486286708945012
anxiété,Créativité du discours,-0.023163559664979644,0.8284373707617196
anxiété,Global,-0.0974409712312864,0.3608949419630181
colère,Présentation du Sujet,0.06541659628162586,0.5401553939264585
colère,Structure,0.020499867114859092,0.8479141981647653
colère,Niveau de Langue,0.1181069947073172,0.2675662383232739
colère,Voix Passive,0.023149417065821673,0.8285405186631315
colère,Concision,-0.10213750876443324,0.3381005669255519
colère,Redondance,-0.003154176031908849,0.9764618875516559
colère,Langage Négatif,0.19119116247155682,0.0710534525928149
colère,Métaphore,0.15270202626617393,0.1507605860494155
colère,Discours,0.07346379794817137,0.49137261411216615
colère,L'introduction,0.04785090278525906,0.6542508826702493
colère,La conclusion,0.0830029270115018,0.4367038998706386
colère,Persuasivité,0.05669141058875209,0.5956050934955667
colère,Clarté du Langage,-0.01317883142162538,0.9018829669526451
colère,Créativité du discours,0.0815513649496812,0.44479361681355645
colère,Global,0.053297789388629446,0.6178398438355739
tristesse,Présentation du Sujet,0.024336946466559664,0.8198896580691191
tristesse,Structure,0.059373998355273315,0.5782872045260897
tristesse,Niveau de Langue,0.13822184428537126,0.193873996649778
tristesse,Voix Passive,-0.023322478893554106,0.8272785065366564
tristesse,Concision,-0.03347632557003742,0.7541038175099413
tristesse,Redondance,0.08961608793900369,0.4009192397952841
tristesse,Langage Négatif,0.3060755553214384,0.0033477997209791404
tristesse,Métaphore,0.006521040425042183,0.9513592929063595
tristesse,Discours,0.0874713401737993,0.4123305453517445
tristesse,L'introduction,0.041473020068529286,0.6979310209849895
tristesse,La conclusion,0.10484796221597463,0.32536875910064367
tristesse,Persuasivité,0.09462494891744733,0.375005950255049
tristesse,Clarté du Langage,0.07432648873654348,0.48628458148821463
tristesse,Créativité du discours,0.10512637103137047,0.32407858010453483
tristesse,Global,0.0962447692954819,0.3668486031837851
