Lexical_Feature,Criterion,Spearman_Coefficient,p_value
cognition,Présentation du Sujet,0.1252488791828054,0.23949728131761894
cognition,Structure,0.15450774667622644,0.1459332940512346
cognition,Niveau de Langue,0.17105097390567273,0.10697222130865643
cognition,Voix Passive,0.12624362013971024,0.2357560657660397
cognition,Concision,0.10827981530665061,0.30969419493593847
cognition,Redondance,0.04824321695286288,0.6515998153139143
cognition,Langage Négatif,0.10067249734478778,0.34511129276193186
cognition,Métaphore,0.18479266013486076,0.08122151523556928
cognition,Discours,0.19355597193335122,0.06756568856376377
cognition,L'introduction,0.14641069802274975,0.16851505533598485
cognition,La conclusion,0.09557535853587555,0.37020645725846424
cognition,Persuasivité,0.1424371866206221,0.18049627119131648
cognition,Clarté du Langage,0.0586146371950488,0.5831657238915304
cognition,Créativité du discours,0.28330693189637646,0.006814203801211163
cognition,Global,0.17453260541420001,0.09991394513197012
perspicacité,Présentation du Sujet,-0.04129562069345465,0.6991609749934106
perspicacité,Structure,-0.019287894923341427,0.8568071473043957
perspicacité,Niveau de Langue,0.02068424821996215,0.8465629234634588
perspicacité,Voix Passive,0.05153012917705175,0.6295609501741619
perspicacité,Concision,-0.03772198008298582,0.7240993593947767
perspicacité,Redondance,0.029990261140038325,0.779018239644498
perspicacité,Langage Négatif,0.09106659813087194,0.3933084859433955
perspicacité,Métaphore,0.03113282155297346,0.7708265309419735
perspicacité,Discours,0.04040685138799524,0.705334665769366
perspicacité,L'introduction,-0.023919628640847092,0.8229273185919975
perspicacité,La conclusion,0.06487419722273056,0.5435270540443087
perspicacité,Persuasivité,0.08577913044232989,0.4214661726615727
perspicacité,Clarté du Langage,-0.006257564935775892,0.9533223158250979
perspicacité,Créativité du discours,0.14478419818737615,0.17334644204363364
perspicacité,Global,0.062303868191001636,0.5596433137020633
cause,Présentation du Sujet,-0.01870206474706831,0.861112211643474
cause,Structure,-0.03901112014669365,0.7150683507025238
cause,Niveau de Langue,-0.042247947391021244,0.6925674319931931
cause,Voix Passive,-0.03134723718688781,0.7692920207524921
cause,Concision,-0.06168602431268341,0.5635509487453274
cause,Redondance,0.06606495892915096,0.5361385847181263
cause,Langage Négatif,0.0036609386308286656,0.9726815119870343
cause,Métaphore,0.1630224028494656,0.12472547101234509
cause,Discours,0.1625226099513208,0.125901132728542
cause,L'introduction,0.12561734001139774,0.23810673338331861
cause,La conclusion,-0.015132346423547015,0.8874280324977135
cause,Persuasivité,0.046346370264366867,0.6644573315900645
cause,Clarté du Langage,-0.05046734932334966,0.6366527407340599
cause,Créativité du discours,0.10502376147213077,0.3245537032103579
cause,Global,0.04127061893969705,0.6993343808657675
divergence,Présentation du Sujet,0.09616537571207465,0.36724587378915485
divergence,Structure,0.25095965364521583,0.017039787946026647
divergence,Niveau de Langue,0.17184591589762094,0.10532738961727638
divergence,Voix Passive,0.12667666995370358,0.2341401323480575
divergence,Concision,0.11538345543544982,0.27883321448781745
divergence,Redondance,0.2925100944062447,0.00514724050439176
divergence,Langage Négatif,-0.0475920063057657,0.6560027317496395
divergence,Métaphore,-0.0020722347799500664,0.984534646139485
divergence,Discours,0.20768303143375047,0.04950854428984441
divergence,L'introduction,0.06660969790276876,0.5327752201494437
divergence,La conclusion,0.26139502336582016,0.012825552939437544
divergence,Persuasivité,0.22161401950989995,0.035798851451612816
divergence,Clarté du Langage,0.15448856880112438,0.1459839445382029
divergence,Créativité du discours,0.2596254906245783,0.013468847877946994
divergence,Global,0.20986935574356616,0.04710733670843664
tentative,Présentation du Sujet,-0.0904013881703452,0.3967880730740365
tentative,Structure,-0.029927454777903248,0.7794692459467827
tentative,Niveau de Langue,-0.10417706958856983,0.32849122393482655
tentative,Voix Passive,-0.0399365076656467,0.7086095944657074
tentative,Concision,0.00355036246442465,0.9735063456131514
tentative,Redondance,-0.024774971469647657,0.8167041249568621
tentative,Langage Négatif,-0.006406800833678981,0.9522103995245319
tentative,Métaphore,0.030386240870125925,0.7761764376583975
tentative,Discours,-0.12710146685825754,0.23256250463570197
tentative,L'introduction,-0.02375000592110766,0.8241627525939685
tentative,La conclusion,-0.12085048419871967,0.25653184484742036
tentative,Persuasivité,-0.07314822324073965,0.49324082441891703
tentative,Clarté du Langage,-0.10436599068133982,0.32761002293450414
tentative,Créativité du discours,-0.04816617592065476,0.6521200808336725
tentative,Global,-0.04438111701263077,0.6778816290459395
certitude,Présentation du Sujet,0.18554984747916428,0.0799608690581601
certitude,Structure,0.13490061934377906,0.20490728086214186
certitude,Niveau de Langue,0.03339644243848056,0.7546720327880033
