Lexical_Feature,Criterion,Spearman_Coefficient,p_value
perception,Présentation du Sujet,-0.21142624075335928,0.04545679238638501
perception,Structure,-0.15228748371867842,0.15188548928019976
perception,Niveau de Langue,-0.16764378982120295,0.11424966998662027
perception,Voix Passive,-0.17434073324787594,0.10029317242787072
perception,Concision,0.07677406010705727,0.47200285492892347
perception,Redondance,-0.22427130379192603,0.033583876413644985
perception,Langage Négatif,-0.3615147137154845,0.0004637240820096761
perception,Métaphore,-0.03175486621148396,0.766377191017916
perception,Discours,-0.03226161211503351,0.7627581375188998
perception,L'introduction,-0.20254408735935744,0.05555162688240064
perception,La conclusion,-0.17329871173730488,0.10237241344723828
perception,Persuasivité,-0.1637186955278641,0.12310163313676167
perception,Clarté du Langage,-0.08989025756375589,0.3994740612055112
perception,Créativité du discours,0.06396341327006763,0.5492117223733373
perception,Global,-0.18021204240156838,0.08918938520453963
