Lexical_Feature,Criterion,Spearman_Coefficient,p_value
ttr,Présentation du Sujet,-0.13404639558851783,0.20781620936867992
ttr,Structure,-0.2404677254047735,0.022430495763626355
ttr,Niveau de Langue,-0.09289497783583842,0.38383861530177954
ttr,Voix Passive,-0.036928101909927395,0.729679764396824
ttr,Concision,-0.03594505263482141,0.736609428384136
ttr,Redondance,-0.055196739807955864,0.6053539151691221
ttr,Langage Négatif,-0.0617757966686471,0.5629823699308933
ttr,Métaphore,-0.15994747622343108,0.13209352194830273
ttr,Discours,-0.08305318658062508,0.43642529810346564
ttr,L'introduction,-0.05474608688963137,0.6083069733295148
ttr,La conclusion,-0.18181395285481042,0.08633537176047547
ttr,Persuasivité,-0.1781505338778891,0.09297155956544072
ttr,Clarté du Langage,-0.11100608365559544,0.29759776315436154
ttr,Créativité du discours,-0.16852687205776368,0.11232770828567089
ttr,Global,-0.17537952693061484,0.09825345253508475
mtld,Présentation du Sujet,0.18962291006172904,0.0734453757043686
mtld,Structure,0.25997263545738175,0.013340482307597512
mtld,Niveau de Langue,0.12829958394219,0.22815287907981097
mtld,Voix Passive,0.1515757287379332,0.1538315418048135
mtld,Concision,0.24895072269684612,0.017975526665959297
mtld,Redondance,0.3055353439012159,0.0034069533421287363
mtld,Langage Négatif,-0.05262339361863372,0.6223006072152916
mtld,Métaphore,0.1255557343035475,0.23833883853813323
mtld,Discours,0.3260906822446918,0.0017095943881074221
mtld,L'introduction,0.26780419686875284,0.010713901943805568
mtld,La conclusion,0.2064376152431442,0.05092089138868443
mtld,Persuasivité,0.26832661725696133,0.010556006646301847
mtld,Clarté du Langage,0.15541862256872344,0.143542784915217
mtld,Créativité du discours,0.2198040855827773,0.03737659094916034
mtld,Global,0.27715552072643485,0.008178839576296648
