Lexical_Feature,Criterion,Spearman_Coefficient,p_value
negation_count,Présentation du Sujet,0.005346177008283765,0.9601146803304289
negation_count,Structure,0.03807467532532484,0.7216247555794646
negation_count,Niveau de Langue,0.11956088019174314,0.2616793684610296
negation_count,Voix Passive,0.05143976072992349,0.6301626748202969
negation_count,Concision,0.06656314254193832,0.5330622548595529
negation_count,Redondance,0.005687828621076275,0.9575680699111995
negation_count,Langage Négatif,0.14464641636677222,0.17376033852401304
negation_count,Métaphore,-0.1371081326139248,0.19752497577341993
negation_count,Discours,-0.11899858042337678,0.2639456338241012
negation_count,L'introduction,0.016183869891614962,0.8796622402139458
negation_count,La conclusion,0.0926600027337183,0.3850478996803052
negation_count,Persuasivité,0.021730520948582653,0.8389036068803675
negation_count,Clarté du Langage,0.1016669415707031,0.3403425715131809
negation_count,Créativité du discours,0.04936362550161679,0.6440525328683786
negation_count,Global,0.018469417427425132,0.8628229898359558
