Lexical_Feature,Criterion,Spearman_Coefficient,p_value
proportion_ADJ,Présentation du Sujet,0.13574707202424244,0.20205363309506755
proportion_ADJ,Structure,0.11433269401789443,0.28326367912403805
proportion_ADJ,Niveau de Langue,0.15534028918416962,0.14374719609737813
proportion_ADJ,Voix Passive,0.10649077868730286,0.3178031836651433
proportion_ADJ,Concision,0.0940787965757274,0.3777809944804733
proportion_ADJ,Redondance,0.05780469771207515,0.5883898715793516
proportion_ADJ,Langage Négatif,-0.05262404338241031,0.6222963027771218
proportion_ADJ,Métaphore,-0.14590987319016524,0.16999201022834295
proportion_ADJ,Discours,0.13114794852384137,0.2179055059610075
proportion_ADJ,L'introduction,0.17150996529203233,0.10602008934762004
proportion_ADJ,La conclusion,0.06287745578228295,0.55602718677476
proportion_ADJ,Persuasivité,0.17039742499283847,0.10833941814679143
proportion_ADJ,Clarté du Langage,0.056731519040821195,0.5953444628542843
proportion_ADJ,Créativité du discours,-0.11333365323394545,0.2875193044939237
proportion_ADJ,Global,0.17979090593681393,0.08995196048172557
proportion_ADV,Présentation du Sujet,0.15404405359464435,0.14716165782602608
proportion_ADV,Structure,0.12938614443786822,0.22420474483988104
proportion_ADV,Niveau de Langue,0.14612854904935574,0.16934595672160074
proportion_ADV,Voix Passive,0.034780976089421864,0.7448424490076329
proportion_ADV,Concision,0.1424483260056229,0.18046183585929307
proportion_ADV,Redondance,0.14385862740703723,0.17614079949164363
proportion_ADV,Langage Négatif,0.0796218102215303,0.4556761408106613
proportion_ADV,Métaphore,0.004473352761268026,0.9666223137271525
proportion_ADV,Discours,0.11621867653237132,0.27534478555222996
proportion_ADV,L'introduction,0.18433300804856356,0.0819944939209556
proportion_ADV,La conclusion,0.18019352701462646,0.08922280413906664
proportion_ADV,Persuasivité,0.14655163118712572,0.16810114877406596
proportion_ADV,Clarté du Langage,0.1827382676179181,0.0847218645413224
proportion_ADV,Créativité du discours,0.08471696125578687,0.4272595532876975
proportion_ADV,Global,0.15768278468900365,0.13772869821796851
proportion_INTJ,Présentation du Sujet,0.07116322310608027,0.5050772906071292
proportion_INTJ,Structure,-0.08326257292139422,0.4352656993926953
proportion_INTJ,Niveau de Langue,-0.11926101718709266,0.2628862713209957
proportion_INTJ,Voix Passive,-0.05044075723185224,0.6368306100694832
proportion_INTJ,Concision,-0.013811886485542225,0.8971949726142706
proportion_INTJ,Redondance,-0.012654497530694477,0.9057683979089668
proportion_INTJ,Langage Négatif,-0.14150523417203345,0.18339424229565746
proportion_INTJ,Métaphore,0.10088461504969788,0.3440906141451455
proportion_INTJ,Discours,0.09425433564205661,0.376887713228257
proportion_INTJ,L'introduction,-0.046002269673689436,0.6668003448519674
proportion_INTJ,La conclusion,-0.1723083717385594,0.10437962735034818
proportion_INTJ,Persuasivité,-0.046084614683358394,0.6662393580733525
proportion_INTJ,Clarté du Langage,-0.06215950989955417,0.5605551691930309
proportion_INTJ,Créativité du discours,0.060813115281258,0.5690937063221306
proportion_INTJ,Global,-0.02764907262577697,0.7958782935040847
proportion_NOUN,Présentation du Sujet,0.03799835114269985,0.7221600246674742
proportion_NOUN,Structure,0.03343789925010402,0.7543771307704793
proportion_NOUN,Niveau de Langue,0.04695001299472481,0.6603548579931271
proportion_NOUN,Voix Passive,0.07600287367688482,0.4764781019676969
proportion_NOUN,Concision,0.11049729961183834,0.2998313480656682
proportion_NOUN,Redondance,0.055196512630494646,0.6053554022361309
proportion_NOUN,Langage Négatif,0.04484446782591937,0.6747072992744907
proportion_NOUN,Métaphore,0.02506144747764075,0.8146223357717081
proportion_NOUN,Discours,-0.07803069217230825,0.46475956677220653
proportion_NOUN,L'introduction,0.033630410222873885,0.7530081704634408
proportion_NOUN,La conclusion,0.006800004866456556,0.9492811859941674
proportion_NOUN,Persuasivité,0.0054346066729823944,0.959455501920945
proportion_NOUN,Clarté du Langage,0.012939198735076507,0.9036584175512538
proportion_NOUN,Créativité du discours,-0.12951063992513553,0.22375546127501644
proportion_NOUN,Global,0.028230444489099223,0.7916824676612837
proportion_PRON,Présentation du Sujet,-0.05267735904044067,0.6219431500589107
proportion_PRON,Structure,-0.05516450680052299,0.6055649233099122
proportion_PRON,Niveau de Langue,-0.0887655141902561,0.40542230542613966
proportion_PRON,Voix Passive,-0.15157697644423687,0.15382811415357595
proportion_PRON,Concision,-0.15975578948809518,0.13256358062951254
proportion_PRON,Redondance,-0.11300119960683877,0.2889448140760931
proportion_PRON,Langage Négatif,-0.0768765469654275,0.4714098353709708
proportion_PRON,Métaphore,0.033416883064194734,0.7545266244999962
proportion_PRON,Discours,-0.09957818826051423,0.3504070436283768
proportion_PRON,L'introduction,-0.10181577764799106,0.339632435921854
proportion_PRON,La conclusion,-0.07151697983339743,0.5029571408816942
proportion_PRON,Persuasivité,-0.02377922154318599,0.8239499322472088
proportion_PRON,Clarté du Langage,-0.030384253658087522,0.776190691838715
proportion_PRON,Créativité du discours,0.08636260283693507,0.4183031141110535
proportion_PRON,Global,-0.11547967206737828,0.2784298518954153
proportion_PROPN,Présentation du Sujet,-0.16532273184925314,0.11942261231526019
proportion_PROPN,Structure,-0.08611860948779691,0.4196241505224244
proportion_PROPN,Niveau de Langue,-0.08580203501084076,0.4213417454176531
proportion_PROPN,Voix Passive,0.10640958230872487,0.3181744295211408
proportion_PROPN,Concision,0.04291532788332024,0.6879603175979054
proportion_PROPN,Redondance,0.04290647917251436,0.6880213287783925
proportion_PROPN,Langage Négatif,-0.10049123344880233,0.345985009403037
proportion_PROPN,Métaphore,-0.17996611700971019,0.08963407182182315
proportion_PROPN,Discours,0.049207786763446476,0.6451001572009893
proportion_PROPN,L'introduction,0.023211984808129495,0.828084207934777
proportion_PROPN,La conclusion,0.06174861198226293,0.5631545171216182
proportion_PROPN,Persuasivité,-0.13536738680357238,0.20333012540000323
proportion_PROPN,Clarté du Langage,-0.03165346170503286,0.767102001593796
proportion_PROPN,Créativité du discours,0.01311421274214108,0.9023616828665495
proportion_PROPN,Global,-0.00929281218451712,0.9307280383327472
proportion_VERB,Présentation du Sujet,-0.016186105756588243,0.8796457395786629
proportion_VERB,Structure,-0.010597227806773229,0.9210337949502923
proportion_VERB,Niveau de Langue,-0.08924990997964705,0.4028542105222521
proportion_VERB,Voix Passive,-0.06355042544733872,0.5517988539954157
proportion_VERB,Concision,-0.19703132942833823,0.06269253153152016
proportion_VERB,Redondance,0.005650036725956144,0.9578497435134756
proportion_VERB,Langage Négatif,-0.018761461029211165,0.8606755418070389
proportion_VERB,Métaphore,0.15189834028321647,0.15294717434944352
proportion_VERB,Discours,0.00426838367584447,0.9681508619965398
proportion_VERB,L'introduction,-0.0495367442349629,0.6428895583579042
proportion_VERB,La conclusion,-0.056820752638158015,0.5947647933374822
proportion_VERB,Persuasivité,0.05735272262336344,0.5913143390104418
proportion_VERB,Clarté du Langage,-0.055758970115893154,0.6016785867454864
proportion_VERB,Créativité du discours,0.10588310910714512,0.32058834059684843
proportion_VERB,Global,-0.016983567187898643,0.8737638203795586
proportion_AUX,Présentation du Sujet,0.03713937946398039,0.7281932432539682
proportion_AUX,Structure,-0.05162401541572661,0.6289360579285049
proportion_AUX,Niveau de Langue,0.10072217547098879,0.3448720790696198
proportion_AUX,Voix Passive,0.0725674168745346,0.49668896266412277
proportion_AUX,Concision,0.12824734199534496,0.22834392445680715
proportion_AUX,Redondance,-0.0543270526140142,0.6110584848263129
proportion_AUX,Langage Négatif,-0.1294993077745508,0.22379633092915294
proportion_AUX,Métaphore,-0.03969973069351438,0.7102602451266168
proportion_AUX,Discours,0.010829250690585835,0.91931059810451
