Lexical_Feature,Criterion,Spearman_Coefficient,p_value
narrative_words,Présentation du Sujet,0.09764203940903081,0.35990007929803913
narrative_words,Structure,0.1505493352355727,0.15667058346451726
narrative_words,Niveau de Langue,0.005654633018547087,0.9578154857776608
narrative_words,Voix Passive,-0.025924122261526156,0.8083611964585755
narrative_words,Concision,0.04867151661125017,0.6487105109989739
narrative_words,Redondance,0.1535009609486539,0.1486102184347393
narrative_words,Langage Négatif,-0.20121497520566764,0.05720922903974326
narrative_words,Métaphore,-0.06728547314675004,0.5286174365186728
narrative_words,Discours,0.0926222196140909,0.3852425614898858
narrative_words,L'introduction,0.10329154364252979,0.33264177108786885
narrative_words,La conclusion,0.08499128761350089,0.4257589462279916
narrative_words,Persuasivité,0.06005661934322975,0.5739178686713992
narrative_words,Clarté du Langage,0.11726168061478699,0.27102978907714576
narrative_words,Créativité du discours,0.0471058051295279,0.6592976850119682
narrative_words,Global,0.05339793319837323,0.6171786208027756
comparison_count,Présentation du Sujet,-0.04574319111461709,0.6685665469004031
comparison_count,Structure,0.11471513408704566,0.28164575236278133
comparison_count,Niveau de Langue,0.05191110794565393,0.627026836131671
comparison_count,Voix Passive,0.030864068000266566,0.7727511667706303
comparison_count,Concision,0.0642430907070466,0.5474630499697091
comparison_count,Redondance,0.0021999661284480315,0.9835814991214913
comparison_count,Langage Négatif,-0.14453581123723447,0.17409312095845209
comparison_count,Métaphore,0.1496038553418153,0.1593202004005535
comparison_count,Discours,0.011491517180129916,0.9143941259255264
comparison_count,L'introduction,-0.01363618188399437,0.898495780118433
comparison_count,La conclusion,0.17093960400462407,0.10720424791766624
comparison_count,Persuasivité,0.1288764434454214,0.22605077940680499
comparison_count,Clarté du Langage,0.13656436137914899,0.19932542857619226
comparison_count,Créativité du discours,0.15873887136389342,0.13507860984038098
comparison_count,Global,0.09029978781699652,0.39732112764482375
