Lexical_Feature,Criterion,Spearman_Coefficient,p_value
Relative,Redondance,-0.0013039673373146845,0.9902679627686948
Exclamatory,Discours,-0.005586018289495144,0.9583269026744923
Interrogative,Présentation du Sujet,-0.008024742101421085,0.9401618722931644
Interrogative,Langage Négatif,-0.00824308571176922,0.9385368756079386
Imperative,Clarté du Langage,-0.009010348267792696,0.9328286529900544
Relative,Niveau de Langue,-0.010037218335858267,0.9251943817717366
Passive,La conclusion,-0.010049403437928884,0.9251038308174453
Conditional,L'introduction,-0.013114228588675081,0.9023615654660558
Relative,Concision,-0.015089288926687506,0.8877462556759305
Passive,Global,-0.015342289183993493,0.8858766740326646
Relative,Voix Passive,-0.017606707261440303,0.8691724123319744
Interrogative,Structure,-0.018411440168616518,0.8632494258916185
Interrogative,Persuasivité,-0.021154253359892752,0.8431204087364271
Relative,Discours,-0.021718449977164468,0.8389918892955371
Exclamatory,Créativité du discours,-0.024629473231963125,0.8177619323094627
Interrogative,Global,-0.02473664291333334,0.8169827510702605
Imperative,Langage Négatif,-0.027892650464268223,0.7941196513661994
Relative,Métaphore,-0.02818100087896897,0.7920390788975263
Cleft,Concision,-0.02884883263377495,0.7872259942728879
Cleft,Niveau de Langue,-0.029143728565356804,0.7851031979793549
Nominal,Redondance,-0.03216638147886885,0.7634378649067215
Passive,Redondance,-0.03260039124494346,0.7603414954339691
Nominal,L'introduction,-0.03373988912388261,0.7522299976142646
Declarative,Clarté du Langage,-0.034671823962411155,0.7456159235549538
Exclamatory,Métaphore,-0.036113816770168033,0.7354182685304459
Declarative,Voix Passive,-0.04079871626244647,0.7026102613918457
Passive,Persuasivité,-0.04460061042903238,0.6763772159075326
Nominal,Présentation du Sujet,-0.04842507817851333,0.6503723503417991
Imperative,Voix Passive,-0.050542155747109505,0.6361524854991887
Passive,L'introduction,-0.053069804377509855,0.6193463032467994
Nominal,Créativité du discours,-0.06067484843708061,0.5699740086844997
Interrogative,Voix Passive,-0.061021039697763894,0.5677711184011898
Passive,Clarté du Langage,-0.06490543062469847,0.543332622050754
Imperative,Persuasivité,-0.06554688713012201,0.5393470148738657
Imperative,Global,-0.07179319412970209,0.5013049410770956
Passive,Discours,-0.07316029894833584,0.49316926718636356
Nominal,Discours,-0.07534314280314708,0.4803246225637172
Imperative,Présentation du Sujet,-0.07703152477489034,0.4705138550840128
Cleft,Métaphore,-0.08014948236473611,0.45268557546714894
Exclamatory,Langage Négatif,-0.08086747282630714,0.44863394346957597
Passive,Créativité du discours,-0.08639037154580104,0.41815292058530806
