MC_Criterion,Likert_Criterion,Kruskal_Stat,p_value
Présentation du Sujet,L'introduction,46.96647270427098,6.329363453297563e-11
Présentation du Sujet,La conclusion,29.34393896045281,4.246631883449626e-07
Présentation du Sujet,Persuasivité,43.76076666901174,3.1439110916649525e-10
Présentation du Sujet,Clarté du Langage,34.243624205423764,3.665147724107405e-08
Présentation du Sujet,Créativité du discours,16.11999367026471,0.0003159278051696622
Structure,L'introduction,33.24441693990613,6.040412316870195e-08
Structure,La conclusion,50.20084197495975,1.2561042113882401e-11
Structure,Persuasivité,52.4825400211428,4.0138509026708895e-12
Structure,Clarté du Langage,36.952207711629256,9.460847635695934e-09
Structure,Créativité du discours,29.95682988064618,3.1257701806643845e-07
Niveau de Langue,L'introduction,26.062566167741352,2.1907139036158393e-06
Niveau de Langue,La conclusion,25.468235787721152,2.948783357521871e-06
Niveau de Langue,Persuasivité,30.413964910680214,2.4870896102063584e-07
Niveau de Langue,Clarté du Langage,37.58637501399516,6.890049917702116e-09
Niveau de Langue,Créativité du discours,25.240959251473544,3.303659958482635e-06
Voix Passive,L'introduction,18.320980620678785,0.0001051113482325035
Voix Passive,La conclusion,21.609955670382146,2.029821036441805e-05
Voix Passive,Persuasivité,18.718989937720135,8.614359292938484e-05
Voix Passive,Clarté du Langage,17.909618614121495,0.0001291147121771078
Voix Passive,Créativité du discours,13.233259811097462,0.001337932314603278
Concision,L'introduction,22.72660143380783,1.1613983439731179e-05
Concision,La conclusion,13.020401500043377,0.0014881809407140264
Concision,Persuasivité,21.024823095085768,2.7196791598888546e-05
Concision,Clarté du Langage,22.612984925723705,1.2292853719299195e-05
Concision,Créativité du discours,17.11597925408147,0.00019200490737069872
Redondance,L'introduction,18.924003254309664,7.775080702975855e-05
Redondance,La conclusion,27.829854377536137,9.053654263101229e-07
Redondance,Persuasivité,30.94323290246072,1.9088084509757755e-07
Redondance,Clarté du Langage,33.87848636491597,4.3992653518459974e-08
Redondance,Créativité du discours,18.983669863141245,7.546550212934883e-05
Langage Négatif,L'introduction,4.1377637642103124,0.126326951192996
Langage Négatif,La conclusion,3.9733551141186503,0.13715034349798141
Langage Négatif,Persuasivité,6.937671313723096,0.031153282662989362
Langage Négatif,Clarté du Langage,6.354441248976991,0.04170139804466163
Langage Négatif,Créativité du discours,4.177012574414072,0.12387202692728137
Métaphore,L'introduction,16.725971206254638,0.00023334661235222792
Métaphore,La conclusion,8.889502820289273,0.011740024119121614
Métaphore,Persuasivité,13.513703736370507,0.0011628843305862874
Métaphore,Clarté du Langage,7.546301453571219,0.02297954683371888
Métaphore,Créativité du discours,14.722434094652726,0.0006354246468831138
Discours,L'introduction,27.35369346754763,1.1487378572054041e-06
Discours,La conclusion,26.422796782154943,1.8296270840626726e-06
Discours,Persuasivité,34.403612862200006,3.383376965191893e-08
Discours,Clarté du Langage,22.023840477970886,1.650379441441632e-05
Discours,Créativité du discours,25.58832906002758,2.776930074981279e-06
