ID,PCA_Outlier
PES04,True
SEN01,True
UCA11,False
UPS10,False
SPC08,False
LRE11,False
SOU15,False
UCA07,False
BRE16,False
SPC09,False
ALS08,False
PES08,False
LYO02,False
UCA05,True
CVL01,False
BOD07,False
ALS03,False
GRE03,False
PES06,False
OCM10,False
LOR02,False
UPL02,False
NOR10,False
BRE14,False
LYO05,False
GRE07,True
POF03,False
BFC09,False
BFC10,False
GRE01,False
OCM08,False
LYO01,False
BOD11,False
LRE02,False
OCM07,False
SPC05,False
BOD04,False
POF05,False
SPC03,False
SOU01,False
OCM11,False
NOR04,False
SPC04,False
LDV05,False
ALS05,False
LYO10,False
OCM14,False
SOU07,False
BRE04,False
HES06,False
UCA02,False
PES07,False
UCA14,True
CFE05,False
PES03,False
ALS04,False
SOU14,False
CVL03,False
NOR12,False
OCM18,False
BFC02,False
CFE09,False
LDV08,False
SOU10,False
SOU09,False
ALS09,False
ALS11,False
GRE13,False
HES08,False
LDV09,False
LDV07,False
ALS10,False
OCM13,False
HES02,False
HES03,False
NOR05,False
LOR03,False
CVL02,False
UPS04,False
HES05,False
SEN02,False
BOD12,False
LYO11,False
BOD01,False
SOU13,False
CFE02,False
HES01,False
LOR08,False
LRE09,False
BFC06,False
