MC_Criterion,Likert_Criterion,Spearman_Coefficient,p_value,p_adj
Présentation du Sujet,L'introduction,0.7220864972545689,9.63816524741782e-16,1.445724787112673e-14
Présentation du Sujet,La conclusion,0.573296479382389,3.5151371349702253e-09,1.1298655076690009e-08
Présentation du Sujet,Persuasivité,0.6965739303191476,2.466309197263296e-14,2.774597846921208e-13
Présentation du Sujet,Clarté du Langage,0.6003898572121866,3.9791325014849637e-10,2.238262032085292e-09
Présentation du Sujet,Créativité du discours,0.4206452131304753,3.658803808147953e-05,5.145192855208058e-05
Structure,L'introduction,0.5928669705307279,7.435467236381784e-10,3.345960256371803e-09
Structure,La conclusion,0.7477818154886122,2.503587752125389e-17,5.633072442282125e-16
Structure,Persuasivité,0.7668583086214383,1.2376129074449912e-18,5.56925808350246e-17
Structure,Clarté du Langage,0.6438815887491952,7.612829878760106e-12,5.7096224090700794e-11
Structure,Créativité du discours,0.5772810836798654,2.5832841573426927e-09,8.942137467724707e-09
Niveau de Langue,L'introduction,0.5377222745219971,4.624926430699599e-08,1.3007605586342623e-07
Niveau de Langue,La conclusion,0.5125736819768894,2.4076452161288994e-07,5.417201736290024e-07
Niveau de Langue,Persuasivité,0.5844625382360344,1.4672513455477019e-09,5.502192545803882e-09
Niveau de Langue,Clarté du Langage,0.6498263381197799,4.217445351795918e-12,3.795700816616326e-11
Niveau de Langue,Créativité du discours,0.5184902199102204,1.652736668434396e-07,3.914376319976201e-07
Voix Passive,L'introduction,0.4529616130778175,7.367546363723957e-06,1.1432399529916485e-05
Voix Passive,La conclusion,0.49178585855964807,8.547031569507652e-07,1.6722453070775842e-06
Voix Passive,Persuasivité,0.4530457350787683,7.335287003644748e-06,1.1432399529916485e-05
Voix Passive,Clarté du Langage,0.4289644639708698,2.4596808838280566e-05,3.570504508782663e-05
Voix Passive,Créativité du discours,0.3660681642496735,0.0003877494592706947,0.00048468682408836836
Concision,L'introduction,0.504779736000267,3.90989146028688e-07,8.378338843471886e-07
Concision,La conclusion,0.38248743946628116,0.00019891827334722674,0.000263274185312506
Concision,Persuasivité,0.48603420160176697,1.1960423686365125e-06,2.242579441193461e-06
Concision,Clarté du Langage,0.49997380901509736,5.241135480070436e-07,1.0720504391053164e-06
Concision,Créativité du discours,0.41078608789510546,5.780184082373428e-05,7.882069203236493e-05
Redondance,L'introduction,0.4474242272223235,9.809976374539945e-06,1.4714964561809917e-05
Redondance,La conclusion,0.5581883196500224,1.089707912249308e-08,3.269123736747924e-08
Redondance,Persuasivité,0.5876695942368702,1.1346303651898815e-09,4.6416696757767884e-09
Redondance,Clarté du Langage,0.614976522479118,1.1291436328602872e-10,7.258780496958989e-10
Redondance,Créativité du discours,0.46130818633091875,4.7397177628419715e-06,7.89952960473662e-06
Langage Négatif,L'introduction,0.0857830292693604,0.4214449910983268,0.4214449910983268
Langage Négatif,La conclusion,0.17518448632273853,0.0986339201835513,0.11096316020649521
Langage Négatif,Persuasivité,0.18383201755771442,0.08284365654272008,0.09810433011637903
Langage Négatif,Clarté du Langage,0.1781816027645479,0.09291363427421998,0.10720803954717689
Langage Négatif,Créativité du discours,0.08733824676853133,0.4130448598994758,0.4214449910983268
Métaphore,L'introduction,0.15923498654638876,0.13384713423729203,0.14340764382567003
Métaphore,La conclusion,0.1657362896189931,0.11848794461872134,0.13004774409371855
Métaphore,Persuasivité,0.3077460326304347,0.003170652744192583,0.0038561992834774657
Métaphore,Clarté du Langage,0.10468303520823236,0.32613459674950995,0.34130364776111505
Métaphore,Créativité du discours,0.3766930656248958,0.0002527689610472005,0.00032498866420354347
Discours,L'introduction,0.46962705785480713,3.018153637869391e-06,5.296115040287467e-06
Discours,La conclusion,0.5319670280282247,6.827097791087063e-08,1.7067744477717656e-07
Discours,Persuasivité,0.5929589453015387,7.379565129691965e-10,3.345960256371803e-09
Discours,Clarté du Langage,0.4693765903324072,3.0599775788327584e-06,5.296115040287467e-06
Discours,Créativité du discours,0.5361985551458491,5.130861535421402e-08,1.3581692299644888e-07
