,Présentation du Sujet,Structure,Niveau de Langue,Voix Passive,Concision,Redondance,Langage Négatif,Métaphore,Discours,L'introduction,La conclusion,Persuasivité,Clarté du Langage,Créativité du discours,Global
Présentation du Sujet,1.0,0.5293787899287257,-0.007585341080633831,0.4976433490174631,0.4014270209502382,0.2750287686996548,-0.1034918909728757,0.09068882813425953,0.2608459617987922,0.4001177916702786,0.36624946958987076,0.29547882972249057,0.3685691438784854,0.24823436214720054,0.5084614731656181
Structure,0.5293787899287257,0.9999999999999998,0.15199211913146968,0.4330135890851594,0.5105418389531851,0.6139256747086311,0.016109486985446064,0.23004621883660809,0.3972761600636274,0.4879581448266489,0.35701354309371264,0.33290095153057003,0.4961357148307351,0.17131427902426857,0.44700607322826375
Niveau de Langue,-0.007585341080633831,0.15199211913146965,1.0,0.16609095970747995,0.19879808020131717,0.3337550075478886,0.16765526764779412,0.28228974476590546,0.224316646515957,0.2086333927298875,0.22597665322050844,0.14290790125409464,0.2867975051996863,0.5460121001252135,0.25087267667117236
Voix Passive,0.49764334901746315,0.4330135890851594,0.16609095970747995,1.0,0.4326570445821967,0.49764334901746315,0.1056228508068972,0.06435302399338069,0.2767911470738828,0.2942161168205766,0.2835612438029934,0.309457515524222,0.41663760714886433,0.20618214397878717,0.47216025985907084
Concision,0.40142702095023813,0.5105418389531851,0.19879808020131715,0.4326570445821967,1.0,0.5886209685436136,-0.11255161566827025,0.3005137131942231,0.3517884444049499,0.38318675000414104,0.2808835516858257,0.3096954403405467,0.45982292800181374,0.27016933103634566,0.3894480346797917
Redondance,0.2750287686996548,0.6139256747086311,0.3337550075478886,0.4976433490174631,0.5886209685436135,1.0,0.054377095256934696,0.1058036328233028,0.33468543406183493,0.4001177916702786,0.298309802523093,0.29547882972249057,0.508805208378592,0.24823436214720054,0.42791312098096573
Langage Négatif,-0.10349189097287571,0.016109486985446064,0.16765526764779412,0.1056228508068972,-0.11255161566827027,0.05437709525693469,1.0,0.046079379517684725,-0.05994747895461714,0.05006680029698932,0.07380230710002042,-0.08794834931183675,0.05618146515514089,-0.10239499627837659,0.04911235263967762
Métaphore,0.09068882813425953,0.23004621883660809,0.28228974476590546,0.06435302399338069,0.30051371319422304,0.1058036328233028,0.046079379517684725,1.0,0.12158441707291749,0.014235335020273163,0.010219155170616794,0.11210206892373045,0.11448888117095453,0.2705180605284964,0.07939775816798612
Discours,0.2608459617987922,0.3972761600636274,0.22431664651595704,0.2767911470738828,0.3517884444049499,0.33468543406183493,-0.05994747895461715,0.12158441707291748,1.0,0.32719789275492867,0.3188070757315961,0.18614063942686188,0.46274119714013057,0.3298716906277404,0.2558191971216597
L'introduction,0.40011779167027856,0.48795814482664895,0.20863339272988754,0.29421611682057663,0.3831867500041411,0.40011779167027856,0.050066800296989324,0.014235335020273162,0.32719789275492867,0.9999999999999999,0.5400805455649099,0.4635525346505533,0.5108885147370418,0.38652148477235804,0.45853673068451467
La conclusion,0.3662494695898707,0.35701354309371264,0.22597665322050844,0.2835612438029934,0.2808835516858257,0.29830980252309297,0.07380230710002042,0.010219155170616794,0.3188070757315961,0.54008054556491,1.0,0.4342416784046601,0.5295427386741753,0.4061386934766722,0.5383994174400657
Persuasivité,0.29547882972249057,0.33290095153057003,0.14290790125409464,0.30945751552422207,0.3096954403405467,0.29547882972249057,-0.08794834931183675,0.11210206892373045,0.18614063942686188,0.46355253465055324,0.43424167840466016,1.0,0.3605773860967518,0.33500970227042065,0.5242691469796286
Clarté du Langage,0.3685691438784854,0.4961357148307351,0.2867975051996863,0.41663760714886433,0.45982292800181374,0.508805208378592,0.056181465155140886,0.11448888117095454,0.4627411971401305,0.5108885147370418,0.5295427386741753,0.3605773860967518,1.0,0.3774863718297071,0.4715053295335762
Créativité du discours,0.24823436214720054,0.17131427902426857,0.5460121001252135,0.20618214397878717,0.27016933103634566,0.24823436214720054,-0.10239499627837659,0.2705180605284965,0.3298716906277404,0.386521484772358,0.40613869347667214,0.3350097022704206,0.3774863718297071,1.0,0.35796832173967186
Global,0.508461473165618,0.44700607322826375,0.25087267667117236,0.47216025985907084,0.3894480346797917,0.4279131209809657,0.04911235263967762,0.07939775816798612,0.25581919712165974,0.4585367306845146,0.5383994174400657,0.5242691469796286,0.4715053295335762,0.35796832173967186,1.0
