,Présentation du Sujet,Structure,Niveau de Langue,Voix Passive,Concision,Redondance,Langage Négatif,Métaphore,Discours,L'introduction,La conclusion,Persuasivité,Clarté du Langage,Créativité du discours,Global
Présentation du Sujet,0.0,8.114783610663958e-08,0.9434327983401369,6.031690981101745e-07,8.806897280205661e-05,0.008703669559447517,0.33169982244033414,0.39528229479955745,0.013022237406806641,9.332024663774806e-05,0.000384975694798334,0.004692811552138757,0.00035105935115311025,0.018319734993665432,3.114197765615326e-07
Structure,8.114783610663958e-08,0.0,0.15269081508359192,2.0197075105585684e-05,2.7352275410847767e-07,1.2390728219299314e-10,0.8802112136918792,0.029165087129827606,0.00010573304422009875,1.0696155785168329e-06,0.0005520222944018558,0.0013459617229585861,6.601923214106885e-07,0.1064252101238572,1.002236324457336e-05
Niveau de Langue,0.9434327983401369,0.1526908150835919,0.0,0.11769086653323534,0.06032697925924683,0.001305693483724084,0.1142245272218436,0.007024943122941444,0.033547104269127694,0.04845266014545391,0.032223982940691044,0.17904532217150948,0.0061328600130978045,2.6053433489103202e-08,0.017079413292514237
Voix Passive,6.031690981101732e-07,2.0197075105585684e-05,0.11769086653323534,0.0,2.055270684923726e-05,6.031690981101732e-07,0.32178597393994174,0.5467764381801361,0.008266731727627034,0.004881542669496603,0.0067623962890251185,0.0029979108716159724,4.413830616802253e-05,0.05121466576976403,2.624373247874764e-06
Concision,8.806897280205709e-05,2.7352275410847767e-07,0.06032697925924683,2.055270684923726e-05,0.0,1.0507488305736844e-09,0.2908799927396236,0.00400320522284392,0.0006736729996009747,0.00019319063460974614,0.007325741373945893,0.00297457708227437,5.131109898827344e-06,0.01001519377256442,0.00014828774304962626
Redondance,0.008703669559447517,1.2390728219299314e-10,0.001305693483724084,6.031690981101745e-07,1.0507488305736922e-09,0.0,0.610729604038464,0.32095376338259324,0.0012630705502369476,9.332024663774806e-05,0.004293083966311532,0.004692811552138757,3.0483225133653225e-07,0.018319734993665432,2.587759940832179e-05
Langage Négatif,0.33169982244033414,0.8802112136918792,0.1142245272218436,0.32178597393994174,0.29087999273962356,0.610729604038464,0.0,0.6662750179066285,0.5746154236107526,0.6393341101931098,0.4893727904975844,0.4097763491494414,0.5989232432364371,0.3368777301747856,0.6457420542799432
Métaphore,0.39528229479955745,0.029165087129827606,0.007024943122941444,0.5467764381801361,0.004003205222843936,0.32095376338259324,0.6662750179066285,0.0,0.2536333741356458,0.8940611454440175,0.9238424571786888,0.2928235584633809,0.2826021776365171,0.009915621316771421,0.45694924569856354
Discours,0.013022237406806641,0.00010573304422009875,0.033547104269127694,0.008266731727627034,0.0006736729996009747,0.0012630705502369476,0.5746154236107526,0.2536333741356458,0.0,0.0016450057910923257,0.002194772094953999,0.07898814986133838,4.38886990510711e-06,0.0014980327421809418,0.01494819511935055
L'introduction,9.332024663774835e-05,1.0696155785168293e-06,0.04845266014545385,0.004881542669496603,0.00019319063460974557,9.332024663774835e-05,0.6393341101931098,0.8940611454440175,0.0016450057910923257,0.0,3.934454830839693e-08,4.201221615552695e-06,2.6764941766527523e-07,0.00016791409519323051,5.494420624591496e-06
La conclusion,0.000384975694798334,0.0005520222944018558,0.032223982940691044,0.0067623962890251185,0.007325741373945893,0.004293083966311541,0.4893727904975844,0.9238424571786888,0.002194772094953999,3.9344548308396643e-08,0.0,1.901571322878662e-05,8.026794799930554e-08,7.135631450202544e-05,4.4156752736388716e-08
Persuasivité,0.004692811552138757,0.0013459617229585861,0.17904532217150948,0.0029979108716159724,0.00297457708227437,0.004692811552138757,0.4097763491494414,0.2928235584633809,0.07898814986133838,4.2012216155527354e-06,1.9015713228786557e-05,0.0,0.00048096576115156623,0.0012485150658212716,1.1365643759878083e-07
Clarté du Langage,0.00035105935115311025,6.601923214106885e-07,0.0061328600130978045,4.413830616802253e-05,5.131109898827344e-06,3.0483225133653225e-07,0.5989232432364372,0.2826021776365171,4.38886990510711e-06,2.6764941766527523e-07,8.026794799930554e-08,0.00048096576115156623,0.0,0.00024467658896870425,2.7212564620666377e-06
Créativité du discours,0.018319734993665432,0.1064252101238572,2.6053433489103202e-08,0.05121466576976403,0.01001519377256442,0.018319734993665432,0.3368777301747856,0.009915621316771409,0.0014980327421809418,0.00016791409519323084,7.135631450202564e-05,0.0012485150658212716,0.00024467658896870425,0.0,0.0005320988116865749
Global,3.114197765615343e-07,1.002236324457336e-05,0.017079413292514237,2.624373247874764e-06,0.00014828774304962626,2.5877599408321938e-05,0.6457420542799432,0.45694924569856354,0.014948195119350513,5.4944206245915065e-06,4.4156752736388716e-08,1.1365643759878083e-07,2.7212564620666377e-06,0.0005320988116865749,0.0
