Lexical_Feature,Criterion,Spearman_Coefficient,p_value
affect,Présentation du Sujet,0.0731255507272382,0.4933751900935055
affect,Structure,-0.003440263184891136,0.9743276496121892
affect,Niveau de Langue,0.31589450945595066,0.0024212391492979333
affect,Voix Passive,0.19895608797436484,0.06011900950614544
affect,Concision,0.09086799015316066,0.3943454593659216
affect,Redondance,0.04439765579868033,0.6777682277345566
affect,Langage Négatif,0.17516118803927205,0.0986794455681066
affect,Métaphore,0.07759489435012147,0.4672646197601771
affect,Discours,-0.048998629368042286,0.6465073042570836
affect,L'introduction,0.1263842035535287,0.23523062823658863
affect,La conclusion,-0.03909378785791352,0.7144905458586229
affect,Persuasivité,0.02627691105150628,0.8058041652942427
affect,Clarté du Langage,-0.007877316797737156,0.9412592067134395
affect,Créativité du discours,0.10558958303710568,0.3219392692286517
affect,Global,0.14898589835698492,0.1610698809025564
émopos,Présentation du Sujet,0.07377724276001228,0.48952071626211413
émopos,Structure,-0.005741753177643743,0.957166164079163
émopos,Niveau de Langue,0.2896369274110581,0.0056238329052952125
émopos,Voix Passive,0.07028871815713898,0.5103382032537005
émopos,Concision,0.06667476516979153,0.5323741800430343
émopos,Redondance,0.056801947965673186,0.5948869291159542
émopos,Langage Négatif,0.16371330139594695,0.12311415022515608
émopos,Métaphore,0.09118758656080385,0.39267757676615755
émopos,Discours,-0.1448228705278978,0.17323040062622214
émopos,L'introduction,0.09505953531682584,0.3728066521593624
émopos,La conclusion,-0.053999836170727115,0.6132108534253033
émopos,Persuasivité,-0.06835852317692592,0.522048906624901
émopos,Clarté du Langage,-0.01586771503680213,0.8819959700603961
émopos,Créativité du discours,0.08645583199081802,0.41779898606635535
émopos,Global,0.12056030860778888,0.2576840266030969
émonég,Présentation du Sujet,0.06659730605450123,0.5328516139529529
émonég,Structure,0.11236716676771002,0.2916764030841915
émonég,Niveau de Langue,0.1902276530273426,0.0725154572908522
émonég,Voix Passive,0.27520613076633343,0.008658797545505212
émonég,Concision,0.08732875720096146,0.4130958180687113
émonég,Redondance,0.09075515236838894,0.3949353323820154
émonég,Langage Négatif,0.1487893237105779,0.161629441219922
émonég,Métaphore,0.06543080482550606,0.5400672092294339
émonég,Discours,0.0649983648658385,0.5427542956572126
émonég,L'introduction,0.07100493037277943,0.5060274737421359
émonég,La conclusion,-0.013484347963441638,0.8996200800299363
émonég,Persuasivité,0.04653627869080198,0.6631656041805577
émonég,Clarté du Langage,-0.02357557016506601,0.8254336886869198
émonég,Créativité du discours,0.03906722588132963,0.7146761829126609
émonég,Global,0.022489074473440555,0.8333598804393633
anxiété,Présentation du Sujet,-0.2423903822406722,0.021345685477648712
anxiété,Structure,-0.05956546582279081,0.5770601049910222
anxiété,Niveau de Langue,-0.03717768625879109,0.7279238290645358
anxiété,Voix Passive,0.04533144262812884,0.6713772473126522
anxiété,Concision,-0.04004895527109365,0.7078261552377844
anxiété,Redondance,-0.06244405969081028,0.5587584556478717
anxiété,Langage Négatif,0.06908536263816505,0.5176232085215874
anxiété,Métaphore,-0.04213630450926096,0.6933392321318352
anxiété,Discours,-0.057107182556571594,0.5929058331170642
anxiété,L'introduction,-0.16539780935697684,0.11925251175550086
anxiété,La conclusion,-0.10322009044219571,0.3329781242119767
anxiété,Persuasivité,-0.2549149221071729,0.015319655600839971
anxiété,Clarté du Langage,-0.13831042169518504,0.19358572589767162
anxiété,Créativité du discours,-0.18942892422846436,0.07374569173547647
anxiété,Global,-0.09643844889746518,0.3658805719773601
colère,Présentation du Sujet,0.07445767673639375,0.48551331277934984
colère,Structure,0.024024478356665234,0.8221638692586957
colère,Niveau de Langue,0.23290681114841855,0.027165063798777533
colère,Voix Passive,0.12598144987793936,0.23673811918517212
colère,Concision,0.11316903131974529,0.2882245937587543
colère,Redondance,-0.005415103762646818,0.9596008795128446
colère,Langage Négatif,0.027342407838345413,0.7980938749970798
colère,Métaphore,0.17867143985529646,0.09200413258156209
colère,Discours,0.08013172083117252,0.4527860608665458
colère,L'introduction,0.03465932409730101,0.7457045162848971
colère,La conclusion,0.12292121465309849,0.24841181198802978
colère,Persuasivité,0.09652420264195435,0.3654524665335752
colère,Clarté du Langage,0.006169052682911485,0.953981839002613
colère,Créativité du discours,0.1281864620126039,0.2285666998152962
colère,Global,0.030230945269616935,0.7772905888254216
tristesse,Présentation du Sujet,0.11557760662066058,0.2780196883487068
tristesse,Structure,0.0536331454469379,0.6156267764453931
tristesse,Niveau de Langue,0.132890609991266,0.21179874650140884
tristesse,Voix Passive,0.2516343691318119,0.016735082147189818
tristesse,Concision,-0.07181009042589069,0.5012039661980101
tristesse,Redondance,0.10638393336674438,0.3182917595532828
tristesse,Langage Négatif,0.08758770948093354,0.41170657954604584
tristesse,Métaphore,-0.06993029214412763,0.5125025574375502
tristesse,Discours,0.10705383136600158,0.31523647505118296
tristesse,L'introduction,0.05346702911121219,0.6167225765285929
tristesse,La conclusion,0.010442849942274035,0.9221805370669744
tristesse,Persuasivité,0.12748990634164872,0.23112640455760522
tristesse,Clarté du Langage,0.07530814986650425,0.4805291102298941
tristesse,Créativité du discours,0.11299960910469783,0.28895164513265753
tristesse,Global,0.07615685621991733,0.4755827095907116
