Lexical_Feature,Criterion,Spearman_Coefficient,p_value
cognition,Présentation du Sujet,-0.041785169048835016,0.6957687082606774
cognition,Structure,0.026843191291883835,0.8017040115976776
cognition,Niveau de Langue,0.03658103640498838,0.7321238380598678
cognition,Voix Passive,0.09888033212131349,0.3538105227161088
cognition,Concision,0.0023601589644093083,0.9823861532138182
cognition,Redondance,-0.08422323136405808,0.4299679473662916
cognition,Langage Négatif,0.0089569218732346,0.93322602409425
cognition,Métaphore,-0.13133372291641912,0.21724864138623834
cognition,Discours,-0.07283867739398206,0.49507696993823347
cognition,L'introduction,-0.08203321778772445,0.44209892549600327
cognition,La conclusion,-0.13847216156185826,0.19306014997732146
cognition,Persuasivité,-0.018472817364225187,0.8627979837380115
cognition,Clarté du Langage,-0.030964585039109864,0.7720311684587366
cognition,Créativité du discours,-0.05940378538311674,0.5780962226823723
cognition,Global,-0.14877337278903097,0.16167490957162056
perspicacité,Présentation du Sujet,-0.11034350370818145,0.3005086760341484
perspicacité,Structure,-0.10427603863343124,0.32802940582575246
perspicacité,Niveau de Langue,0.06412704443235819,0.5481882961932261
perspicacité,Voix Passive,-0.038124106856284846,0.7212781587887103
perspicacité,Concision,0.0005900640278702787,0.9955960274319354
perspicacité,Redondance,-0.07769749669392659,0.46667417961664703
perspicacité,Langage Négatif,-0.0796203604555908,0.45568437233607084
perspicacité,Métaphore,-0.17844334352125268,0.0924267704944719
perspicacité,Discours,-0.20455982620851032,0.05311292986209757
perspicacité,L'introduction,-0.13410479539699202,0.20761640527133207
perspicacité,La conclusion,-0.19886007712546216,0.0602453091757266
perspicacité,Persuasivité,-0.06671871479085358,0.5321033829219414
perspicacité,Clarté du Langage,-0.07039859218538885,0.5096756713980733
perspicacité,Créativité du discours,-0.07548758854621296,0.47948102085052413
perspicacité,Global,-0.2521107573453659,0.016522784263768457
cause,Présentation du Sujet,-0.024157846313887704,0.8211930073054878
cause,Structure,-0.04331877839169157,0.6851806832004951
cause,Niveau de Langue,-0.06412651651826706,0.548191596526397
cause,Voix Passive,0.25376149720012564,0.015805032248123838
cause,Concision,0.04425443777075749,0.6787504669163632
cause,Redondance,0.1044663624384333,0.3271424642313201
cause,Langage Négatif,0.1458035847732419,0.17030668248058922
cause,Métaphore,-0.045642750744782634,0.6692517594594213
cause,Discours,-0.016864358562808632,0.8746426520873275
cause,L'introduction,-0.021572547774974873,0.8400591187491313
cause,La conclusion,-0.09501566838058548,0.3730282912223922
cause,Persuasivité,-0.11377249375804312,0.28564477729421067
cause,Clarté du Langage,-0.055391255479171925,0.6040812378035351
cause,Créativité du discours,-0.047424751590329085,0.6571354678867152
cause,Global,-0.05856807512459384,0.5834654747892405
divergence,Présentation du Sujet,0.13188823970904373,0.2152962987247417
divergence,Structure,0.18421307369037784,0.08219714439050177
divergence,Niveau de Langue,0.33440334391857707,0.0012758578199326268
divergence,Voix Passive,0.19419227130619454,0.06665125766004093
divergence,Concision,0.2130104836905243,0.04382670780408748
divergence,Redondance,0.3120919731728857,0.002748467528169899
divergence,Langage Négatif,-0.06817409178890635,0.5231749359266427
divergence,Métaphore,0.17412145419273276,0.10072794816727675
divergence,Discours,0.17244785559960088,0.10409507811560349
divergence,L'introduction,0.13191953973032883,0.21518646926206206
divergence,La conclusion,-0.03687380450080119,0.7300619554233718
divergence,Persuasivité,0.1654004082554066,0.11924662686281659
divergence,Clarté du Langage,0.21249662026586535,0.04435003948097418
divergence,Créativité du discours,0.24960292833983264,0.01766700108539831
divergence,Global,0.028239763053612133,0.7916152624614866
tentative,Présentation du Sujet,0.09598084094365048,0.36817026858310675
tentative,Structure,0.006935294500485326,0.9482734858456399
tentative,Niveau de Langue,-0.10888865352894528,0.3069654878321667
tentative,Voix Passive,-0.09531183644731378,0.3715334501165941
tentative,Concision,0.048386046960212,0.650635711559287
tentative,Redondance,0.04505223146334614,0.6732857905800603
tentative,Langage Négatif,-0.1846227506145946,0.08150656528993248
tentative,Métaphore,-0.07689897611891615,0.4712801074752607
tentative,Discours,-0.07285299475717115,0.4949919639703936
tentative,L'introduction,-0.16641015028489364,0.116977065724429
tentative,La conclusion,-0.09032619286070871,0.397182550617627
tentative,Persuasivité,-0.14807764286860836,0.16366734564984967
tentative,Clarté du Langage,0.01997172143253057,0.8517872413789191
tentative,Créativité du discours,0.008374559769739347,0.9375585162678843
tentative,Global,-0.097397934302898,0.3611081039235766
certitude,Présentation du Sujet,0.058762812625658765,0.5822122904178979
certitude,Structure,0.0052574117991297815,0.960776386932148
certitude,Niveau de Langue,0.1988368760251643,0.06027586200520362
certitude,Voix Passive,0.038124106856284846,0.7212781587887103
certitude,Concision,0.03422371361647616,0.748793960181055
certitude,Redondance,-0.004570440981995681,0.9658983241642333
certitude,Langage Négatif,0.018909835608202814,0.8595849041312249
certitude,Métaphore,-0.08299616529388273,0.436741389500123
certitude,Discours,-0.13123240458454347,0.21760671090212513
certitude,L'introduction,-0.10018328482633232,0.3474725358361721
certitude,La conclusion,0.02758430946287635,0.7963460581790219
certitude,Persuasivité,0.054483827393224715,0.6100284172204398
certitude,Clarté du Langage,-0.054847655383206684,0.6076408603122927
certitude,Créativité du discours,0.21066747292455543,0.04625512165383103
certitude,Global,0.04897110863889163,0.6466925479979433
inhibition,Présentation du Sujet,0.06529658335270072,0.5409005311888213
inhibition,Structure,0.09925573574135932,0.35197711650481733
inhibition,Niveau de Langue,-0.05164955615726476,0.6287661078760345
inhibition,Voix Passive,0.06791331777578508,0.5247691565554806
inhibition,Concision,0.0737631652824307,0.4896038096792763
inhibition,Redondance,0.10316860169726715,0.3332206319682931
inhibition,Langage Négatif,0.09704410525747235,0.36286356033671174
inhibition,Métaphore,-0.0067659473318193875,0.9495348749846306
inhibition,Discours,0.1167744501970717,0.27303980149699325
inhibition,L'introduction,-0.03309555435310606,0.7568134438536221
inhibition,La conclusion,0.08708645568846246,0.41439819589052107
inhibition,Persuasivité,-0.09380736783363675,0.37916475945028993
inhibition,Clarté du Langage,0.06978007764320278,0.5134110236482317
inhibition,Créativité du discours,0.0590906455032353,0.5801053995763478
inhibition,Global,0.118211769964234,0.2671390294766624
inclusion,Présentation du Sujet,0.07573561890101346,0.4780343129011204
inclusion,Structure,0.002574087612601676,0.9807898961162982
inclusion,Niveau de Langue,-0.0279737337214617,0.7935344545297229
inclusion,Voix Passive,0.03573987907999283,0.738058408828347
inclusion,Concision,-0.008260556375432578,0.9384068630249032
inclusion,Redondance,-0.11295053508513216,0.28916246597316514
inclusion,Langage Négatif,0.008459315102499346,0.9369278616140717
inclusion,Métaphore,-0.024329294257310046,0.8199453348238902
inclusion,Discours,-0.07466015029352592,0.4843242268283239
inclusion,L'introduction,-0.009825915485358458,0.9267647837531364
inclusion,La conclusion,0.06365840163383067,0.551121877442105
inclusion,Persuasivité,0.1274359870913912,0.23132537850841411
inclusion,Clarté du Langage,0.02119464642135265,0.8428246894828035
inclusion,Créativité du discours,-0.07018968655314162,0.5109357351851684
inclusion,Global,0.08132741266887897,0.4460491644086616
exclusion,Présentation du Sujet,0.14494827114329162,0.1728545122133311
exclusion,Structure,0.24277976629552883,0.021131541182752112
exclusion,Niveau de Langue,0.2035710873590968,0.05429791747125748
exclusion,Voix Passive,0.13105161731847917,0.21824666752688315
exclusion,Concision,0.15636696738562383,0.141085432048957
exclusion,Redondance,0.25920929569318363,0.01362415925263421
exclusion,Langage Négatif,0.06319866111162521,0.5540070856298366
exclusion,Métaphore,0.007813645871525126,0.9417331641085362
exclusion,Discours,0.07340837930723924,0.49170042331310526
exclusion,L'introduction,0.22427351661422837,0.03358208106791435
exclusion,La conclusion,-0.06478841915606869,0.5440612086955923
exclusion,Persuasivité,0.06561647268295909,0.5389155210611611
exclusion,Clarté du Langage,0.12116582683332908,0.2552837260397614
exclusion,Créativité du discours,0.0438184753843822,0.6817437456753059
exclusion,Global,0.006442731726309139,0.9519427017406674
