Lexical_Feature,Criterion,Spearman_Coefficient,p_value
flesch_kincaid_score,Présentation du Sujet,0.08944490493289085,0.401823127390304
flesch_kincaid_score,Structure,-0.027884480618588715,0.7941786213764546
flesch_kincaid_score,Niveau de Langue,0.20915401183517612,0.04788215951105736
flesch_kincaid_score,Voix Passive,0.02978274224311901,0.7805086899583558
flesch_kincaid_score,Concision,0.09794498452097732,0.35840434105286356
flesch_kincaid_score,Redondance,0.07899878464875762,0.4592211412762849
flesch_kincaid_score,Langage Négatif,-0.0786205754185631,0.461380527194575
flesch_kincaid_score,Métaphore,0.20212673583428875,0.05606783668437391
flesch_kincaid_score,Discours,0.36635288446789416,0.00038340173862859097
flesch_kincaid_score,L'introduction,-0.0011293969793783117,0.9915708008476941
flesch_kincaid_score,La conclusion,0.0327664794447984,0.7591575619448074
flesch_kincaid_score,Persuasivité,0.1116727352011381,0.29468771673689503
flesch_kincaid_score,Clarté du Langage,0.06002406391411943,0.5741259007008286
flesch_kincaid_score,Créativité du discours,0.19175367575093066,0.07021094980170409
flesch_kincaid_score,Global,0.07856506213389541,0.4616979488802012
gunning_fog_index,Présentation du Sujet,-0.04113159861877463,0.7002988717584262
gunning_fog_index,Structure,0.10373705126741692,0.33054949002252865
gunning_fog_index,Niveau de Langue,-0.16009319424420887,0.1317370387603807
gunning_fog_index,Voix Passive,-0.02978274224311901,0.7805086899583558
gunning_fog_index,Concision,-0.04720240217878424,0.6586425331806529
gunning_fog_index,Redondance,0.04113159861877463,0.7002988717584262
gunning_fog_index,Langage Négatif,0.04776946354545607,0.6548017482995954
gunning_fog_index,Métaphore,-0.12405830140929162,0.24402888031813605
gunning_fog_index,Discours,-0.3366633649941122,0.001176626823021128
gunning_fog_index,L'introduction,0.03629128960402308,0.7341663157670114
gunning_fog_index,La conclusion,0.015713732329897312,0.8831329753781143
gunning_fog_index,Persuasivité,-0.07655732517835623,0.47325827750104266
gunning_fog_index,Clarté du Langage,-0.007162992521473466,0.9465776694350689
gunning_fog_index,Créativité du discours,-0.1898242483360974,0.07313471757306358
gunning_fog_index,Global,-0.01810208088591612,0.8655254935294229
average_syllables,Présentation du Sujet,-0.145592801460107,0.17093198575096416
average_syllables,Structure,-0.03964635319923582,0.7106325422372719
average_syllables,Niveau de Langue,-0.21948260501222186,0.037662824429916995
average_syllables,Voix Passive,-0.0631394135554123,0.5543794353078444
average_syllables,Concision,-0.1675685277346841,0.11441464152359813
average_syllables,Redondance,-0.18998881266767328,0.07288158586915539
average_syllables,Langage Négatif,0.11146208160606416,0.29560522257440536
average_syllables,Métaphore,-0.23395121561209475,0.026464440822349188
average_syllables,Discours,-0.31377389906033754,0.002599124119323281
average_syllables,L'introduction,-0.04095946378545344,0.7014937618358994
average_syllables,La conclusion,-0.05369843115743104,0.6151963441765602
average_syllables,Persuasivité,-0.13550183641559335,0.20287745084583864
average_syllables,Clarté du Langage,-0.09182684400154752,0.3893541106617987
average_syllables,Créativité du discours,-0.18476511017278455,0.08126768055368462
average_syllables,Global,-0.09425522480920563,0.3768831917059571
polysyllabic_word_count,Présentation du Sujet,0.02677755265742964,0.8021789956887182
polysyllabic_word_count,Structure,0.21863413827709152,0.038427079766492754
polysyllabic_word_count,Niveau de Langue,-0.14723396973911979,0.16610779300707415
polysyllabic_word_count,Voix Passive,0.014300720079247053,0.8935773920393022
polysyllabic_word_count,Concision,-0.036594666112572324,0.7320278055683586
polysyllabic_word_count,Redondance,0.052901994274434164,0.6204561493181413
polysyllabic_word_count,Langage Négatif,0.02389309193317299,0.8231205682744203
polysyllabic_word_count,Métaphore,-0.10586455346005617,0.3206736333983127
polysyllabic_word_count,Discours,-0.12367877228430893,0.2454858106265448
polysyllabic_word_count,L'introduction,0.1432576626469322,0.17797273796290755
polysyllabic_word_count,La conclusion,0.07904922292495338,0.4589335850304088
polysyllabic_word_count,Persuasivité,0.028049237835942997,0.792989626375497
polysyllabic_word_count,Clarté du Langage,0.08998824569375041,0.39895830296213486
polysyllabic_word_count,Créativité du discours,-0.06103949963219434,0.5676537663936787
polysyllabic_word_count,Global,0.03337866344682321,0.7547985139843914
