,PC1,PC2,PC3
Présentation du Sujet,-0.6110012627665833,0.3467421583387252,-0.19305489733029793
Structure,-0.7595896349478147,0.13940523845330346,-0.31044951797521225
Niveau de Langue,-0.412678173401504,-0.6901332059576922,0.3496951367899288
Voix Passive,0.36747790921904483,-0.21019822459786758,-0.4066799085810997
Concision,0.6853427434529197,0.11208709347762652,0.43472126659235155
Redondance,0.7124684514128766,0.057058696609917525,0.21706251096934392
Langage Négatif,0.0997485576010111,0.10419520964010895,0.6160024399631973
Métaphore,-0.22443884442160425,-0.6476272292120766,-0.17789536586944374
Discours,-0.5688208092267263,-0.11128924825150487,-0.15835266392252834
L'introduction,-0.7517420707397857,0.2143367223089226,0.1717486459294502
La conclusion,-0.7356702602741179,0.20619695410264216,0.32129258986276316
Persuasivité,-0.6150065474589321,0.16421203078579336,0.16990905434577752
Clarté du Langage,-0.8200741146235528,0.10121148484545009,0.07818212790672503
Créativité du discours,-0.5925334995667098,-0.45648387661690265,0.2868305596130923
