Original,Annotation,Spearman,p-value
selfConfidence,L'introduction,0.05227784509083559,0.6245915301572738
selfConfidence,La conclusion,-0.047103646626239,0.6593123276031264
selfConfidence,Persuasivité,0.09091043773081792,0.3941236952645022
selfConfidence,Clarté du Langage,0.003038100588957377,0.9773278697093992
selfConfidence,Créativité du discours,-0.11246632956451888,0.2912480607906956
selfConfidence,Global,0.10233281268476763,0.3371727906386621
persuasiveness,L'introduction,0.08577382701567657,0.4214949861245555
persuasiveness,La conclusion,0.03547771515757715,0.7399111989193088
persuasiveness,Persuasivité,0.16346535612832677,0.12369056255248682
persuasiveness,Clarté du Langage,0.028172618618779958,0.7920995400551103
persuasiveness,Créativité du discours,0.06270453429758881,0.5571161726947004
persuasiveness,Global,0.16407100196071758,0.12228621904748307
engagement,L'introduction,0.09272122493501181,0.38473260323833525
engagement,La conclusion,-0.0578873183420441,0.5878559924740542
engagement,Persuasivité,0.10432686897299501,0.32779237779285386
engagement,Clarté du Langage,0.12086845779095849,0.25646059406676885
engagement,Créativité du discours,-0.0320510513463505,0.764261296380279
engagement,Global,0.15091403213907825,0.15565738012596808
global,L'introduction,0.11000326579144756,0.302010666159498
global,La conclusion,-0.08575602042193332,0.4215917374740984
global,Persuasivité,0.1375518886014808,0.19606436944194328
global,Clarté du Langage,0.006890980147240297,0.9486035508912678
global,Créativité du discours,-0.10982031622801049,0.30282032874986214
global,Global,0.11790471757951537,0.2683923047318255
