ID,Original,Expert,GPT,Diff_Expert_vs_GPT,Diff_Expert_vs_Original,Diff_GPT_vs_Original,Prixjury,Prixpublic,Expert_Comment
UPS10,2.93108001056245,24,85,61,21.06891998943755,82.06891998943755,,,
PES04,2.865465695668839,15,60,45,12.134534304331162,57.13453430433116,,,
SOU09,14.794520547945206,58,85,27,43.205479452054796,70.20547945205479,,,
PES03,43.71280476099059,65,85,20,21.287195239009407,41.28719523900941,,1.0,
CVL02,70.05988023952095,81,85,4,10.94011976047905,14.94011976047905,1.0,,"Très bonne présentation, les métaphores et choix des mots rendent le texte vivant,  hormis la toute dernière phrase de conclusion qui fait retomber l'impact, on pourrait gagner encore quelques points en la retravaillant. "
HES08,64.39267886855242,78,85,7,13.607321131447577,20.607321131447577,2.0,,
HES06,21.19852587726326,33,85,52,11.801474122736739,63.801474122736735,,,
LOR02,81.81818181818181,57,85,28,24.818181818181813,3.181818181818187,1.0,1.0,
OCM14,67.79571315162741,62,75,13,5.79571315162741,7.20428684837259,,,
SOU07,79.23027187450316,51,85,34,28.23027187450316,5.76972812549684,,,
LRE02,96.42857142857144,55,85,30,41.428571428571445,11.428571428571445,,,
ALS10,76.40995459895746,62,85,23,14.409954598957455,8.590045401042545,,,
BOD12,90.2097902097902,48,85,37,42.2097902097902,5.209790209790199,2.0,,
UCA02,2.938446664518208,35,85,50,32.06155333548179,82.06155333548179,,,
HES02,69.86301369863013,46,85,39,23.863013698630127,15.136986301369873,,1.0,
SOU15,94.71815357301377,29,85,56,65.71815357301377,9.718153573013765,,,
LOR08,89.78855925258155,34,85,51,55.78855925258155,4.78855925258155,,,
LYO10,68.61295257521672,78,85,7,9.387047424783276,16.387047424783276,,,
BFC02,92.97653734089864,54,85,31,38.976537340898645,7.976537340898645,,,
UPS04,54.63429913860612,64,85,21,9.365700861393883,30.365700861393883,,,des répétitions volontaires ou problème de transcription ?
HES05,40.84005459734458,71,85,14,30.159945402655417,44.15994540265542,,,
SPC08,53.43534812547819,12,85,73,41.43534812547819,31.564651874521807,,,
LRE09,49.47145877378436,28,85,57,21.471458773784363,35.52854122621564,,,"Une  grande partie du texte n'a pas de sens, je ne sais pas si c'est un problème de transcription. "
NOR05,21.176470588235293,24,85,61,2.8235294117647065,63.82352941176471,,,
LYO05,41.52314556609035,48,75,27,6.476854433909651,33.47685443390965,,,
SPC03,69.7355058734369,46,85,39,23.735505873436907,15.264494126563093,,,
GRE03,75.71556039173014,55,85,30,20.715560391730136,9.284439608269864,,,
OCM11,49.52579468473164,48,90,42,1.5257946847316433,40.47420531526836,,,"Bien que le sujet soit important, le vocabulaire utilisé installe une gêne, rendant difficile l'écoute du discours dans son intégralité. "
BOD01,60.02528154447253,52,85,33,8.025281544472527,24.974718455527473,,,métaphore intéressante mais mal formulée
BOD11,58.07529967921661,26,85,59,32.07529967921661,26.924700320783387,,,
UPL02,66.10169491525424,74,85,11,7.898305084745758,18.898305084745758,1.0,,
LYO02,78.55174923324842,30,85,55,48.551749233248415,6.448250766751585,,,
OCM18,52.1336480842564,52,85,33,0.13364808425640007,32.8663519157436,,,
OCM13,39.092622119147705,38,85,47,1.0926221191477055,45.907377880852295,,,
ALS05,54.1360294117647,75,85,10,20.863970588235297,30.863970588235297,,,
BRE14,66.33890762936912,49,75,26,17.338907629369118,8.661092370630882,,,
NOR12,72.57,73,90,17,0.4300000000000068,17.430000000000007,,,
ALS03,80.53192115328036,52,85,33,28.531921153280365,4.468078846719635,,,
GRE07,81.19266055045871,13,85,72,68.19266055045871,3.8073394495412884,,,
NOR04,70.56000000000002,62,85,23,8.560000000000016,14.439999999999984,,,
BFC10,80.3406037844865,53,85,32,27.340603784486504,4.659396215513496,,,
LDV08,83.5319906836553,55,85,30,28.531990683655295,1.4680093163447054,1.0,,
SPC09,37.0048426150121,38,75,37,0.9951573849878983,37.9951573849879,,,
LDV05,65.92277761149356,62,85,23,3.922777611493558,19.077222388506442,,1.0,
ALS11,66.8097822981544,67,90,23,0.19021770184559728,23.190217701845597,,,
SOU14,27.910833704859563,64,85,21,36.08916629514044,57.08916629514044,,,
CFE09,68.34152883325883,61,85,24,7.341528833258835,16.658471166741165,,,
ALS04,46.53524049507152,69,85,16,22.46475950492848,38.46475950492848,,,difficile d'évaluer l'impact des passages avec de l'humour uniquement sur un contenu textuel.
HES01,83.62831858407078,23,85,62,60.62831858407078,1.371681415929217,,,
LOR03,40.04056795131846,72,85,13,31.959432048681542,44.95943204868154,2.0,,
LYO01,73.16957210776545,57,85,28,16.169572107765447,11.830427892234553,1.0,,j'imagine qu'en introduction l'orateur casse un sucre dans le noir pour faire la démonstration de son propos. Difficile à analyser par la simple transcription textuelle.
SOU01,78.87323943661973,58,85,27,20.873239436619727,6.126760563380273,,1.0,
PES08,53.008223274358336,45,85,40,8.008223274358336,31.991776725641664,1.0,,
GRE01,73.14139177060264,76,90,14,2.858608229397362,16.858608229397362,3.0,1.0,
