ID,Original,Expert,GPT,Diff_Expert_vs_GPT,Diff_Expert_vs_Original,Diff_GPT_vs_Original,Prixjury,Prixpublic,Expert_Comment,Text
UCA14,4.285714285714286,1,4,3,3.2857142857142856,0.2857142857142856,,1.0,texte incompréhensible.," Bonsoir, je suis chercheur en réseau informatique. Autant dire que j'ai pris une belle excuse pour passer ma thèse à regarder des vidéos sur l'outil. Plus sérieusement, Internet relie entre 17 milliards d'ordinateurs, téléphones et scénarios. C'est l'infrastructure la plus vaste de l'histoire de l'humanité et en même temps sans compter. Un phénomène sans précédent. Et ce pour payer chez les chercheurs que moi, c'est un fait enfermant et tout défaisu dans tel système d'information. Alors, toute information, que ce soit une page web ou une histoire, est encadrée sous forme de zéro effet de part en informatique. Et sur Internet, ces séquences liées sont les compétences de milliers de morceaux qu'on appelle des paquets. Et sont ainsi transmises de hauteur en hauteur, comme des mètres dans le réseau postel. Des milliards et des milliards de mètres. Au cours de leur périple, une fraction des paquets n'a jamais d'influencé. Parce que le route sur Internet change souvent. On a des câbles débranchés ou des tables matérielles. Ils deviennent désormais un record fixé à l'état du souvent. Très souvent dans cette attitude, les fournisseurs de paquets, l'Opéra, la Magie, jouent la sécurité. Pour vous garder une petite heure sur le truc, elles vont parfois parvenir en plusieurs résolutions simultanément. Comme ça, même si vous mentionnez pas les paquets hors pôles de définition, vous pourrez quand même peut-être voir la réalité ou en faire ces régulations. Et même en un requin, l'on ne retira pas de petits beaux paquets à la fin. Le guide de ma thèse, c'est d'essayer un programme d'estimation de la qualité des soins en suite inédit. Accélérés sur vos portables, ils s'enverraient à court terme. Ils s'enverraient après et préviraient le conformement, les ralentissements et la résolution mutuelle avant même que vous ne l'abordiez. Je suis exprès à ces montants sur les têtes du calme. J'améliore, je m'ortifie. En rien que ça. Ce sont les ordinateurs que j'ai programmés qui passent à force au dessous. Et qui regardent des vidéos en faisant arriver une multitude de variables, comme la qualité des connexions, le site de support, etc. Tout ça pour faciliter une base de données, des milieux de mesures réseaux, pour soulever à la vidéo avec des enseignants sur un système, pour modéliser finement la relation entre qualité de la connexion et qualité d'expérience. Ça permet pas premièrement aux chercheurs de ne pas comprendre la qualité d'expérience utilisée par le collecte, mais surtout aux fournisseurs de contenu d'optimiser l'envoi des données qu'on a reçues. Et ce second point est très important. Pourquoi ? Imaginez qu'en rentrant à France, vous ouvrez votre bureau de collecte et à l'intérieur vous découvrez une centaine de coulisses. Parce que chacun de vos correspondants, que ce soit votre grand-mère ou le fisc, etc. vous ont envoyé leur lettre en plusieurs exemplaires éventuels pour être certains de la saison. C'est ça du gaspillage. Et c'est un peu ce qui se passe sur la planète en fait. Quand vous regardez une vidéo sur Youtube, 30% des paquets que vous recevez ne sont jamais nus. C'est du gaspillage tout récent. Or, Artanet est à l'origine de 15% des émissions globales de gaspillage. Et ce chiffre pourrait monter jusqu'à 14% d'ici 2040. C'est autant que ce que j'ai étudié aujourd'hui. Alors, optimisez l'envoi des paquets dans la région. S'en souvenez pas pour limiter le gaspillage. C'est un peu comme si vous aviez un gaz sur la planète et donc un premier pas. Gérant d'un paquet de plus de valeur."
UCA05,4.090909090909091,1,4,3,3.090909090909091,0.09090909090909083,,,,
LRE11,4.999999999999999,2,5,3,2.999999999999999,8.881784197001252e-16,,,,
POF03,4.615384615384615,2,5,3,2.615384615384615,0.384615384615385,1.0,1.0,,
GRE07,3.1578947368421053,1,4,3,2.1578947368421053,0.8421052631578947,,,,
SPC08,2.5,1,4,3,1.5,1.5,,,,
LDV08,3.1578947368421053,2,5,3,1.1578947368421053,1.8421052631578947,1.0,,,
OCM11,2.7692307692307696,2,5,3,0.7692307692307696,2.2307692307692304,,,"Bien que le sujet soit important, le vocabulaire utilisé installe une gêne, rendant difficile l'écoute du discours dans son intégralité. "," Je me souviens d'une phrase de Virginia Woolf. J'ai connu beaucoup de personnes dans ma vie. La plupart d'entre elles sont mortes. Les autres, je les ai perdues parce que je n'ai pas eu la force de traverser la rue. Moi, j'ai voulu traverser cette rue. J'ai voulu comprendre pourquoi 15 000 homosexuels avaient été déportés dans les camps de notre concentration. Écoutez, autour de nous, vous l'entendez ? Autour de nous, il y a le silence. Ces hommes, perdus dans les méandres de l'histoire, ils ont été déportés dans des camps de concentration. Là-bas, le travail est harassant dans les carrières. Les coups de matraque des SS pleuvent sur les échines courbées. Les capots souvent les violent, mais ils ne disent rien. Pourquoi ? Parce qu'ils veulent seulement survivre à notre jour. Plus je lisais ces données de l'histoire, et plus j'avais la nausée. Je n'arrivais pas à entendre les cris, les suppliques de ces déportés. Je n'entendais encore que le silence. Alors, je me suis tourné vers la littérature. Et c'est aussi le sujet de ma thèse. J'ai consulté des centaines et des centaines d'ouvrages sur la déportation homosexuelle. Ils murmuraient à mon oreille ces déportés. Moi, je ne voulais pas que ma jeunesse soit sacrifiée sous l'autel de la haine. J'ai relu et j'ai relu ces pages. J'ai noirci. Encore, encore d'autres pages. Et maintenant, ils sont là. J'ai redessiné les lèvres. J'ai redessiné les yeux de ces déportés. Ils sont devenus mes frères. Dans un élan de passion, de compassion que la littérature me permettait, je les ai serrés dans les bras. Et ils m'ont parlé. Et j'espère pouvoir vous faire partager aujourd'hui ma passion pour ce travail. C'est un travail, je dirais, d'archéologie littéraire. Il consiste, vous le voyez ce silence, moi j'ai envie de le briser. J'ai envie de remplacer le silence par des mots. Et tous les mots qui me murmurent à l'oreille, tous les mots que je lis dans ces romans, j'ai envie de les garder d'abord en moi et ensuite de vous les faire partager. Ces hommes-là, ils ne sont pas vraiment morts. Ils existent. Ils sont dans nos textes. Ils sont dans les témoignages. Ils sont dans tous les mots qu'ils ont laissés. Mais attention. Vigilance. Ces heures sombres pourraient revenir sans que personne ne s'en aperçoive. Et alors, ça serait comme une immense chape de plomb brisant cet éclatant soleil d'été."
SOU13,4.999999999999999,2,4,2,2.999999999999999,0.9999999999999991,,,,
BRE04,4.999999999999999,2,4,2,2.999999999999999,0.9999999999999991,,,,
OCM08,4.999999999999999,2,4,2,2.999999999999999,0.9999999999999991,,,,
GRE13,4.999999999999999,2,4,2,2.999999999999999,0.9999999999999991,,,"Trop de jargon rendant le discours difficile à comprendre. Introduction sensible, à travers le texte je perçois difficilement l'effet produit par l'humour utilisé ici. ",
LDV07,4.615384615384615,2,4,2,2.615384615384615,0.615384615384615,,,,
ALS09,4.090909090909091,2,4,2,2.090909090909091,0.09090909090909083,,,,
BOD04,3.829787234042554,2,4,2,1.8297872340425538,0.17021276595744617,3.0,,,
POF05,3.829787234042554,2,4,2,1.8297872340425538,0.17021276595744617,2.0,,,
CFE05,3.8297872340425534,2,4,2,1.8297872340425534,0.1702127659574466,2.0,,,
SOU10,4.615384615384615,3,5,2,1.615384615384615,0.384615384615385,,,,
SPC05,4.615384615384615,3,5,2,1.615384615384615,0.384615384615385,,,,
