Prize,Annotation,Spearman_Corr,p-value
Prixjury,Présentation du Sujet,0.004207590185862877,0.9686042492362492
Prixjury,Structure,0.23677074707858523,0.024649174130453574
Prixjury,Niveau de Langue,0.1442220510185596,0.1750396905576838
Prixjury,Voix Passive,-0.023032671985243936,0.8293921002935793
Prixjury,Concision,-0.007605057523922031,0.9432860075226988
Prixjury,Redondance,0.15568083687692646,0.1428601302381559
Prixjury,Langage Négatif,0.1667557694084857,0.11620793555033296
Prixjury,Métaphore,-0.06263447072560704,0.5575576937133243
Prixjury,Discours,0.20953287810621818,0.047470490604265565
Prixjury,L'introduction,0.3406362544580944,0.0010190246721023003
Prixjury,La conclusion,0.1416247147296887,0.1830208273776515
Prixjury,Persuasivité,0.061371128413766685,0.565547509236222
Prixjury,Clarté du Langage,0.2576940491949565,0.014202812241079733
Prixjury,Créativité du discours,0.0962947515015235,0.3665986367111058
Prixjury,Global,0.10160824852292377,0.340622868190098
Prixpublic,Présentation du Sujet,0.08478376761844446,0.4268938336015965
Prixpublic,Structure,0.06502435700491237,0.5425926014893198
Prixpublic,Niveau de Langue,0.2274454196481409,0.031090203516857318
Prixpublic,Voix Passive,-0.07555325606086047,0.4790977679219798
Prixpublic,Concision,0.11938730073042106,0.2623775397507429
Prixpublic,Redondance,0.08478376761844446,0.4268938336015965
Prixpublic,Langage Négatif,-0.26448498113583485,0.011766145773343395
Prixpublic,Métaphore,0.2071841649822589,0.05007035028904692
Prixpublic,Discours,0.19252752377692647,0.06906510525638675
Prixpublic,L'introduction,0.26604214525362385,0.011261781080560813
Prixpublic,La conclusion,0.12912059175303928,0.22516519732219603
Prixpublic,Persuasivité,0.311556658752475,0.002797590603544387
Prixpublic,Clarté du Langage,0.06315140344489924,0.5543040734345424
Prixpublic,Créativité du discours,0.31099391811167276,0.002850078675432773
Prixpublic,Global,-0.01121357423897888,0.91645711159779
