ID,selfConfidence,persuasiveness,engagement,global,persuasiveness_rater1,persuasiveness_rater2,persuasiveness_rater3,Prixjury,Prixpublic
UPS10,2.0689655172413794,1.2857142857142858,1.956521739130435,2.93108001056245,3.0,1.0,1.0,,
PES04,1.8947368421052635,1.3333333333333333,1.7142857142857142,2.865465695668839,1.0,4.0,1.0,,
SOU09,1.2,1.5,2.5,14.794520547945206,2.0,2.0,1.0,,
PES03,2.903225806451613,1.6363636363636365,2.903225806451613,43.71280476099059,2.0,3.0,1.0,,1.0
CVL02,3.333333333333333,1.7647058823529411,3.333333333333333,70.05988023952095,2.0,1.0,5.0,1.0,
HES08,3.461538461538461,1.8947368421052635,3.8297872340425534,64.39267886855242,4.0,1.0,3.0,2.0,
HES06,3.8297872340425534,1.956521739130435,2.5,21.19852587726326,5.0,1.0,3.0,,
LOR02,4.615384615384615,1.956521739130435,3.333333333333333,81.81818181818181,5.0,3.0,1.0,1.0,1.0
OCM14,4.090909090909091,1.956521739130435,4.090909090909091,67.79571315162741,5.0,1.0,3.0,,
SOU07,4.285714285714286,2.0,3.829787234042554,79.23027187450316,4.0,4.0,1.0,,
LRE02,4.999999999999999,2.0,3.829787234042554,96.42857142857144,4.0,4.0,1.0,,
ALS10,4.285714285714286,2.0689655172413794,4.090909090909091,76.40995459895746,5.0,1.0,4.0,,
BOD12,4.615384615384615,2.0689655172413794,4.615384615384615,90.2097902097902,5.0,4.0,1.0,2.0,
UCA02,2.142857142857143,2.0689655172413794,2.0689655172413794,2.938446664518208,1.0,4.0,5.0,,
HES02,4.999999999999999,2.0689655172413794,4.999999999999999,69.86301369863013,4.0,1.0,5.0,,1.0
SOU15,4.999999999999999,2.0689655172413794,4.615384615384615,94.71815357301377,4.0,1.0,5.0,,
LOR08,4.999999999999999,2.0689655172413794,4.615384615384615,89.78855925258155,4.0,1.0,5.0,,
LYO10,4.615384615384615,2.142857142857143,4.999999999999999,68.61295257521672,5.0,1.0,5.0,,
BFC02,4.615384615384615,2.142857142857143,4.999999999999999,92.97653734089864,5.0,1.0,5.0,,
UPS04,3.0,2.4,3.461538461538461,54.63429913860612,4.0,2.0,2.0,,
HES05,3.0,2.4,2.4,40.84005459734458,2.0,2.0,4.0,,
SPC08,2.903225806451613,2.5,2.5,53.43534812547819,2.0,2.0,5.0,,
LRE09,2.903225806451613,2.5,2.5,49.47145877378436,5.0,2.0,2.0,,
NOR05,2.25,2.571428571428572,3.2727272727272734,21.176470588235293,3.0,3.0,2.0,,
LYO05,2.903225806451613,2.7692307692307696,2.7692307692307696,41.52314556609035,3.0,2.0,4.0,,
SPC03,3.1578947368421053,2.7692307692307696,2.7692307692307696,69.7355058734369,3.0,4.0,2.0,,
GRE03,3.829787234042554,2.7692307692307696,3.272727272727273,75.71556039173014,3.0,2.0,4.0,,
