ID,Présentation du Sujet,Structure,Niveau de Langue,Voix Passive,Concision,Redondance,Langage Négatif,Métaphore,Discours,L'introduction,La conclusion,Persuasivité,Clarté du Langage,Créativité du discours,Global
PES04,A,A,A,A,A,A,B,B,A,1,2,2,1,2,27
SEN01,C,C,C,A,B,B,A,C,C,4,5,4,5,5,70
UCA11,C,C,C,B,B,B,A,A,A,5,4,5,5,5,75
UPS10,C,C,C,A,B,C,A,C,C,5,5,4,5,5,80
SPC08,C,C,C,A,B,B,A,C,C,5,5,5,5,5,82
LRE11,C,C,C,A,B,B,A,C,C,5,4,5,5,5,93
SOU15,C,C,C,A,C,B,A,C,A,5,4,5,5,5,92
UCA07,A,A,A,A,A,A,A,C,A,3,2,3,2,4,48
BRE16,C,C,C,A,B,B,A,C,C,5,5,5,5,5,92
SPC09,B,B,B,A,A,C,A,C,A,4,2,2,2,4,37
ALS08,C,C,C,A,B,B,A,C,C,5,5,5,5,5,92
PES08,C,C,C,A,B,B,A,C,C,5,4,5,4,5,78
LYO02,C,C,C,A,C,B,A,C,C,5,4,3,5,5,71
UCA05,C,C,B,A,C,A,A,C,A,4,3,4,3,4,77
CVL01,C,C,C,B,B,C,A,A,C,5,3,4,4,5,64
BOD07,C,C,C,A,B,B,A,C,C,5,4,4,5,5,72
ALS03,C,C,C,A,B,C,A,C,C,5,4,4,5,5,57
GRE03,C,C,C,A,B,B,B,C,A,5,3,5,5,5,74
PES06,C,C,B,B,B,B,A,C,A,5,4,5,5,4,80
OCM10,C,C,C,A,B,B,A,C,A,5,5,5,5,5,89
LOR02,C,C,C,A,B,B,A,C,C,5,4,5,5,5,90
UPL02,C,C,C,A,B,B,A,A,C,5,4,4,5,5,74
NOR10,C,B,C,A,B,B,B,C,C,5,5,4,5,5,73
BRE14,C,C,C,A,B,B,A,C,C,4,3,4,4,5,67
LYO05,B,C,C,A,C,B,B,C,C,4,2,3,3,4,47
GRE07,C,B,C,A,A,C,A,C,A,4,4,4,4,5,72
POF03,C,C,C,A,B,B,A,C,C,5,3,4,5,4,69
BFC09,C,C,C,B,B,B,B,C,C,5,3,5,5,5,84
BFC10,C,C,C,A,B,B,A,C,C,5,4,4,5,5,73
GRE01,C,C,C,A,B,B,A,C,C,5,5,5,5,5,92
OCM08,B,B,C,A,B,B,B,A,A,4,4,3,4,3,54
LYO01,C,C,C,A,B,B,A,C,C,5,4,4,5,5,77
BOD11,C,C,C,A,B,B,A,C,C,4,4,4,5,5,65
LRE02,C,C,C,A,B,B,A,C,C,5,5,4,5,5,86
OCM07,C,C,C,A,B,B,B,C,C,5,5,5,5,5,78
SPC05,C,C,C,A,B,B,A,C,C,5,5,5,5,5,92
BOD04,B,C,C,A,B,B,A,C,C,4,3,3,5,5,48
POF05,C,C,B,A,B,B,A,A,A,5,4,4,5,4,74
SPC03,C,C,B,B,B,B,A,A,C,5,5,5,5,3,72
SOU01,C,C,C,A,B,B,A,C,C,5,4,4,5,5,76
OCM11,C,C,C,A,B,B,B,C,C,5,5,4,3,5,72
NOR04,C,C,C,A,B,B,A,A,A,5,4,4,5,4,78
SPC04,C,C,C,A,B,B,A,C,C,5,5,5,5,5,90
LDV05,C,C,C,A,B,B,A,C,C,5,5,5,5,5,84
ALS05,C,C,B,A,B,B,A,C,C,5,4,5,5,4,75
LYO10,C,C,C,A,B,B,A,C,C,5,4,4,5,5,74
OCM14,C,C,B,A,B,B,B,A,A,4,4,4,4,5,62
SOU07,C,C,B,B,B,B,A,C,C,5,4,5,5,5,73
BRE04,C,C,C,B,B,B,A,B,C,5,4,4,5,5,79
HES06,C,C,B,A,B,C,A,A,C,4,5,4,5,4,76
UCA02,B,B,B,A,B,C,A,C,C,5,3,4,3,5,74
PES07,C,C,C,A,B,B,A,C,C,5,4,5,5,5,78
UCA14,B,A,B,A,A,A,A,C,A,3,3,3,3,4,79
CFE05,C,C,C,A,B,B,A,C,C,5,3,4,5,4,69
PES03,C,C,C,B,B,B,A,A,C,5,5,5,5,5,95
ALS04,C,C,C,A,B,B,A,C,C,5,5,4,5,5,85
SOU14,C,C,B,A,C,C,A,C,A,5,3,5,4,4,72
CVL03,C,C,B,A,B,B,B,A,C,4,5,5,5,4,90
NOR12,C,C,B,A,B,B,A,A,C,5,5,5,5,3,74
OCM18,C,C,C,A,B,B,A,C,C,5,3,4,5,5,64
BFC02,C,C,B,A,B,B,A,A,C,5,3,4,5,4,92
CFE09,C,C,C,A,B,B,A,C,C,5,4,5,5,5,75
LDV08,C,C,C,A,B,B,A,C,A,5,4,4,5,5,77
SOU10,C,C,B,B,B,B,A,C,C,5,4,5,5,5,78
SOU09,C,C,C,A,B,A,B,C,A,4,4,4,4,5,84
ALS09,C,C,C,A,B,B,A,C,C,4,4,4,5,5,55
ALS11,C,C,C,A,B,C,A,C,C,5,5,4,5,5,72
GRE13,C,C,C,A,B,B,B,C,C,5,3,5,5,5,69
HES08,C,C,C,A,B,B,A,C,A,5,5,5,5,5,90
LDV09,C,C,C,A,B,B,B,C,C,5,4,4,5,5,62
LDV07,C,C,C,A,B,B,A,C,C,5,4,4,4,5,72
ALS10,C,C,C,A,B,B,A,C,C,5,5,4,5,5,70
OCM13,B,B,C,A,B,C,A,A,A,5,4,4,4,3,54
HES02,C,C,C,A,B,B,A,C,C,5,4,5,4,5,75
HES03,B,C,C,A,B,B,B,C,C,4,3,3,3,5,61
NOR05,B,B,B,A,B,C,A,C,C,4,3,4,5,5,62
LOR03,C,C,C,A,B,B,B,C,C,5,4,4,5,5,65
CVL02,C,C,C,A,B,B,A,C,C,5,3,4,5,4,62
UPS04,C,B,B,A,B,C,A,C,C,4,3,4,4,4,72
HES05,C,C,C,A,B,B,A,A,C,5,5,5,5,3,62
SEN02,C,C,C,A,B,B,B,C,C,5,3,5,5,5,73
BOD12,C,C,C,A,B,B,A,C,C,5,4,5,5,5,76
LYO11,C,C,C,B,B,B,A,C,C,5,4,5,5,5,90
BOD01,C,C,C,B,B,B,A,C,A,5,4,4,5,4,72
SOU13,C,C,C,A,B,B,A,C,C,5,5,5,5,5,93
CFE02,B,B,C,A,A,B,A,C,C,5,3,5,4,5,79
HES01,C,B,C,A,A,C,A,C,C,4,3,4,3,5,67
LOR08,C,C,C,A,C,B,A,B,C,5,4,4,4,3,68
LRE09,B,C,C,A,B,B,A,C,C,4,3,4,5,5,65
BFC06,C,C,C,A,B,B,A,C,C,5,5,5,5,4,90
