ID,Présentation du Sujet,Structure,Niveau de Langue,Voix Passive,Concision,Redondance,Langage Négatif,Métaphore,Discours,L'introduction,La conclusion,Persuasivité,Clarté du Langage,Créativité du discours,Global
PES04,A,A,B,A,C,A,B,B,A,2,2,2,2,4,58
SEN01,C,C,C,B,B,B,A,C,C,5,5,4,5,5,92
UCA11,C,C,C,B,B,B,A,A,A,5,5,4,4,5,92
UPS10,C,C,C,B,B,B,A,C,C,5,5,4,5,5,92
SPC08,C,C,C,B,B,B,A,C,C,5,5,5,5,5,92
LRE11,C,C,C,B,B,B,A,C,C,5,5,5,5,5,ERROR
SOU15,C,C,C,B,C,B,A,C,A,5,4,5,5,5,92
UCA07,B,A,B,B,C,B,A,C,C,3,3,3,2,5,62
BRE16,C,C,C,ERROR,B,B,A,C,C,5,5,5,5,5,92
SPC09,B,B,B,B,B,C,A,C,A,4,2,3,4,4,75
ALS08,C,C,C,B,B,B,A,C,C,5,5,5,5,5,93
PES08,C,C,C,B,B,B,B,C,C,5,5,5,5,5,92
LYO02,C,C,C,B,C,B,A,C,A,5,5,4,4,5,91
UCA05,C,C,B,B,C,B,A,C,A,5,4,4,3,5,85
CVL01,C,C,C,A,B,B,A,C,C,5,4,5,5,5,92
BOD07,C,C,C,A,B,B,A,C,C,5,5,4,5,5,92
ALS03,C,C,B,B,B,B,A,C,C,5,5,4,5,5,91
GRE03,C,C,C,B,B,B,A,C,C,5,3,4,5,5,92
PES06,C,C,C,B,B,B,A,C,A,5,5,5,5,5,92
OCM10,C,C,C,B,B,B,A,C,A,5,5,5,5,5,92
LOR02,C,ERROR,C,B,B,B,A,C,C,5,5,5,5,5,ERROR
UPL02,C,C,C,A,B,B,A,B,C,5,5,4,4,5,91
NOR10,C,C,C,B,B,B,A,C,C,5,4,4,5,5,88
BRE14,C,C,C,B,B,B,A,C,C,4,4,4,4,5,87
LYO05,C,C,C,B,C,B,B,C,A,5,4,3,4,4,85
GRE07,C,B,C,A,C,C,A,C,C,5,4,4,4,5,88
POF03,C,C,C,B,B,B,A,C,C,5,4,5,5,5,92
BFC09,C,C,C,B,B,B,B,C,C,5,4,5,5,5,92
BFC10,C,C,C,B,B,B,B,C,C,5,5,4,5,5,92
GRE01,C,C,C,A,B,B,A,C,C,5,5,5,5,5,93
OCM08,C,C,C,B,C,B,A,B,A,5,4,4,4,5,85
LYO01,C,C,C,B,B,B,A,C,C,5,5,5,5,5,92
BOD11,C,C,C,A,B,B,A,C,C,5,4,4,5,5,86
LRE02,C,C,C,B,B,B,A,C,C,5,5,5,5,5,92
OCM07,C,C,C,B,B,B,B,C,C,5,5,5,5,ERROR,92
SPC05,C,C,C,B,B,B,A,C,C,5,5,5,5,5,92
BOD04,C,C,C,B,B,B,A,C,C,5,4,4,5,5,92
POF05,C,C,C,B,C,B,A,A,C,5,5,4,5,5,91
SPC03,C,C,B,B,B,B,A,C,C,5,5,5,5,4,89
SOU01,C,C,C,B,C,B,A,C,C,5,4,5,5,5,91
OCM11,C,C,C,B,B,B,B,C,C,5,5,5,4,5,95
NOR04,C,C,C,B,B,B,A,C,A,5,5,4,5,5,92
SPC04,C,C,C,A,ERROR,ERROR,B,C,C,5,5,5,5,5,94
LDV05,C,C,C,B,B,B,A,C,C,5,5,5,5,5,92
ALS05,C,C,B,B,B,B,A,C,C,5,4,5,5,4,90
LYO10,C,C,C,B,B,B,A,C,C,5,4,4,5,5,92
OCM14,C,C,C,A,B,B,B,B,A,5,4,4,4,4,87
SOU07,C,C,C,B,B,B,A,C,C,5,4,5,5,5,92
BRE04,C,C,C,B,B,B,A,C,C,5,4,5,5,5,93
HES06,C,C,C,A,C,C,A,B,C,5,5,4,4,5,92
UCA02,C,B,C,A,C,C,A,C,C,5,3,4,4,5,84
PES07,C,C,C,B,C,B,A,C,C,5,4,5,5,5,89
UCA14,C,B,B,B,C,B,A,C,C,4,4,4,2,4,74
CFE05,C,C,C,B,B,B,A,C,C,5,4,5,5,5,90
PES03,C,C,C,B,B,B,A,C,C,5,5,5,5,5,92
ALS04,C,C,C,B,B,B,A,C,C,5,5,4,5,5,92
SOU14,C,C,B,B,C,C,A,C,A,4,3,4,4,5,88
CVL03,C,C,B,B,B,B,A,A,C,5,5,5,5,5,92
NOR12,C,C,C,B,B,B,A,C,C,5,5,5,5,4,92
OCM18,C,C,C,B,B,B,A,C,C,5,4,5,5,5,93
BFC02,C,C,B,B,B,B,A,A,ERROR,5,4,5,5,4,89
CFE09,C,C,C,B,B,B,B,C,C,5,5,4,5,5,93
LDV08,C,C,C,B,B,B,B,C,C,5,4,4,5,5,ERROR
SOU10,C,C,B,B,B,B,A,C,C,5,4,5,5,5,92
SOU09,C,C,C,B,B,B,A,C,C,4,4,4,4,5,86
ALS09,C,C,C,A,B,B,A,C,C,5,5,4,5,5,92
ALS11,C,C,C,B,B,B,A,C,C,5,5,5,5,5,92
GRE13,C,C,C,B,B,B,A,C,C,5,4,5,5,5,92
HES08,C,C,C,B,B,B,A,C,A,5,5,5,5,5,92
LDV09,C,C,C,B,C,B,B,C,C,5,5,4,5,5,90
LDV07,C,C,C,B,B,B,A,C,C,5,5,4,4,5,90
ALS10,C,C,C,A,B,B,A,C,C,5,5,4,5,5,92
OCM13,C,C,C,A,B,B,A,B,A,5,5,4,5,4,88
