ID,Présentation du Sujet,Structure,Niveau de Langue,Voix Passive,Concision,Redondance,Langage Négatif,Métaphore,Discours,L'introduction,La conclusion,Persuasivité,Clarté du Langage,Créativité du discours,Global
PES04,A,A,A,A,C,C,C,A,A,2,2,2,2,2,35
SEN01,C,C,C,A,B,B,A,C,C,4,4,4,4,5,85
UCA11,C,C,B,A,C,A,A,A,A,4,4,4,4,4,75
UPS10,C,B,C,A,C,C,A,C,C,4,4,4,4,4,75
SPC08,C,B,B,A,B,B,A,A,A,4,4,4,4,4,75
LRE11,C,C,B,A,B,B,A,C,C,4,4,5,4,4,75
SOU15,C,C,B,A,B,B,A,C,A,4,4,5,4,4,85
UCA07,A,A,A,A,C,C,A,A,A,2,2,2,2,2,40
BRE16,C,C,C,B,B,B,A,C,C,4,4,5,4,5,86
SPC09,B,B,B,A,C,C,A,A,A,3,2,3,2,3,55
ALS08,C,C,B,A,B,B,A,C,C,4,4,4,4,5,85
PES08,C,C,C,A,B,B,A,C,A,4,4,4,4,4,75
LYO02,C,B,B,A,C,A,A,C,A,4,4,4,4,4,75
UCA05,C,B,B,A,C,C,B,A,A,4,4,3,2,3,75
CVL01,C,B,B,A,B,C,A,A,A,4,4,4,4,4,85
BOD07,C,B,B,A,B,B,A,C,A,4,4,3,4,4,75
ALS03,C,B,B,A,B,C,A,C,C,4,4,4,4,3,75
GRE03,C,C,B,A,B,A,A,A,A,4,4,4,4,4,75
PES06,C,C,B,A,B,A,A,A,A,4,4,4,4,4,85
OCM10,C,C,B,A,B,B,A,C,A,4,4,4,4,5,85
LOR02,C,C,C,A,B,B,A,C,A,4,4,4,4,4,85
UPL02,C,B,C,A,B,B,A,A,C,4,4,4,4,4,75
NOR10,B,B,B,A,B,B,A,C,B,4,4,4,4,4,75
BRE14,B,B,B,A,B,B,A,C,A,3,4,3,3,4,75
LYO05,B,B,C,A,C,A,B,B,A,4,3,3,3,3,75
GRE07,B,B,B,A,C,C,A,B,A,3,2,3,3,4,75
POF03,C,C,B,A,B,B,A,A,A,4,4,4,4,4,75
BFC09,C,C,B,B,B,B,A,A,A,4,4,4,4,4,75
BFC10,C,C,B,A,B,A,B,C,C,4,4,4,4,5,82
GRE01,C,C,C,A,B,A,A,A,C,4,4,4,4,4,75
OCM08,B,B,C,A,C,C,A,A,A,3,2,3,3,3,70
LYO01,C,C,B,A,B,C,A,A,A,4,4,4,4,4,75
BOD11,B,B,B,A,B,C,A,C,C,3,3,3,3,4,65
LRE02,C,C,C,A,B,B,A,C,A,4,4,5,4,4,85
OCM07,C,C,C,A,C,B,A,C,A,4,4,4,4,4,77
SPC05,C,C,C,A,B,B,A,C,C,4,5,4,4,5,85
BOD04,C,B,C,A,B,B,A,C,C,4,4,3,4,4,75
POF05,C,C,B,A,B,B,A,A,A,4,4,4,4,3,85
SPC03,C,C,B,A,B,B,A,A,A,4,4,4,4,4,75
SOU01,C,C,C,A,B,B,A,C,A,4,4,4,4,4,85
OCM11,C,C,C,A,B,B,C,C,C,5,5,5,4,5,85
NOR04,C,C,B,A,B,A,A,A,A,4,4,4,4,4,72
SPC04,C,C,C,A,B,B,A,C,C,4,4,4,4,4,85
LDV05,C,C,C,A,B,C,A,C,C,4,4,4,4,4,75
ALS05,C,C,B,B,B,B,A,A,A,4,4,4,4,4,76
LYO10,C,B,B,A,B,B,A,A,A,4,4,4,4,4,75
OCM14,C,B,B,A,C,A,C,A,A,4,4,4,4,4,75
SOU07,C,B,B,A,B,A,A,A,A,4,3,4,4,4,75
BRE04,C,C,B,A,B,B,A,A,A,4,4,4,4,4,85
HES06,C,B,B,A,C,C,A,A,C,4,4,3,4,4,75
UCA02,B,B,B,A,C,C,A,C,A,4,4,4,3,4,75
PES07,C,B,B,A,B,A,A,A,B,4,4,4,4,3,75
UCA14,B,B,A,A,C,C,A,B,A,2,2,2,2,2,58
CFE05,C,B,B,B,B,B,A,C,A,5,4,4,4,4,75
PES03,C,C,B,A,B,B,A,A,C,4,5,4,5,5,85
ALS04,C,C,C,A,B,B,A,A,C,4,5,4,5,4,75
SOU14,C,C,B,A,C,C,A,A,A,3,4,4,3,4,87
CVL03,C,C,B,A,B,B,A,A,A,4,5,5,4,4,85
NOR12,C,C,B,B,B,B,A,A,A,4,4,5,4,3,85
OCM18,C,C,B,A,B,B,A,C,C,4,4,4,4,4,75
BFC02,C,B,B,A,C,C,A,A,A,4,4,4,4,4,85
CFE09,C,C,B,A,B,B,A,C,C,4,4,4,4,4,85
LDV08,C,C,B,A,B,B,A,B,A,4,4,4,4,4,75
SOU10,C,C,B,A,B,C,A,A,A,4,4,4,4,4,75
SOU09,C,B,B,A,B,C,B,A,A,4,3,3,3,4,78
ALS09,B,B,B,A,B,B,A,C,C,4,4,4,4,4,75
ALS11,C,C,C,A,B,C,A,C,A,4,4,4,5,4,85
GRE13,B,B,B,A,B,B,A,C,B,4,3,4,4,4,75
HES08,C,C,B,B,B,A,A,A,A,4,4,4,4,4,75
LDV09,C,B,B,A,B,C,A,B,A,4,4,4,4,4,75
LDV07,B,B,B,A,B,B,A,B,A,4,3,3,3,4,75
ALS10,C,C,B,A,B,B,A,A,C,4,5,4,4,5,85
OCM13,B,B,B,A,B,C,A,A,A,4,3,4,4,4,62
HES02,C,B,C,A,B,B,A,C,A,4,4,4,4,4,75
HES03,B,B,B,A,B,A,A,A,C,2,3,3,3,3,65
NOR05,B,B,B,A,B,C,A,B,B,3,3,3,3,4,70
LOR03,B,B,C,A,B,C,A,C,C,4,3,2,3,5,75
CVL02,C,C,B,A,B,B,A,A,C,4,4,4,4,3,75
UPS04,B,B,B,A,C,C,A,A,C,3,3,4,3,4,75
HES05,C,B,B,A,B,B,A,A,A,4,3,3,4,4,75
SEN02,B,B,C,A,B,B,A,C,A,4,3,4,4,5,75
BOD12,C,C,B,A,B,B,A,C,C,4,4,4,5,4,75
LYO11,C,C,C,A,B,B,A,C,A,4,4,4,4,4,75
BOD01,C,C,B,A,B,A,A,C,A,3,4,4,4,3,75
SOU13,C,B,B,A,B,B,A,A,C,4,4,4,4,4,75
CFE02,B,B,C,A,C,C,A,C,B,3,3,4,3,4,85
HES01,B,B,B,A,C,C,A,C,B,3,3,3,3,4,75
LOR08,C,B,B,A,B,C,A,A,A,4,4,4,3,3,72
LRE09,B,B,B,A,C,B,A,C,C,3,2,3,4,4,65
BFC06,C,C,B,A,B,B,A,A,C,4,4,4,4,3,85
