ID,Présentation du Sujet,Structure,Niveau de Langue,Voix Passive,Concision,Redondance,Langage Négatif,Métaphore,Discours,L'introduction,La conclusion,Persuasivité,Clarté du Langage,Créativité du discours,Global
PES04,B,A,B,C,C,C,A,B,A,3,2,3,2,3,60
SEN01,C,C,C,B,B,B,A,C,C,5,5,4,4,5,85
UCA11,B,C,C,B,C,B,B,A,A,4,4,4,4,4,85
UPS10,C,C,C,B,B,B,A,C,C,4,5,4,4,5,85
SPC08,C,C,B,B,B,B,A,C,C,4,4,4,4,4,85
LRE11,C,C,B,B,B,B,A,C,C,4,4,5,4,4,85
SOU15,C,C,B,B,B,B,A,C,A,4,4,4,4,4,85
UCA07,B,B,B,C,C,C,A,C,A,3,3,3,2,4,65
BRE16,C,C,C,B,B,B,A,C,C,5,5,5,5,5,90
SPC09,B,B,B,B,B,C,A,C,A,4,2,4,3,4,75
ALS08,C,C,C,B,B,B,A,C,C,5,5,5,5,5,85
PES08,C,C,C,B,B,B,B,C,C,5,5,4,4,5,85
LYO02,C,B,C,B,B,B,A,C,A,4,4,4,4,5,85
UCA05,C,C,B,B,C,B,B,C,A,4,4,4,3,4,85
CVL01,C,C,B,B,B,B,A,C,C,5,4,5,4,4,85
BOD07,C,C,C,B,B,B,A,C,C,5,5,4,4,4,85
ALS03,C,C,B,B,B,B,A,C,C,4,4,4,4,4,85
GRE03,C,C,C,B,B,B,B,C,A,4,4,4,4,4,85
PES06,C,C,B,B,B,B,A,C,A,5,4,4,4,4,85
OCM10,C,C,C,B,B,B,B,C,A,5,5,5,4,4,90
LOR02,C,C,C,B,B,B,A,C,C,5,5,4,5,4,85
UPL02,C,C,C,B,B,B,A,C,C,4,4,4,4,4,85
NOR10,C,C,B,B,B,B,A,C,C,4,5,4,4,4,85
BRE14,B,C,B,B,B,B,A,C,C,4,4,4,4,4,75
LYO05,B,B,C,B,C,B,B,C,A,4,4,4,4,4,75
GRE07,C,B,B,B,C,C,A,C,A,4,4,4,3,4,85
POF03,C,C,B,B,B,B,A,C,C,5,4,5,4,4,85
BFC09,C,C,B,B,B,B,A,C,A,5,4,4,4,4,85
BFC10,C,C,C,B,B,B,B,C,C,5,4,4,4,4,85
GRE01,C,C,C,B,B,B,A,C,C,5,5,5,4,5,90
OCM08,B,B,C,B,B,B,A,B,A,4,4,4,3,4,85
LYO01,C,C,B,B,B,B,A,C,C,5,4,4,4,4,85
BOD11,C,C,B,B,B,B,A,C,C,4,4,4,4,4,85
LRE02,C,C,C,B,B,B,B,C,C,5,4,4,4,4,85
OCM07,C,C,C,B,B,B,B,C,A,5,5,4,4,4,85
SPC05,C,C,C,B,B,B,A,C,C,5,5,5,4,5,90
BOD04,C,C,C,B,B,B,A,C,C,4,4,4,4,4,85
POF05,C,C,B,B,C,B,A,A,C,5,4,4,4,4,85
SPC03,C,C,B,B,B,B,A,A,C,4,5,4,4,4,85
SOU01,C,C,C,B,B,B,A,C,C,5,4,5,4,5,85
OCM11,C,C,C,B,B,B,B,C,C,5,5,5,4,5,90
NOR04,C,C,B,B,B,B,A,C,A,4,4,4,4,4,85
SPC04,C,C,C,B,B,B,A,C,C,5,5,5,4,5,85
LDV05,C,C,C,B,B,B,A,C,C,4,4,5,4,4,85
ALS05,C,C,B,B,B,B,A,B,C,5,5,4,4,4,85
LYO10,C,C,B,B,B,B,B,C,C,4,4,4,4,4,85
OCM14,C,B,B,B,C,C,C,A,A,4,4,4,3,4,75
SOU07,C,C,B,B,B,B,A,C,C,4,4,4,4,4,85
BRE04,C,C,B,B,B,B,B,C,A,4,4,4,4,4,85
HES06,C,B,B,B,C,C,B,A,C,4,5,4,4,4,85
UCA02,C,C,C,B,B,B,A,C,A,4,4,4,3,4,85
PES07,C,C,B,B,B,B,A,C,B,4,4,4,4,4,85
UCA14,B,A,B,A,C,C,A,C,A,4,4,4,3,4,75
CFE05,C,C,B,B,B,B,B,C,C,5,5,4,5,4,85
PES03,C,C,B,B,B,B,A,C,C,5,5,5,4,5,85
ALS04,C,C,C,B,B,B,A,C,C,5,5,4,5,5,85
