ID,Présentation du Sujet,Structure,Niveau de Langue,Voix Passive,Concision,Redondance,Langage Négatif,Métaphore,Discours,L'introduction,La conclusion,Persuasivité,Clarté du Langage,Créativité du discours,Global
PES04,A,A,B,A,B,C,C,A,A,2,ERROR,2,2,2,45
SEN01,C,C,C,B,B,B,A,C,C,ERROR,3,4,4,5,70
UCA11,C,C,B,B,B,B,B,A,A,4,5,4,3,4,77
UPS10,C,C,B,B,B,C,A,C,B,5,3,3,5,5,52
SPC08,B,C,B,A,B,B,B,C,A,4,4,4,5,4,75
LRE11,C,C,B,B,B,B,A,C,C,3,3,5,5,4,ERROR
SOU15,C,C,C,B,B,B,A,B,A,ERROR,5,4,5,5,76
UCA07,A,A,A,C,C,C,A,B,A,4,2,3,2,4,75
BRE16,C,C,C,B,B,B,A,C,B,4,4,5,5,5,93
SPC09,B,B,B,A,B,C,A,B,A,3,1,2,2,4,75
ALS08,C,C,C,B,B,B,B,C,C,3,4,4,5,5,75
PES08,C,C,C,B,B,B,B,C,A,4,4,4,5,5,72
LYO02,C,B,C,B,B,A,A,C,A,4,4,4,4,5,75
UCA05,B,B,B,B,C,C,B,A,A,3,3,4,3,3,75
CVL01,C,C,B,B,B,B,A,B,A,4,3,4,3,4,45
BOD07,B,B,C,A,B,B,B,C,A,4,3,3,5,4,76
ALS03,C,B,B,B,B,C,A,C,C,4,4,ERROR,5,4,75
GRE03,C,C,B,B,B,B,B,C,A,4,4,4,5,4,92
PES06,C,C,B,B,B,B,A,C,A,4,4,4,5,4,95
OCM10,C,C,C,B,B,B,B,C,A,5,4,4,4,5,95
LOR02,C,C,C,B,B,B,A,ERROR,A,4,5,5,5,5,72
UPL02,C,C,B,A,B,B,A,A,C,4,3,4,4,4,75
NOR10,B,C,C,A,B,B,A,C,C,4,3,3,5,4,75
BRE14,C,B,C,A,B,ERROR,A,C,B,4,3,4,3,ERROR,54
LYO05,B,B,B,B,C,B,B,B,A,3,ERROR,3,3,4,70
GRE07,B,B,B,B,B,C,A,C,A,3,4,3,3,4,76
POF03,C,C,B,B,B,B,A,C,A,4,4,5,4,4,72
BFC09,C,C,B,B,B,B,B,C,B,4,4,4,ERROR,4,75
BFC10,B,C,C,B,B,B,B,C,C,4,3,4,5,4,82
GRE01,C,C,C,A,B,B,ERROR,C,C,5,5,5,5,5,75
OCM08,B,B,B,A,C,A,B,A,A,3,3,4,3,2,56
LYO01,C,C,C,B,B,B,A,A,B,4,4,4,4,5,95
BOD11,C,C,C,B,B,B,ERROR,C,C,4,3,3,3,4,65
LRE02,C,C,C,B,B,B,A,C,A,4,4,4,4,5,75
OCM07,C,C,C,B,B,B,B,C,A,5,4,5,4,4,85
SPC05,C,C,C,B,B,B,A,C,A,5,5,4,5,5,94
BOD04,B,C,B,A,B,B,A,C,C,5,3,3,4,ERROR,75
POF05,C,C,B,B,B,B,A,A,A,4,3,4,4,3,92
SPC03,C,C,C,A,B,B,B,A,B,3,4,4,4,4,92
SOU01,C,C,C,A,B,A,A,C,A,4,3,4,4,5,94
OCM11,C,C,C,A,C,B,B,C,C,4,4,5,3,5,ERROR
NOR04,C,C,C,B,B,B,A,A,A,4,4,4,ERROR,5,85
SPC04,C,C,C,B,B,B,A,C,C,4,4,4,5,5,92
LDV05,C,C,C,B,B,B,B,B,A,3,4,4,4,5,74
ALS05,C,C,B,B,B,B,A,A,B,ERROR,4,4,5,3,61
LYO10,C,C,C,A,B,B,B,B,A,4,3,3,4,ERROR,69
OCM14,C,B,C,B,B,B,B,A,A,4,3,4,4,4,72
SOU07,C,C,B,B,B,B,B,C,A,4,3,3,4,4,92
BRE04,C,C,C,B,B,B,A,A,A,4,3,4,4,4,92
HES06,B,B,B,B,B,C,B,A,C,4,4,4,5,3,58
UCA02,B,B,B,A,B,C,A,C,A,4,3,3,3,4,75
PES07,C,C,C,B,B,B,A,B,A,4,4,4,4,ERROR,75
UCA14,B,A,A,A,B,C,A,C,A,3,4,4,3,4,75
CFE05,B,C,C,B,B,B,B,C,C,4,3,4,4,4,92
PES03,C,C,C,B,B,B,B,A,C,5,5,5,4,5,77
ALS04,C,C,C,B,B,ERROR,A,A,A,5,5,5,4,5,75
SOU14,C,B,B,B,C,C,A,A,A,4,ERROR,4,4,4,92
CVL03,C,C,B,A,B,B,A,A,A,4,4,4,5,4,91
NOR12,C,C,B,B,B,B,A,C,A,5,3,5,4,4,92
OCM18,C,C,B,B,B,B,A,C,C,5,3,4,4,4,77
BFC02,C,C,B,B,B,B,A,A,B,3,3,4,5,4,75
CFE09,C,C,C,B,B,B,A,C,C,5,4,4,5,4,80
LDV08,C,C,C,B,B,B,B,C,A,5,3,3,5,5,78
SOU10,C,C,B,B,B,C,A,C,A,4,3,4,5,5,73
SOU09,C,B,B,B,B,B,C,C,A,3,3,4,4,4,75
ALS09,B,B,C,A,B,B,A,C,C,3,3,3,4,5,67
ALS11,B,C,C,B,B,C,A,C,A,4,4,4,5,5,75
GRE13,B,B,B,B,B,B,B,C,A,ERROR,3,4,5,5,55
HES08,C,C,C,B,B,B,A,A,A,5,4,5,5,ERROR,72
LDV09,C,C,C,B,B,B,B,C,C,4,ERROR,3,4,4,ERROR
LDV07,C,C,C,A,B,B,A,C,B,4,4,3,4,4,75
ALS10,C,C,B,A,B,B,A,C,C,4,4,3,5,4,83
OCM13,B,B,B,A,B,B,A,A,A,4,2,ERROR,4,3,65
HES02,C,C,C,A,B,B,A,B,A,5,4,5,3,5,35
HES03,B,B,C,A,B,B,A,C,C,3,3,3,4,4,<MASK>
NOR05,C,B,B,A,B,C,A,B,B,4,3,3,4,4,67
LOR03,C,C,C,B,B,C,B,C,C,4,4,4,5,4,76
CVL02,C,C,B,B,B,B,B,C,C,4,3,4,5,4,78
UPS04,C,B,B,B,B,C,A,A,C,4,4,5,5,5,91
HES05,B,C,C,B,B,B,A,A,C,4,3,ERROR,5,4,75
SEN02,C,B,B,A,B,B,C,C,<MASK>C,4,2,3,5,5,75
BOD12,C,B,C,B,B,B,B,C,A,4,5,4,4,5,73
LYO11,C,C,C,B,B,B,B,C,B,5,3,3,4,5,67
BOD01,C,C,C,B,B,B,B,C,B,3,4,4,5,4,ERROR
SOU13,C,C,C,B,B,B,A,C,ERROR,4,3,4,5,4,72
CFE02,C,C,C,A,B,C,A,C,C,3,3,4,3,5,92
HES01,C,B,B,A,A,C,A,C,C,4,ERROR,4,4,4,75
LOR08,C,B,C,B,B,B,B,A,A,3,4,4,4,4,79
LRE09,C,B,B,A,C,C,A,C,C,3,3,3,4,4,65
BFC06,C,C,B,B,B,B,B,C,C,5,4,4,ERROR,3,78
