ID,Présentation du Sujet,Structure,Niveau de Langue,Voix Passive,Concision,Redondance,Langage Négatif,Métaphore,Discours,L'introduction,La conclusion,Persuasivité,Clarté du Langage,Créativité du discours,Global
PES04,A,A,B,A,C,C,B,B,A,2,1,2,2,3,58
SEN01,C,C,C,B,C,B,A,C,C,5,4,4,4,5,85
UCA11,C,C,C,B,B,B,B,B,A,4,4,4,4,4,85
UPS10,C,C,C,B,B,B,A,C,C,5,5,4,5,5,85
SPC08,C,C,C,B,B,B,B,C,C,4,4,4,4,4,87
LRE11,C,C,C,B,B,B,A,C,C,5,5,4,5,5,85
SOU15,C,C,C,B,C,B,A,C,A,5,4,5,5,5,90
UCA07,C,A,B,B,C,C,A,B,A,2,2,3,2,5,72
BRE16,C,C,C,B,C,B,A,C,C,5,5,5,5,5,92
SPC09,B,B,B,B,C,C,A,C,A,3,2,2,3,4,75
ALS08,C,C,C,B,B,B,A,C,C,5,4,5,5,5,95
PES08,C,C,C,B,C,B,B,C,C,5,5,4,3,5,87
LYO02,C,B,C,B,C,B,A,C,A,4,5,4,4,5,85
UCA05,C,B,B,B,C,A,A,C,A,5,4,4,3,4,80
CVL01,C,C,C,B,B,B,A,B,C,5,3,4,4,4,85
BOD07,C,C,C,B,B,B,B,C,C,5,5,4,4,5,87
ALS03,C,C,C,B,B,C,A,C,C,4,4,4,5,5,85
GRE03,C,C,C,B,B,B,B,C,A,5,4,4,4,5,85
PES06,C,C,B,B,B,B,A,C,A,4,5,5,4,4,85
OCM10,C,C,C,B,B,B,B,C,A,5,5,5,4,4,90
LOR02,C,C,C,B,B,B,A,C,C,5,4,5,4,5,85
UPL02,C,C,B,B,B,B,A,A,C,5,4,4,4,5,87
NOR10,C,B,B,B,B,B,B,C,C,4,5,4,4,5,85
BRE14,C,C,C,B,B,B,B,C,C,4,5,4,4,5,85
LYO05,C,B,C,B,C,B,B,C,A,4,3,3,4,4,70
GRE07,C,B,C,B,C,C,A,C,A,3,4,4,3,4,85
POF03,C,C,C,B,C,B,A,C,B,4,4,4,5,4,85
BFC09,C,C,C,B,B,B,B,C,C,5,4,5,4,5,92
BFC10,C,C,C,B,B,B,B,C,C,5,4,4,4,5,88
GRE01,C,C,C,B,B,B,B,C,C,5,5,4,5,5,90
OCM08,B,B,C,B,C,C,B,B,A,4,3,3,3,4,85
LYO01,C,C,C,B,B,B,A,C,C,3,4,4,5,5,85
BOD11,C,B,C,B,B,B,A,C,C,4,4,4,4,5,85
LRE02,C,C,C,B,B,B,B,C,C,5,5,4,4,5,92
OCM07,C,C,C,B,C,B,B,C,A,5,4,4,4,4,85
SPC05,C,C,C,B,B,B,A,C,C,5,5,4,4,5,95
BOD04,C,B,B,B,B,B,A,C,C,4,3,4,4,5,85
POF05,C,C,C,B,C,B,A,A,A,4,4,5,5,4,90
SPC03,C,C,B,B,B,B,B,C,C,4,5,4,4,4,90
SOU01,C,C,C,B,B,B,A,C,C,4,4,4,4,5,85
OCM11,C,C,C,B,B,B,B,C,C,5,4,5,3,5,95
NOR04,C,C,C,B,B,B,A,B,A,5,5,4,5,4,85
SPC04,C,C,C,B,B,B,B,C,C,5,5,5,4,5,95
LDV05,C,C,C,B,B,B,B,C,A,5,5,5,5,5,85
ALS05,C,C,C,B,B,B,A,C,C,5,4,4,5,4,88
LYO10,C,C,C,B,B,B,B,C,C,4,4,4,5,5,85
OCM14,C,B,B,A,B,B,B,B,A,4,4,4,4,4,85
SOU07,C,C,B,B,B,B,B,C,A,4,3,4,4,4,85
BRE04,C,C,C,B,B,B,B,C,C,4,4,5,4,5,87
HES06,C,B,B,B,C,B,B,A,C,4,5,4,4,4,90
UCA02,B,B,C,B,C,C,A,C,A,4,3,4,3,4,85
PES07,C,C,C,B,C,B,A,B,C,4,5,4,4,4,85
UCA14,C,A,B,B,C,C,B,C,A,3,3,4,2,4,78
CFE05,C,C,C,B,B,B,B,C,C,4,3,5,5,4,90
PES03,C,C,C,B,B,B,B,C,C,5,5,5,5,5,90
ALS04,C,C,C,B,B,B,B,C,C,4,5,4,5,5,85
SOU14,C,B,B,B,C,C,A,C,A,4,4,5,4,5,85
CVL03,C,C,B,B,B,B,B,A,C,5,5,4,4,5,90
NOR12,C,C,C,B,B,B,B,C,C,5,5,5,5,4,95
OCM18,C,C,B,B,B,B,A,C,C,4,4,4,5,5,89
BFC02,C,C,B,B,B,B,B,A,C,4,3,5,4,4,85
CFE09,C,C,C,B,B,B,B,C,C,5,4,4,5,5,85
LDV08,C,C,C,B,B,B,B,C,C,5,4,4,5,4,85
SOU10,C,C,C,B,B,B,A,C,A,5,4,4,5,5,90
SOU09,C,B,B,B,C,C,B,C,A,4,3,4,4,5,85
ALS09,C,C,B,A,B,B,A,C,C,5,4,4,5,5,85
ALS11,C,C,C,B,B,B,A,C,C,5,5,5,5,5,90
GRE13,C,C,C,B,B,B,B,C,C,4,4,4,4,5,85
HES08,C,C,C,B,B,B,A,C,A,4,5,5,4,5,88
LDV09,C,C,C,B,C,B,B,C,C,4,4,4,4,4,85
LDV07,C,C,C,B,B,B,A,C,C,4,4,4,3,5,85
ALS10,C,C,C,B,B,B,A,C,C,4,5,5,5,4,87
OCM13,C,B,C,B,B,B,A,A,A,5,4,4,5,4,85
HES02,C,C,C,B,B,B,B,C,C,5,5,5,4,5,92
HES03,C,C,C,B,B,B,B,C,C,4,3,4,4,4,85
NOR05,C,C,B,B,C,C,A,C,C,4,4,4,4,5,85
LOR03,C,C,C,B,B,B,B,C,C,4,3,4,4,5,85
CVL02,C,C,B,B,B,B,B,C,C,5,4,4,4,4,85
UPS04,C,C,B,B,B,C,B,C,C,4,4,4,4,5,85
HES05,C,C,B,B,B,B,A,C,C,5,3,4,5,4,85
SEN02,C,C,C,B,C,B,B,C,C,3,4,4,4,5,85
BOD12,C,C,C,B,B,B,B,C,A,5,4,4,5,5,89
LYO11,C,C,C,B,B,B,B,C,C,5,4,4,4,5,85
BOD01,C,C,C,B,C,B,B,C,A,5,4,4,4,4,87
SOU13,C,B,C,B,B,B,B,C,C,4,4,4,4,4,85
CFE02,C,B,C,B,B,C,A,C,C,3,3,4,4,5,85
HES01,C,B,C,B,C,C,B,C,C,4,3,4,3,4,85
LOR08,C,B,C,B,C,B,A,B,C,4,4,4,4,4,85
LRE09,C,C,B,B,C,B,A,C,C,5,4,4,4,4,85
BFC06,C,C,C,B,B,B,A,C,C,5,5,5,5,4,85
