Lexical_Feature,Criterion,Category,Correlation_Trend,Significant_Changes_raw,Alpha_raw,N_Eligible_Comparisons_raw,Significant_Changes_bonf_full_vs_rest,Alpha_bonf_full_vs_rest,N_Eligible_Comparisons_bonf_full_vs_rest,Significant_Changes_bonf_parts_only,Alpha_bonf_parts_only,N_Eligible_Comparisons_bonf_parts_only,Significant_Changes_bonf_all,Alpha_bonf_all,N_Eligible_Comparisons_bonf_all
proportion_ADJ,Présentation du Sujet,pos_tag_density,"full:-0.09 (p=0.375) → beginning:-0.11 (p=0.324) ↓, middle:-0.05 (p=0.656) ↑, end:-0.05 (p=0.621) ↑",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_ADJ,Structure,pos_tag_density,"full:0.05 (p=0.609) → beginning:0.05 (p=0.670) ↓, middle:0.11 (p=0.289) ↑, end:-0.02 (p=0.858) ↓",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_ADJ,Niveau de Langue,pos_tag_density,"full:0.13 (p=0.230) → beginning:0.17 (p=0.109) ↑, middle:0.16 (p=0.134) ↑, end:-0.04 (p=0.735) ↓",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_ADJ,Voix Passive,pos_tag_density,"full:-0.06 (p=0.554) → beginning:-0.08 (p=0.468) ↓, middle:0.08 (p=0.441) ↑, end:-0.08 (p=0.482) ↓",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_ADJ,Concision,pos_tag_density,"full:-0.06 (p=0.558) → beginning:-0.08 (p=0.472) ↓, middle:0.06 (p=0.596) ↑, end:-0.06 (p=0.584) ↑",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_ADJ,Redondance,pos_tag_density,"full:-0.01 (p=0.927) → beginning:0.07 (p=0.537) ↑, middle:0.08 (p=0.455) ↑, end:-0.09 (p=0.388) ↓",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_ADJ,Langage Négatif,pos_tag_density,"full:0.24 (p=0.024) → beginning:0.36 (p=0.000) ↑, middle:-0.07 (p=0.484) ↓, end:0.23 (p=0.027) ↓",full_vs_middle; beginning_vs_middle; middle_vs_end,0.05,6,,0.01667,3,beginning_vs_middle,0.01667,3,beginning_vs_middle,0.00833,6
proportion_ADJ,Métaphore,pos_tag_density,"full:-0.03 (p=0.760) → beginning:0.12 (p=0.269) ↑, middle:0.01 (p=0.897) ↑, end:-0.21 (p=0.045) ↓",beginning_vs_end,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_ADJ,Discours,pos_tag_density,"full:-0.27 (p=0.010) → beginning:-0.21 (p=0.047) ↑, middle:-0.11 (p=0.311) ↑, end:-0.16 (p=0.121) ↑",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_ADJ,L'introduction,pos_tag_density,"full:0.04 (p=0.705) → beginning:0.06 (p=0.553) ↑, middle:0.09 (p=0.425) ↑, end:-0.01 (p=0.925) ↓",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_ADJ,La conclusion,pos_tag_density,"full:-0.00 (p=0.967) → beginning:0.03 (p=0.774) ↑, middle:0.08 (p=0.460) ↑, end:0.00 (p=0.996) ↑",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_ADJ,Persuasivité,pos_tag_density,"full:-0.04 (p=0.690) → beginning:0.02 (p=0.819) ↑, middle:-0.05 (p=0.657) ↓, end:-0.10 (p=0.368) ↓",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_ADJ,Clarté du Langage,pos_tag_density,"full:0.07 (p=0.520) → beginning:0.05 (p=0.654) ↓, middle:0.12 (p=0.260) ↑, end:0.01 (p=0.926) ↓",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_ADJ,Créativité du discours,pos_tag_density,"full:-0.07 (p=0.514) → beginning:-0.06 (p=0.579) ↑, middle:0.10 (p=0.353) ↑, end:-0.15 (p=0.145) ↓",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_ADJ,Global,pos_tag_density,"full:0.02 (p=0.816) → beginning:0.05 (p=0.649) ↑, middle:0.01 (p=0.896) ↓, end:0.02 (p=0.840) ↓",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_ADV,Présentation du Sujet,pos_tag_density,"full:0.11 (p=0.298) → beginning:0.04 (p=0.732) ↓, middle:0.20 (p=0.057) ↑, end:0.09 (p=0.381) ↓",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_ADV,Structure,pos_tag_density,"full:0.07 (p=0.522) → beginning:0.03 (p=0.779) ↓, middle:0.15 (p=0.155) ↑, end:0.04 (p=0.732) ↓",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_ADV,Niveau de Langue,pos_tag_density,"full:0.12 (p=0.274) → beginning:0.09 (p=0.404) ↓, middle:0.01 (p=0.949) ↓, end:0.16 (p=0.136) ↑",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_ADV,Voix Passive,pos_tag_density,"full:0.05 (p=0.616) → beginning:-0.05 (p=0.656) ↓, middle:0.14 (p=0.198) ↑, end:0.07 (p=0.525) ↑",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_ADV,Concision,pos_tag_density,"full:0.03 (p=0.791) → beginning:0.07 (p=0.500) ↑, middle:0.08 (p=0.439) ↑, end:-0.03 (p=0.795) ↓",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_ADV,Redondance,pos_tag_density,"full:0.20 (p=0.063) → beginning:0.14 (p=0.202) ↓, middle:0.20 (p=0.065) ↓, end:0.20 (p=0.053) ↑",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_ADV,Langage Négatif,pos_tag_density,"full:0.05 (p=0.665) → beginning:0.01 (p=0.915) ↓, middle:0.16 (p=0.139) ↑, end:-0.09 (p=0.378) ↓",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_ADV,Métaphore,pos_tag_density,"full:-0.11 (p=0.302) → beginning:-0.17 (p=0.114) ↓, middle:0.01 (p=0.921) ↑, end:0.03 (p=0.798) ↑",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_ADV,Discours,pos_tag_density,"full:-0.04 (p=0.721) → beginning:0.07 (p=0.514) ↑, middle:-0.03 (p=0.805) ↑, end:-0.03 (p=0.809) ↑",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_ADV,L'introduction,pos_tag_density,"full:0.19 (p=0.068) → beginning:0.11 (p=0.289) ↓, middle:0.15 (p=0.150) ↓, end:0.22 (p=0.040) ↑",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_ADV,La conclusion,pos_tag_density,"full:-0.07 (p=0.526) → beginning:0.03 (p=0.752) ↑, middle:-0.04 (p=0.737) ↑, end:-0.06 (p=0.563) ↑",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_ADV,Persuasivité,pos_tag_density,"full:0.01 (p=0.926) → beginning:-0.14 (p=0.198) ↓, middle:0.16 (p=0.143) ↑, end:0.08 (p=0.452) ↑",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_ADV,Clarté du Langage,pos_tag_density,"full:0.01 (p=0.943) → beginning:0.11 (p=0.306) ↑, middle:0.04 (p=0.705) ↑, end:-0.04 (p=0.697) ↓",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_ADV,Créativité du discours,pos_tag_density,"full:0.07 (p=0.487) → beginning:0.23 (p=0.033) ↑, middle:-0.05 (p=0.658) ↓, end:0.10 (p=0.328) ↑",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_ADV,Global,pos_tag_density,"full:-0.02 (p=0.868) → beginning:-0.02 (p=0.859) ↓, middle:0.09 (p=0.420) ↑, end:-0.02 (p=0.825) ↓",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_INTJ,Présentation du Sujet,pos_tag_density,"full:0.07 (p=0.523) → beginning:0.00 (p=1.000) ↓, middle:0.08 (p=0.443) ↑, end:0.00 (p=0.984) ↓",,0.05,3,,0.025,2,,0.05,1,,0.01667,3
proportion_INTJ,Structure,pos_tag_density,"full:-0.00 (p=0.991) → beginning:-0.01 (p=0.918) ↓, middle:-0.13 (p=0.211) ↓, end:0.05 (p=0.614) ↑",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_INTJ,Niveau de Langue,pos_tag_density,"full:0.00 (p=0.994) → beginning:0.07 (p=0.522) ↑, middle:-0.03 (p=0.775) ↓, end:0.02 (p=0.878) ↑",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_INTJ,Voix Passive,pos_tag_density,"full:0.19 (p=0.074) → beginning:0.09 (p=0.408) ↓, middle:0.06 (p=0.606) ↓, end:0.16 (p=0.125) ↓",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_INTJ,Concision,pos_tag_density,"full:0.18 (p=0.092) → beginning:0.15 (p=0.159) ↓, middle:0.11 (p=0.317) ↓, end:0.11 (p=0.307) ↓",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_INTJ,Redondance,pos_tag_density,"full:0.01 (p=0.932) → beginning:0.08 (p=0.434) ↑, middle:0.02 (p=0.879) ↑, end:-0.03 (p=0.786) ↓",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_INTJ,Langage Négatif,pos_tag_density,"full:-0.04 (p=0.708) → beginning:-0.05 (p=0.620) ↓, middle:-0.10 (p=0.332) ↓, end:0.02 (p=0.872) ↑",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_INTJ,Métaphore,pos_tag_density,"full:0.10 (p=0.346) → beginning:0.15 (p=0.153) ↑, middle:-0.10 (p=0.326) ↓, end:0.11 (p=0.317) ↑",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_INTJ,Discours,pos_tag_density,"full:0.19 (p=0.069) → beginning:0.18 (p=0.089) ↓, middle:0.04 (p=0.688) ↓, end:0.13 (p=0.228) ↓",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_INTJ,L'introduction,pos_tag_density,"full:-0.02 (p=0.865) → beginning:0.10 (p=0.344) ↑, middle:-0.06 (p=0.557) ↓, end:-0.07 (p=0.519) ↓",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_INTJ,La conclusion,pos_tag_density,"full:-0.19 (p=0.068) → beginning:-0.11 (p=0.283) ↑, middle:-0.04 (p=0.688) ↑, end:-0.19 (p=0.075) ↑",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_INTJ,Persuasivité,pos_tag_density,"full:-0.00 (p=0.971) → beginning:0.07 (p=0.529) ↑, middle:0.07 (p=0.528) ↑, end:-0.14 (p=0.189) ↓",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_INTJ,Clarté du Langage,pos_tag_density,"full:0.08 (p=0.432) → beginning:0.17 (p=0.119) ↑, middle:0.16 (p=0.142) ↑, end:-0.11 (p=0.318) ↓",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_INTJ,Créativité du discours,pos_tag_density,"full:0.09 (p=0.412) → beginning:0.12 (p=0.246) ↑, middle:0.02 (p=0.848) ↓, end:0.11 (p=0.312) ↑",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_INTJ,Global,pos_tag_density,"full:0.03 (p=0.768) → beginning:0.01 (p=0.946) ↓, middle:0.11 (p=0.318) ↑, end:-0.05 (p=0.670) ↓",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_NOUN,Présentation du Sujet,pos_tag_density,"full:0.01 (p=0.912) → beginning:0.07 (p=0.537) ↑, middle:-0.10 (p=0.343) ↓, end:0.01 (p=0.932) ↓",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_NOUN,Structure,pos_tag_density,"full:0.08 (p=0.429) → beginning:0.04 (p=0.676) ↓, middle:-0.13 (p=0.234) ↓, end:0.24 (p=0.021) ↑",middle_vs_end,0.05,6,,0.01667,3,middle_vs_end,0.01667,3,,0.00833,6
proportion_NOUN,Niveau de Langue,pos_tag_density,"full:-0.14 (p=0.194) → beginning:-0.08 (p=0.439) ↑, middle:-0.07 (p=0.532) ↑, end:-0.14 (p=0.189) ↓",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_NOUN,Voix Passive,pos_tag_density,"full:-0.03 (p=0.746) → beginning:0.00 (p=0.973) ↑, middle:-0.16 (p=0.142) ↓, end:0.06 (p=0.600) ↑",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_NOUN,Concision,pos_tag_density,"full:-0.04 (p=0.675) → beginning:-0.04 (p=0.707) ↑, middle:-0.06 (p=0.592) ↓, end:0.02 (p=0.830) ↑",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_NOUN,Redondance,pos_tag_density,"full:-0.06 (p=0.603) → beginning:-0.07 (p=0.505) ↓, middle:-0.07 (p=0.509) ↓, end:0.08 (p=0.467) ↑",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_NOUN,Langage Négatif,pos_tag_density,"full:0.12 (p=0.245) → beginning:0.15 (p=0.145) ↑, middle:0.00 (p=0.974) ↓, end:0.11 (p=0.320) ↓",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_NOUN,Métaphore,pos_tag_density,"full:0.09 (p=0.389) → beginning:0.06 (p=0.595) ↓, middle:0.10 (p=0.362) ↑, end:0.02 (p=0.818) ↓",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_NOUN,Discours,pos_tag_density,"full:-0.27 (p=0.010) → beginning:-0.34 (p=0.001) ↓, middle:-0.30 (p=0.004) ↓, end:0.01 (p=0.922) ↑",beginning_vs_end; middle_vs_end,0.05,6,,0.01667,3,beginning_vs_end,0.01667,3,,0.00833,6
proportion_NOUN,L'introduction,pos_tag_density,"full:0.08 (p=0.468) → beginning:0.26 (p=0.015) ↑, middle:-0.13 (p=0.227) ↓, end:0.06 (p=0.589) ↓",beginning_vs_middle,0.05,6,,0.01667,3,beginning_vs_middle,0.01667,3,,0.00833,6
proportion_NOUN,La conclusion,pos_tag_density,"full:0.08 (p=0.439) → beginning:0.05 (p=0.671) ↓, middle:0.01 (p=0.891) ↓, end:0.04 (p=0.680) ↓",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_NOUN,Persuasivité,pos_tag_density,"full:-0.02 (p=0.820) → beginning:0.12 (p=0.270) ↑, middle:-0.12 (p=0.249) ↓, end:-0.11 (p=0.317) ↓",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_NOUN,Clarté du Langage,pos_tag_density,"full:-0.08 (p=0.461) → beginning:-0.05 (p=0.630) ↑, middle:-0.20 (p=0.065) ↓, end:0.09 (p=0.386) ↑",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_NOUN,Créativité du discours,pos_tag_density,"full:-0.09 (p=0.401) → beginning:-0.14 (p=0.199) ↓, middle:0.01 (p=0.950) ↑, end:-0.07 (p=0.529) ↑",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_NOUN,Global,pos_tag_density,"full:0.09 (p=0.419) → beginning:0.12 (p=0.250) ↑, middle:-0.00 (p=0.973) ↓, end:-0.00 (p=0.990) ↓",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_PRON,Présentation du Sujet,pos_tag_density,"full:0.01 (p=0.927) → beginning:0.02 (p=0.826) ↑, middle:0.07 (p=0.525) ↑, end:-0.08 (p=0.444) ↓",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_PRON,Structure,pos_tag_density,"full:-0.14 (p=0.203) → beginning:-0.02 (p=0.861) ↑, middle:-0.02 (p=0.824) ↑, end:-0.31 (p=0.003) ↓",beginning_vs_end; middle_vs_end,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_PRON,Niveau de Langue,pos_tag_density,"full:0.12 (p=0.241) → beginning:0.05 (p=0.666) ↓, middle:0.08 (p=0.427) ↓, end:0.20 (p=0.056) ↑",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_PRON,Voix Passive,pos_tag_density,"full:0.08 (p=0.455) → beginning:0.06 (p=0.585) ↓, middle:0.18 (p=0.094) ↑, end:-0.07 (p=0.539) ↓",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_PRON,Concision,pos_tag_density,"full:0.08 (p=0.472) → beginning:0.03 (p=0.791) ↓, middle:0.06 (p=0.558) ↓, end:0.01 (p=0.956) ↓",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_PRON,Redondance,pos_tag_density,"full:0.04 (p=0.728) → beginning:-0.00 (p=0.971) ↓, middle:0.03 (p=0.774) ↓, end:-0.09 (p=0.412) ↓",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_PRON,Langage Négatif,pos_tag_density,"full:-0.22 (p=0.039) → beginning:-0.29 (p=0.006) ↓, middle:-0.05 (p=0.635) ↑, end:-0.15 (p=0.160) ↑",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_PRON,Métaphore,pos_tag_density,"full:-0.01 (p=0.944) → beginning:0.02 (p=0.834) ↑, middle:0.03 (p=0.749) ↑, end:-0.01 (p=0.902) ↓",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_PRON,Discours,pos_tag_density,"full:0.31 (p=0.003) → beginning:0.37 (p=0.000) ↑, middle:0.29 (p=0.006) ↓, end:0.06 (p=0.548) ↓",beginning_vs_end,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_PRON,L'introduction,pos_tag_density,"full:-0.06 (p=0.581) → beginning:-0.20 (p=0.056) ↓, middle:0.07 (p=0.510) ↑, end:-0.08 (p=0.436) ↓",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_PRON,La conclusion,pos_tag_density,"full:0.06 (p=0.555) → beginning:-0.00 (p=0.968) ↓, middle:0.11 (p=0.323) ↑, end:0.10 (p=0.365) ↑",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_PRON,Persuasivité,pos_tag_density,"full:0.17 (p=0.102) → beginning:0.05 (p=0.635) ↓, middle:0.21 (p=0.047) ↑, end:0.11 (p=0.289) ↓",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_PRON,Clarté du Langage,pos_tag_density,"full:0.10 (p=0.367) → beginning:0.06 (p=0.563) ↓, middle:0.18 (p=0.092) ↑, end:-0.07 (p=0.533) ↓",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_PRON,Créativité du discours,pos_tag_density,"full:0.19 (p=0.079) → beginning:0.14 (p=0.184) ↓, middle:0.14 (p=0.201) ↓, end:0.16 (p=0.133) ↓",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_PRON,Global,pos_tag_density,"full:0.05 (p=0.627) → beginning:-0.07 (p=0.535) ↓, middle:0.13 (p=0.229) ↑, end:0.10 (p=0.335) ↑",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_PROPN,Présentation du Sujet,pos_tag_density,"full:0.05 (p=0.653) → beginning:0.04 (p=0.730) ↓, middle:-0.03 (p=0.779) ↓, end:0.07 (p=0.492) ↑",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_PROPN,Structure,pos_tag_density,"full:-0.04 (p=0.692) → beginning:-0.04 (p=0.695) ↑, middle:-0.03 (p=0.804) ↑, end:0.07 (p=0.512) ↑",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_PROPN,Niveau de Langue,pos_tag_density,"full:0.12 (p=0.263) → beginning:0.07 (p=0.534) ↓, middle:0.05 (p=0.619) ↓, end:0.21 (p=0.048) ↑",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_PROPN,Voix Passive,pos_tag_density,"full:-0.09 (p=0.386) → beginning:-0.08 (p=0.456) ↑, middle:-0.08 (p=0.430) ↑, end:0.03 (p=0.784) ↑",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_PROPN,Concision,pos_tag_density,"full:-0.04 (p=0.689) → beginning:-0.07 (p=0.503) ↓, middle:-0.06 (p=0.552) ↓, end:0.08 (p=0.449) ↑",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_PROPN,Redondance,pos_tag_density,"full:0.08 (p=0.471) → beginning:0.07 (p=0.517) ↓, middle:0.02 (p=0.821) ↓, end:0.13 (p=0.206) ↑",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_PROPN,Langage Négatif,pos_tag_density,"full:-0.07 (p=0.517) → beginning:0.00 (p=1.000) ↑, middle:0.04 (p=0.738) ↑, end:-0.21 (p=0.043) ↓",,0.05,3,,0.025,2,,0.05,1,,0.01667,3
proportion_PROPN,Métaphore,pos_tag_density,"full:-0.10 (p=0.359) → beginning:-0.09 (p=0.422) ↑, middle:-0.17 (p=0.101) ↓, end:0.05 (p=0.665) ↑",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_PROPN,Discours,pos_tag_density,"full:0.13 (p=0.225) → beginning:0.07 (p=0.536) ↓, middle:0.18 (p=0.093) ↑, end:0.18 (p=0.082) ↑",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_PROPN,L'introduction,pos_tag_density,"full:0.02 (p=0.858) → beginning:-0.01 (p=0.908) ↓, middle:0.08 (p=0.463) ↑, end:0.11 (p=0.284) ↑",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_PROPN,La conclusion,pos_tag_density,"full:0.07 (p=0.534) → beginning:0.04 (p=0.738) ↓, middle:0.08 (p=0.463) ↑, end:0.11 (p=0.322) ↑",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_PROPN,Persuasivité,pos_tag_density,"full:0.00 (p=0.989) → beginning:-0.02 (p=0.859) ↓, middle:-0.10 (p=0.363) ↓, end:0.19 (p=0.067) ↑",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
proportion_PROPN,Clarté du Langage,pos_tag_density,"full:0.04 (p=0.712) → beginning:-0.02 (p=0.874) ↓, middle:0.14 (p=0.185) ↑, end:0.12 (p=0.244) ↑",,0.05,6,,0.01667,3,,0.01667,3,,0.00833,6
