ID,cognition,perspicacité,cause,divergence,tentative,certitude,inhibition,inclusion,exclusion
POF03,20.0,1.36,2.2,1.86,2.71,1.19,0.0,12.03,2.88
BRE04,16.89,1.92,2.5,2.11,0.19,2.11,0.77,10.56,3.26
BFC02,26.03,5.94,6.39,1.67,3.5,2.44,0.91,10.65,5.48
OCM08,18.95,2.74,3.42,1.83,1.37,2.51,0.91,11.42,2.97
CFE02,15.54,2.59,3.89,2.07,2.59,1.3,1.55,7.25,1.81
POF05,19.49,3.6,2.54,2.33,1.69,1.27,0.21,9.96,2.54
SPC09,22.79,6.7,2.68,1.34,1.34,1.61,0.27,8.31,2.68
BRE16,22.59,2.98,4.03,1.75,2.63,1.93,0.88,10.51,3.33
SPC08,18.93,2.88,2.26,0.82,2.88,1.85,1.23,10.08,2.47
BFC10,20.27,4.56,4.33,2.51,1.82,1.82,0.91,9.79,3.19
OCM18,21.0,2.89,4.43,2.31,2.31,2.12,1.16,8.48,3.47
CFE05,21.21,1.89,4.55,1.33,3.41,2.08,1.14,10.61,3.41
BFC06,18.44,2.53,3.98,0.72,1.63,1.63,0.9,9.76,2.53
BRE14,20.79,6.34,5.35,1.78,0.79,1.39,0.79,7.52,0.99
SOU09,23.29,4.81,3.54,2.03,2.53,2.28,0.51,12.41,2.03
HES05,22.32,7.3,4.08,1.29,1.07,1.93,0.86,10.94,3.0
ALS09,21.4,5.0,2.6,2.2,3.2,2.6,0.8,8.4,4.0
HES06,21.87,6.39,2.46,0.98,0.25,1.23,0.98,10.57,1.97
ALS08,23.21,4.1,4.27,3.41,3.07,2.56,0.34,10.24,3.07
PES08,18.44,3.25,1.74,1.3,2.39,1.74,1.3,10.2,2.82
HES03,23.7,1.45,3.18,2.31,2.89,2.02,0.29,9.25,4.05
LDV07,20.67,1.68,3.54,1.12,2.23,1.68,0.74,11.17,1.49
HES02,20.61,3.41,3.76,2.15,2.15,1.08,1.25,9.5,3.23
LRE09,17.84,3.52,3.52,1.76,1.1,1.32,0.44,6.83,1.76
LDV05,19.3,2.61,3.13,2.09,1.39,1.57,1.22,10.43,4.17
LOR08,18.96,3.68,3.87,2.9,1.74,2.13,0.39,7.16,3.09
HES01,20.81,0.45,4.03,0.89,1.57,2.46,0.22,15.44,2.46
LRE11,18.9,2.08,2.27,1.32,1.7,2.84,1.32,12.29,1.7
ALS03,21.83,3.52,2.64,2.46,2.99,2.64,1.58,12.15,3.7
UCA02,19.65,4.54,4.75,1.73,3.02,2.81,0.43,7.99,1.73
PES07,17.75,2.92,3.13,2.3,1.88,2.09,0.63,8.56,3.76
SOU14,15.62,2.27,2.77,1.01,0.76,1.51,0.5,10.33,0.76
LDV08,18.49,2.19,2.78,2.19,1.79,2.98,0.99,11.73,2.98
LDV09,18.48,2.83,3.7,1.3,2.17,1.74,1.96,8.26,1.96
SOU15,21.32,4.51,2.43,1.21,2.25,1.39,0.17,11.96,2.77
SOU01,22.07,4.48,3.28,2.24,1.72,3.28,0.52,10.34,2.93
PES06,19.53,3.43,3.65,0.43,2.79,1.29,1.07,10.3,2.58
PES04,13.81,2.99,1.12,0.37,2.24,0.37,0.75,8.96,1.49
LYO10,19.59,2.41,3.61,1.37,2.23,1.89,0.69,9.28,2.92
BOD01,18.41,2.71,2.53,0.9,1.81,0.72,0.72,9.57,2.35
LYO05,21.16,4.79,3.47,2.15,2.81,1.65,0.5,9.59,2.64
LYO11,18.88,2.24,2.06,1.12,1.68,1.5,0.19,11.21,3.18
UCA14,21.13,3.55,2.58,0.48,2.26,1.77,0.97,10.65,2.9
ALS05,17.86,1.69,3.38,1.13,2.44,1.5,0.94,10.53,3.38
ALS11,21.91,2.78,2.78,0.87,2.43,3.83,1.57,11.48,2.26
