ID,passive_voice_count
SOU07,1
BOD12,6
UPL02,1
SPC05,2
SOU14,2
UCA05,3
LYO05,2
CVL03,3
LRE11,1
SOU15,3
LDV05,3
UCA14,2
PES07,6
OCM13,2
UCA11,4
BOD01,9
ALS10,1
ALS11,3
BOD07,0
SPC04,4
HES08,1
LDV09,4
LYO11,1
LOR08,4
PES08,0
BRE14,1
UCA07,4
SPC08,1
LDV08,5
OCM14,0
ALS08,0
BRE16,1
GRE07,5
HES06,2
LYO01,4
BFC06,2
OCM08,4
ALS05,0
ALS09,0
BOD04,0
BRE04,2
BOD11,3
SPC09,2
LOR03,1
SEN02,3
GRE01,1
GRE13,3
BFC02,7
NOR04,1
GRE03,1
PES03,0
HES03,5
CFE09,3
HES05,1
SOU09,2
ALS03,0
LDV07,2
CFE05,0
OCM11,3
LRE02,1
HES02,1
LYO02,0
CFE02,1
POF05,1
BFC10,3
OCM18,2
SPC03,0
UCA02,1
CVL01,1
OCM07,2
LRE09,3
SOU01,4
UPS10,1
HES01,1
NOR05,3
SOU13,1
ALS04,3
NOR12,5
LYO10,3
PES04,2
SOU10,2
PES06,3
NOR10,1
SEN01,0
BFC09,0
LOR02,0
POF03,4
UPS04,4
OCM10,1
CVL02,8
