ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: 1,gpt-4.1,1.29,2029
SEN01,Note: 5,gpt-4.1,0.91,2345
UCA11,Note: 5,gpt-4.1,0.69,2307
UPS10,Note: 5,gpt-4.1,0.77,2334
SPC08,Note: 5,gpt-4.1,0.66,2320
LRE11,Note: 5,gpt-4.1,0.45,2234
SOU15,Note: 5,gpt-4.1,0.62,2563
UCA07,Note: 2,gpt-4.1,0.77,2370
BRE16,Note: 5,gpt-4.1,0.72,2365
SPC09,Note: 2,gpt-4.1,0.74,1963
ALS08,Note: 5,gpt-4.1,0.6,2427
PES08,Note: 4,gpt-4.1,1.04,2350
LYO02,Note: 5,gpt-4.1,0.7,2257
UCA05,Note: 3,gpt-4.1,0.61,2219
CVL01,Note: 4,gpt-4.1,0.7,2145
BOD07,Note: 5,gpt-4.1,0.59,2304
ALS03,Note: 5,gpt-4.1,1.92,2401
GRE03,Note: 5,gpt-4.1,0.71,2126
PES06,Note: 5,gpt-4.1,0.58,2286
OCM10,Note: 5,gpt-4.1,0.8,2485
LOR02,Note: 5,gpt-4.1,0.53,2388
UPL02,Note: 5,gpt-4.1,0.96,2399
NOR10,Note: 5,gpt-4.1,0.8,2025
BRE14,Note: 4,gpt-4.1,0.6,2257
LYO05,Note: 3,gpt-4.1,0.79,2310
GRE07,Note: 4,gpt-4.1,0.61,2305
POF03,Note: 5,gpt-4.1,0.79,2382
BFC09,Note: 5,gpt-4.1,0.79,2107
BFC10,Note: 5,gpt-4.1,0.49,2203
GRE01,Note: 5,gpt-4.1,0.49,2113
OCM08,Note: 4,gpt-4.1,0.89,2275
LYO01,Note: 5,gpt-4.1,0.6,2278
BOD11,Note: 5,gpt-4.1,0.58,2285
LRE02,Note: 5,gpt-4.1,1.02,2483
OCM07,Note: 5,gpt-4.1,0.6,2474
SPC05,Note: 5,gpt-4.1,0.8,2382
BOD04,Note: 5,gpt-4.1,0.8,2285
POF05,Note: 5,gpt-4.1,0.9,2263
SPC03,Note: 5,gpt-4.1,0.8,2211
SOU01,Note: 5,gpt-4.1,0.58,2464
OCM11,Note: 3,gpt-4.1,0.69,2087
NOR04,Note: 5,gpt-4.1,1.15,2040
SPC04,Note: 5,gpt-4.1,0.66,2308
LDV05,Note: 5,gpt-4.1,1.21,2544
ALS05,Note: 5,gpt-4.1,0.7,2280
LYO10,Note: 5,gpt-4.1,0.77,2411
OCM14,Note: 4,gpt-4.1,0.42,2337
SOU07,Note: 5,gpt-4.1,0.64,2393
BRE04,Note: 5,gpt-4.1,0.67,2349
HES06,Note: 5,gpt-4.1,0.7,2155
UCA02,Note: 3,gpt-4.1,0.7,2281
PES07,Note: 5,gpt-4.1,0.6,2236
UCA14,Note: 3,gpt-4.1,0.81,2349
CFE05,Note: 5,gpt-4.1,0.8,2343
PES03,Note: 5,gpt-4.1,0.6,2429
ALS04,Note: 5,gpt-4.1,0.6,2408
SOU14,Note: 4,gpt-4.1,0.5,2287
CVL03,Note: 5,gpt-4.1,0.8,2285
NOR12,Note: 5,gpt-4.1,1.05,2411
OCM18,Note: 5,gpt-4.1,0.77,2269
BFC02,Note: 5,gpt-4.1,0.6,2452
CFE09,Note: 5,gpt-4.1,0.7,2232
LDV08,Note: 5,gpt-4.1,0.49,2256
SOU10,Note: 5,gpt-4.1,0.38,2131
SOU09,Note: 4,gpt-4.1,0.72,2104
ALS09,Note: 5,gpt-4.1,0.9,2320
ALS11,Note: 5,gpt-4.1,0.68,2651
GRE13,Note: 5,gpt-4.1,0.71,2436
HES08,Note: 5,gpt-4.1,0.7,2410
LDV09,Note: 5,gpt-4.1,0.61,2250
LDV07,Note: 4,gpt-4.1,0.7,2455
ALS10,Note: 5,gpt-4.1,0.62,2464
OCM13,Note: 4,gpt-4.1,0.55,2257
HES02,Note: 4,gpt-4.1,0.53,2392
HES03,Note: 3,gpt-4.1,0.49,2209
NOR05,Note: 5,gpt-4.1,0.58,2311
LOR03,Note: 5,gpt-4.1,1.26,2388
CVL02,Note: 5,gpt-4.1,0.87,2335
UPS04,Note: 4,gpt-4.1,0.57,2455
HES05,Note: 5,gpt-4.1,0.72,2425
SEN02,Note: 5,gpt-4.1,1.22,2396
BOD12,Note: 5,gpt-4.1,0.6,2397
LYO11,Note: 5,gpt-4.1,0.7,2285
BOD01,Note: 5,gpt-4.1,0.79,2186
SOU13,Note: 5,gpt-4.1,0.71,2330
CFE02,Note: 4,gpt-4.1,1.11,2212
HES01,Note: 3,gpt-4.1,0.7,2138
LOR08,Note: 4,gpt-4.1,0.8,2347
LRE09,Note: 5,gpt-4.1,0.71,2265
BFC06,Note: 5,gpt-4.1,0.7,2204
