ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: A,gpt-4.1,0.7,2790
SEN01,Note: B,gpt-4.1,0.67,3735
UCA11,Note: B,gpt-4.1,0.61,3833
UPS10,Note: B,gpt-4.1,1.22,3791
SPC08,Note: B,gpt-4.1,0.64,3381
LRE11,Note: B,gpt-4.1,1.68,3790
SOU15,Note: C,gpt-4.1,0.7,3549
UCA07,Note: A,gpt-4.1,0.55,3369
BRE16,Note: B,gpt-4.1,0.84,3625
SPC09,Note: A,gpt-4.1,1.0,3314
ALS08,Note: B,gpt-4.1,0.8,4054
PES08,Note: B,gpt-4.1,0.8,3512
LYO02,Note: C,gpt-4.1,0.7,3345
UCA05,Note: C,gpt-4.1,0.59,3738
CVL01,Note: B,gpt-4.1,0.8,3074
BOD07,Note: B,gpt-4.1,0.8,3918
ALS03,Note: B,gpt-4.1,0.9,3750
GRE03,Note: B,gpt-4.1,0.7,3528
PES06,Note: B,gpt-4.1,0.7,3598
OCM10,Note: B,gpt-4.1,0.8,3743
LOR02,Note: B,gpt-4.1,1.82,3189
UPL02,Note: B,gpt-4.1,0.6,3671
NOR10,Note: B,gpt-4.1,0.7,3150
BRE14,Note: B,gpt-4.1,0.98,3928
LYO05,Note: C,gpt-4.1,0.72,3735
GRE07,Note: A,gpt-4.1,1.37,3595
POF03,Note: B,gpt-4.1,0.8,4032
BFC09,Note: B,gpt-4.1,0.64,3576
BFC10,Note: B,gpt-4.1,0.72,3795
GRE01,Note: B,gpt-4.1,0.58,3328
OCM08,Note: B,gpt-4.1,0.8,3582
LYO01,Note: B,gpt-4.1,0.51,3116
BOD11,Note: B,gpt-4.1,0.63,3322
LRE02,Note: B,gpt-4.1,1.04,3658
OCM07,Note: B,gpt-4.1,0.62,3710
SPC05,Note: B,gpt-4.1,0.59,3945
BOD04,Note: B,gpt-4.1,0.69,3657
POF05,Note: B,gpt-4.1,0.91,3403
SPC03,Note: B,gpt-4.1,3.47,3340
SOU01,Note: B,gpt-4.1,0.74,3708
OCM11,Note: B,gpt-4.1,0.65,3625
NOR04,Note: B,gpt-4.1,1.0,3623
SPC04,Note: B,gpt-4.1,0.7,3877
LDV05,Note: B,gpt-4.1,0.83,3841
ALS05,Note: B,gpt-4.1,0.87,3445
LYO10,Note: B,gpt-4.1,1.3,3768
OCM14,Note: B,gpt-4.1,0.7,3600
SOU07,Note: B,gpt-4.1,0.8,3821
BRE04,Note: B,gpt-4.1,1.42,3723
HES06,Note: B,gpt-4.1,0.81,3523
UCA02,Note: B,gpt-4.1,0.91,3583
PES07,Note: B,gpt-4.1,0.8,3212
UCA14,Note: A,gpt-4.1,0.8,4125
CFE05,Note: B,gpt-4.1,0.62,3674
PES03,Note: B,gpt-4.1,0.68,3800
ALS04,Note: B,gpt-4.1,0.8,4059
SOU14,Note: C,gpt-4.1,0.8,3374
CVL03,Note: B,gpt-4.1,0.99,3719
NOR12,Note: B,gpt-4.1,0.61,4176
OCM18,Note: B,gpt-4.1,1.11,3561
BFC02,Note: B,gpt-4.1,0.85,4058
CFE09,Note: B,gpt-4.1,0.74,4133
LDV08,Note: B,gpt-4.1,0.82,3707
SOU10,Note: B,gpt-4.1,0.85,3735
SOU09,Note: B,gpt-4.1,0.65,3218
ALS09,Note: B,gpt-4.1,0.74,3735
ALS11,Note: B,gpt-4.1,0.93,3784
GRE13,Note: B,gpt-4.1,0.78,3526
HES08,Note: B,gpt-4.1,0.6,3976
LDV09,Note: B,gpt-4.1,0.78,3423
LDV07,Note: B,gpt-4.1,0.62,3686
ALS10,Note: B,gpt-4.1,0.94,3830
OCM13,Note: B,gpt-4.1,0.69,3443
HES02,Note: B,gpt-4.1,1.47,3796
HES03,Note: B,gpt-4.1,0.55,2940
NOR05,Note: B,gpt-4.1,0.7,3579
LOR03,Note: B,gpt-4.1,0.64,3644
CVL02,Note: B,gpt-4.1,0.71,3872
UPS04,Note: B,gpt-4.1,0.5,3948
HES05,Note: B,gpt-4.1,0.59,3775
SEN02,Note: B,gpt-4.1,0.96,3738
BOD12,Note: B,gpt-4.1,0.64,3795
LYO11,Note: B,gpt-4.1,0.84,4144
BOD01,Note: B,gpt-4.1,1.18,3785
SOU13,Note: B,gpt-4.1,0.7,3882
CFE02,Note: A,gpt-4.1,1.22,3321
HES01,Note: A,gpt-4.1,0.86,3468
LOR08,Note: C,gpt-4.1,0.74,3735
LRE09,Note: B,gpt-4.1,0.81,3744
BFC06,Note: B,gpt-4.1,0.9,3839
