ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: 2,gpt-4.1,0.93,1949
SEN01,Note: 5,gpt-4.1,0.73,2366
UCA11,Note: 5,gpt-4.1,0.6,2428
UPS10,Note: 5,gpt-4.1,1.46,2391
SPC08,Note: 5,gpt-4.1,0.94,2091
LRE11,Note: 5,gpt-4.1,0.76,1986
SOU15,Note: 5,gpt-4.1,0.84,2311
UCA07,Note: 4,gpt-4.1,0.82,2034
BRE16,Note: 5,gpt-4.1,0.91,2346
SPC09,Note: 4,gpt-4.1,0.74,2057
ALS08,Note: 5,gpt-4.1,1.31,2424
PES08,Note: 5,gpt-4.1,0.53,2362
LYO02,Note: 5,gpt-4.1,1.11,2344
UCA05,Note: 4,gpt-4.1,0.84,2237
CVL01,Note: 5,gpt-4.1,0.63,2297
BOD07,Note: 5,gpt-4.1,0.74,2180
ALS03,Note: 5,gpt-4.1,0.66,2253
GRE03,Note: 5,gpt-4.1,0.7,1854
PES06,Note: 4,gpt-4.1,0.73,2112
OCM10,Note: 5,gpt-4.1,0.67,2186
LOR02,Note: 5,gpt-4.1,0.8,2038
UPL02,Note: 5,gpt-4.1,0.59,2366
NOR10,Note: 5,gpt-4.1,0.73,2259
BRE14,Note: 5,gpt-4.1,0.54,2194
LYO05,Note: 4,gpt-4.1,0.83,2468
GRE07,Note: 5,gpt-4.1,2.14,2391
POF03,Note: 4,gpt-4.1,0.8,2339
BFC09,Note: 5,gpt-4.1,0.59,2178
BFC10,Note: 5,gpt-4.1,0.7,2287
GRE01,Note: 5,gpt-4.1,0.7,2255
OCM08,Note: 3,gpt-4.1,0.7,2293
LYO01,Note: 5,gpt-4.1,0.7,2201
BOD11,Note: 5,gpt-4.1,0.89,2096
LRE02,Note: 5,gpt-4.1,0.88,2289
OCM07,Note: 5,gpt-4.1,0.75,2124
SPC05,Note: 5,gpt-4.1,0.69,2349
BOD04,Note: 5,gpt-4.1,0.8,2258
POF05,Note: 4,gpt-4.1,0.92,2183
SPC03,Note: 3,gpt-4.1,0.61,2238
SOU01,Note: 5,gpt-4.1,0.68,2482
OCM11,Note: 5,gpt-4.1,0.69,2141
NOR04,Note: 4,gpt-4.1,0.71,2079
SPC04,Note: 5,gpt-4.1,0.71,2457
LDV05,Note: 5,gpt-4.1,0.62,2483
ALS05,Note: 4,gpt-4.1,0.77,2208
LYO10,Note: 5,gpt-4.1,0.7,2383
OCM14,Note: 5,gpt-4.1,0.73,2192
SOU07,Note: 5,gpt-4.1,1.27,2348
BRE04,Note: 5,gpt-4.1,1.42,2480
HES06,Note: 4,gpt-4.1,0.72,2068
UCA02,Note: 5,gpt-4.1,0.49,1918
PES07,Note: 5,gpt-4.1,0.47,1914
UCA14,Note: 4,gpt-4.1,0.74,2432
CFE05,Note: 4,gpt-4.1,1.14,2531
PES03,Note: 5,gpt-4.1,1.16,2264
ALS04,Note: 5,gpt-4.1,0.59,2389
SOU14,Note: 4,gpt-4.1,1.13,2196
CVL03,Note: 4,gpt-4.1,0.56,2486
NOR12,Note: 3,gpt-4.1,0.89,2315
OCM18,Note: 5,gpt-4.1,1.19,2334
BFC02,Note: 4,gpt-4.1,1.19,2409
CFE09,Note: 5,gpt-4.1,0.9,2355
LDV08,Note: 5,gpt-4.1,0.64,2363
SOU10,Note: 5,gpt-4.1,0.76,2298
SOU09,Note: 5,gpt-4.1,0.7,2235
ALS09,Note: 5,gpt-4.1,0.87,1954
ALS11,Note: 5,gpt-4.1,0.85,2110
GRE13,Note: 5,gpt-4.1,10.66,2303
HES08,Note: 5,gpt-4.1,0.6,2477
LDV09,Note: 5,gpt-4.1,0.8,2117
LDV07,Note: 5,gpt-4.1,0.7,2202
ALS10,Note: 5,gpt-4.1,1.05,2352
OCM13,Note: 3,gpt-4.1,0.54,2345
HES02,Note: 5,gpt-4.1,0.48,2486
HES03,Note: 5,gpt-4.1,0.59,2314
NOR05,Note: 5,gpt-4.1,0.5,2255
LOR03,Note: 5,gpt-4.1,3.93,2036
CVL02,Note: 4,gpt-4.1,0.74,2453
UPS04,Note: 4,gpt-4.1,3.9,2055
HES05,Note: 3,gpt-4.1,0.77,2168
SEN02,Note: 5,gpt-4.1,0.9,2224
BOD12,Note: 5,gpt-4.1,0.72,2463
LYO11,Note: 5,gpt-4.1,0.58,2105
BOD01,Note: 4,gpt-4.1,0.59,2271
SOU13,Note: 5,gpt-4.1,0.72,2251
CFE02,Note: 5,gpt-4.1,0.68,2218
HES01,Note: 5,gpt-4.1,1.5,2049
LOR08,Note: 3,gpt-4.1,0.72,2206
LRE09,Note: 5,gpt-4.1,0.6,2083
BFC06,Note: 4,gpt-4.1,0.6,2396
