ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: A,gpt-4.1,0.87,2963
SEN01,Note: C,gpt-4.1,0.62,3644
UCA11,Note: A,gpt-4.1,0.81,4086
UPS10,Note: C,gpt-4.1,0.92,3802
SPC08,Note: C,gpt-4.1,0.78,3632
LRE11,Note: C,gpt-4.1,1.31,3675
SOU15,Note: A,gpt-4.1,0.72,3544
UCA07,Note: A,gpt-4.1,0.78,3363
BRE16,Note: C,gpt-4.1,0.72,4063
SPC09,Note: A,gpt-4.1,1.38,3349
ALS08,Note: C,gpt-4.1,0.71,3972
PES08,Note: C,gpt-4.1,0.8,3719
LYO02,Note: C,gpt-4.1,0.74,3949
UCA05,Note: A,gpt-4.1,2.77,3567
CVL01,Note: C,gpt-4.1,0.54,3695
BOD07,Note: C,gpt-4.1,0.56,3710
ALS03,Note: C,gpt-4.1,0.73,4034
GRE03,Note: A,gpt-4.1,0.69,3608
PES06,Note: A,gpt-4.1,0.79,3637
OCM10,Note: A,gpt-4.1,0.66,3835
LOR02,Note: C,gpt-4.1,1.05,3588
UPL02,Note: C,gpt-4.1,0.59,3952
NOR10,Note: C,gpt-4.1,0.71,3387
BRE14,Note: C,gpt-4.1,0.69,3586
LYO05,Note: C,gpt-4.1,0.73,3899
GRE07,Note: A,gpt-4.1,0.88,3559
POF03,Note: C,gpt-4.1,0.6,4055
BFC09,Note: C,gpt-4.1,0.55,3500
BFC10,Note: C,gpt-4.1,0.84,3516
GRE01,Note: C,gpt-4.1,0.8,3546
OCM08,Note: A,gpt-4.1,0.79,3388
LYO01,Note: C,gpt-4.1,2.05,3956
BOD11,Note: C,gpt-4.1,1.21,3667
LRE02,Note: C,gpt-4.1,0.9,3986
OCM07,Note: C,gpt-4.1,0.75,3313
SPC05,Note: C,gpt-4.1,0.67,3841
BOD04,Note: C,gpt-4.1,0.99,3611
POF05,Note: A,gpt-4.1,0.81,3553
SPC03,Note: C,gpt-4.1,0.63,3260
SOU01,Note: C,gpt-4.1,0.67,3861
OCM11,Note: C,gpt-4.1,1.59,3334
NOR04,Note: A,gpt-4.1,1.2,3456
SPC04,Note: C,gpt-4.1,0.71,3835
LDV05,Note: C,gpt-4.1,0.56,3681
ALS05,Note: C,gpt-4.1,1.58,3952
LYO10,Note: C,gpt-4.1,1.15,3953
OCM14,Note: A,gpt-4.1,1.11,3426
SOU07,Note: C,gpt-4.1,0.75,4224
BRE04,Note: C,gpt-4.1,0.67,3772
HES06,Note: C,gpt-4.1,0.86,3665
UCA02,Note: C,gpt-4.1,0.71,3191
PES07,Note: C,gpt-4.1,0.53,3342
UCA14,Note: A,gpt-4.1,0.86,4007
CFE05,Note: C,gpt-4.1,0.64,3498
PES03,Note: C,gpt-4.1,0.55,3606
ALS04,Note: C,gpt-4.1,0.66,3905
SOU14,Note: A,gpt-4.1,0.58,3687
CVL03,Note: C,gpt-4.1,0.6,3744
NOR12,Note: C,gpt-4.1,1.59,3512
OCM18,Note: C,gpt-4.1,0.87,3816
BFC02,Note: C,gpt-4.1,0.86,4009
CFE09,Note: C,gpt-4.1,0.66,3566
LDV08,Note: A,gpt-4.1,0.82,3889
SOU10,Note: C,gpt-4.1,0.81,3961
SOU09,Note: A,gpt-4.1,1.27,3491
ALS09,Note: C,gpt-4.1,0.85,3753
ALS11,Note: C,gpt-4.1,0.73,4337
GRE13,Note: C,gpt-4.1,0.76,3913
HES08,Note: A,gpt-4.1,2.89,4092
LDV09,Note: C,gpt-4.1,0.54,3678
LDV07,Note: C,gpt-4.1,0.91,3662
ALS10,Note: C,gpt-4.1,0.8,3992
OCM13,Note: A,gpt-4.1,0.53,3478
HES02,Note: C,gpt-4.1,0.82,3512
HES03,Note: C,gpt-4.1,0.78,3487
NOR05,Note: C,gpt-4.1,0.54,3507
LOR03,Note: C,gpt-4.1,0.77,3837
CVL02,Note: C,gpt-4.1,0.95,3787
UPS04,Note: C,gpt-4.1,0.68,3713
HES05,Note: C,gpt-4.1,0.49,3580
SEN02,Note: C,gpt-4.1,1.25,4035
BOD12,Note: C,gpt-4.1,0.64,3960
LYO11,Note: C,gpt-4.1,0.81,3654
BOD01,Note: A,gpt-4.1,0.74,3648
SOU13,Note: C,gpt-4.1,0.68,4016
CFE02,Note: C,gpt-4.1,0.63,3357
HES01,Note: C,gpt-4.1,0.79,3233
LOR08,Note: C,gpt-4.1,0.89,3543
LRE09,Note: C,gpt-4.1,0.7,3350
BFC06,Note: C,gpt-4.1,1.12,3673
