ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: 27,gpt-4.1,0.69,2042
SEN01,Note: 70,gpt-4.1,0.71,2361
UCA11,Note: 75,gpt-4.1,1.12,2423
UPS10,Note: 80,gpt-4.1,2.4,2526
SPC08,Note: 82,gpt-4.1,0.75,2333
LRE11,Note: 93,gpt-4.1,0.6,2400
SOU15,Note: 92,gpt-4.1,0.69,2475
UCA07,Note: 48,gpt-4.1,1.11,2370
BRE16,Note: 92,gpt-4.1,0.8,2481
SPC09,Note: 37,gpt-4.1,0.7,2192
ALS08,Note: 92,gpt-4.1,0.94,2517
PES08,Note: 78,gpt-4.1,1.07,2357
LYO02,Note: 71,gpt-4.1,0.65,2359
UCA05,Note: 77,gpt-4.1,0.64,2372
CVL01,Note: 64,gpt-4.1,0.43,2321
BOD07,Note: 72,gpt-4.1,0.66,2422
ALS03,Note: 57,gpt-4.1,1.2,2466
GRE03,Note: 74,gpt-4.1,0.81,2268
PES06,Note: 80,gpt-4.1,0.8,2354
OCM10,Note: 89,gpt-4.1,0.9,2382
LOR02,Note: 90,gpt-4.1,0.87,2374
UPL02,Note: 74,gpt-4.1,1.01,2459
NOR10,Note: 73,gpt-4.1,0.64,2274
BRE14,Note: 67,gpt-4.1,1.1,2390
LYO05,Note: 47,gpt-4.1,0.64,2492
GRE07,Note: 72,gpt-4.1,0.62,2386
POF03,Note: 69,gpt-4.1,0.94,2535
BFC09,Note: 84,gpt-4.1,0.7,2342
BFC10,Note: 73,gpt-4.1,0.66,2282
GRE01,Note: 92,gpt-4.1,0.63,2348
OCM08,Note: 54,gpt-4.1,0.71,2308
LYO01,Note: 77,gpt-4.1,0.7,2414
BOD11,Note: 65,gpt-4.1,0.7,2292
LRE02,Note: 86,gpt-4.1,0.8,2453
OCM07,Note: 78,gpt-4.1,0.6,2460
SPC05,Note: 92,gpt-4.1,0.7,2484
BOD04,Note: 48,gpt-4.1,0.7,2351
POF05,Note: 74,gpt-4.1,0.91,2379
SPC03,Note: 72,gpt-4.1,0.7,2262
SOU01,Note: 76,gpt-4.1,0.69,2506
OCM11,Note: 72,gpt-4.1,0.7,2305
NOR04,Note: 78,gpt-4.1,0.6,2275
SPC04,Note: 90,gpt-4.1,0.77,2481
LDV05,Note: 84,gpt-4.1,0.73,2507
ALS05,Note: 75,gpt-4.1,0.6,2404
LYO10,Note: 74,gpt-4.1,0.71,2476
OCM14,Note: 62,gpt-4.1,0.6,2405
SOU07,Note: 73,gpt-4.1,0.5,2483
BRE04,Note: 79,gpt-4.1,0.82,2475
HES06,Note: 76,gpt-4.1,0.67,2264
UCA02,Note: 74,gpt-4.1,0.6,2332
PES07,Note: 78,gpt-4.1,0.49,2328
UCA14,Note: 79,gpt-4.1,0.81,1714
CFE05,Note: 69,gpt-4.1,0.67,2406
PES03,Note: 95,gpt-4.1,0.74,2399
ALS04,Note: 85,gpt-4.1,0.67,2524
SOU14,Note: 72,gpt-4.1,0.63,2289
CVL03,Note: 90,gpt-4.1,0.8,2361
NOR12,Note: 74,gpt-4.1,0.58,2511
OCM18,Note: 64,gpt-4.1,0.92,2427
BFC02,Note: 92,gpt-4.1,0.81,2544
CFE09,Note: 75,gpt-4.1,1.1,2448
LDV08,Note: 77,gpt-4.1,0.6,2358
SOU10,Note: 78,gpt-4.1,0.7,2433
SOU09,Note: 84,gpt-4.1,0.6,2230
ALS09,Note: 55,gpt-4.1,0.48,2368
ALS11,Note: 72,gpt-4.1,0.64,2524
GRE13,Note: 69,gpt-4.1,1.17,2438
HES08,Note: 90,gpt-4.1,0.68,2472
LDV09,Note: 62,gpt-4.1,0.6,2313
LDV07,Note: 72,gpt-4.1,0.5,2415
ALS10,Note: 70,gpt-4.1,1.14,2487
OCM13,Note: 54,gpt-4.1,0.78,2220
HES02,Note: 75,gpt-4.1,0.81,2510
HES03,Note: 61,gpt-4.1,0.49,2189
NOR05,Note: 62,gpt-4.1,1.01,2390
LOR03,Note: 65,gpt-4.1,0.6,2450
CVL02,Note: 62,gpt-4.1,0.69,2477
UPS04,Note: 72,gpt-4.1,0.7,2391
HES05,Note: 62,gpt-4.1,0.5,2332
SEN02,Note: 73,gpt-4.1,0.5,2466
BOD12,Note: 76,gpt-4.1,0.71,2487
LYO11,Note: 90,gpt-4.1,0.69,2441
BOD01,Note: 72,gpt-4.1,0.5,2435
SOU13,Note: 93,gpt-4.1,0.51,2464
CFE02,Note: 79,gpt-4.1,0.5,2233
HES01,Note: 67,gpt-4.1,0.69,2291
LOR08,Note: 68,gpt-4.1,0.79,2370
LRE09,Note: 65,gpt-4.1,0.63,2279
BFC06,Note: 90,gpt-4.1,0.69,1714
