ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: 1,gpt-4.1,0.58,1956
SEN01,Note: 4,gpt-4.1,0.49,2223
UCA11,Note: 5,gpt-4.1,0.8,2473
UPS10,Note: 5,gpt-4.1,0.8,2323
SPC08,Note: 5,gpt-4.1,0.65,2348
LRE11,Note: 5,gpt-4.1,0.88,2411
SOU15,Note: 5,gpt-4.1,0.47,2218
UCA07,Note: 3,gpt-4.1,0.7,2342
BRE16,Note: 5,gpt-4.1,0.67,2329
SPC09,Note: 4,gpt-4.1,0.73,2293
ALS08,Note: 5,gpt-4.1,0.5,2530
PES08,Note: 5,gpt-4.1,1.01,2318
LYO02,Note: 5,gpt-4.1,0.8,2430
UCA05,Note: 4,gpt-4.1,0.7,2231
CVL01,Note: 5,gpt-4.1,0.6,2280
BOD07,Note: 5,gpt-4.1,0.7,2387
ALS03,Note: 5,gpt-4.1,0.94,2474
GRE03,Note: 5,gpt-4.1,0.56,2035
PES06,Note: 5,gpt-4.1,0.7,2393
OCM10,Note: 5,gpt-4.1,0.58,2395
LOR02,Note: 5,gpt-4.1,0.59,2222
UPL02,Note: 5,gpt-4.1,0.87,2509
NOR10,Note: 5,gpt-4.1,0.84,2389
BRE14,Note: 4,gpt-4.1,0.49,2243
LYO05,Note: 4,gpt-4.1,0.61,2386
GRE07,Note: 4,gpt-4.1,0.59,2258
POF03,Note: 5,gpt-4.1,0.71,2351
BFC09,Note: 5,gpt-4.1,0.7,2130
BFC10,Note: 5,gpt-4.1,0.45,2247
GRE01,Note: 5,gpt-4.1,0.58,2454
OCM08,Note: 4,gpt-4.1,0.5,1875
LYO01,Note: 5,gpt-4.1,0.75,2281
BOD11,Note: 4,gpt-4.1,0.72,2282
LRE02,Note: 5,gpt-4.1,0.7,2512
OCM07,Note: 5,gpt-4.1,0.94,2515
SPC05,Note: 5,gpt-4.1,0.57,2499
BOD04,Note: 4,gpt-4.1,0.51,2392
POF05,Note: 5,gpt-4.1,0.8,2479
SPC03,Note: 5,gpt-4.1,0.67,2040
SOU01,Note: 5,gpt-4.1,0.9,2467
OCM11,Note: 5,gpt-4.1,0.6,2239
NOR04,Note: 5,gpt-4.1,0.8,2142
SPC04,Note: 5,gpt-4.1,1.93,2427
LDV05,Note: 5,gpt-4.1,0.7,2506
ALS05,Note: 5,gpt-4.1,0.8,2422
LYO10,Note: 5,gpt-4.1,0.6,2526
OCM14,Note: 4,gpt-4.1,0.69,2249
SOU07,Note: 5,gpt-4.1,0.81,2280
BRE04,Note: 5,gpt-4.1,0.8,2530
HES06,Note: 4,gpt-4.1,1.16,2158
UCA02,Note: 5,gpt-4.1,0.72,2168
PES07,Note: 5,gpt-4.1,0.66,2278
UCA14,Note: 3,gpt-4.1,0.71,2610
CFE05,Note: 5,gpt-4.1,1.14,2242
PES03,Note: 5,gpt-4.1,0.72,2214
ALS04,Note: 5,gpt-4.1,1.17,2391
SOU14,Note: 5,gpt-4.1,0.84,2228
CVL03,Note: 4,gpt-4.1,0.6,2360
NOR12,Note: 5,gpt-4.1,1.01,2424
OCM18,Note: 5,gpt-4.1,0.9,2489
BFC02,Note: 5,gpt-4.1,2.08,2515
CFE09,Note: 5,gpt-4.1,0.64,2015
LDV08,Note: 5,gpt-4.1,0.72,2386
SOU10,Note: 5,gpt-4.1,0.9,2383
SOU09,Note: 4,gpt-4.1,1.32,2069
ALS09,Note: 4,gpt-4.1,1.54,2418
ALS11,Note: 5,gpt-4.1,0.49,2363
GRE13,Note: 5,gpt-4.1,2.53,2399
HES08,Note: 5,gpt-4.1,1.01,2360
LDV09,Note: 5,gpt-4.1,0.54,2085
LDV07,Note: 5,gpt-4.1,0.86,2376
ALS10,Note: 5,gpt-4.1,0.85,2303
OCM13,Note: 5,gpt-4.1,0.65,2087
HES02,Note: 5,gpt-4.1,0.56,2616
HES03,Note: 4,gpt-4.1,0.9,2150
NOR05,Note: 4,gpt-4.1,0.78,2122
LOR03,Note: 5,gpt-4.1,0.47,1957
CVL02,Note: 5,gpt-4.1,0.68,2325
UPS04,Note: 4,gpt-4.1,0.54,2245
HES05,Note: 5,gpt-4.1,0.84,2378
SEN02,Note: 5,gpt-4.1,0.8,2516
BOD12,Note: 5,gpt-4.1,0.69,2426
LYO11,Note: 5,gpt-4.1,0.81,2505
BOD01,Note: 5,gpt-4.1,0.59,2213
SOU13,Note: 5,gpt-4.1,0.61,2303
CFE02,Note: 5,gpt-4.1,1.93,2132
HES01,Note: 4,gpt-4.1,0.6,1914
LOR08,Note: 5,gpt-4.1,0.58,2208
LRE09,Note: 4,gpt-4.1,0.92,2210
BFC06,Note: 5,gpt-4.1,0.81,2510
