ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: 2,gpt-4.1,0.58,1966
SEN01,Note: 5,gpt-4.1,0.6,1940
UCA11,Note: 4,gpt-4.1,0.49,2523
UPS10,Note: 5,gpt-4.1,0.7,2454
SPC08,Note: 5,gpt-4.1,0.59,2358
LRE11,Note: 4,gpt-4.1,0.49,1979
SOU15,Note: 4,gpt-4.1,0.86,2537
UCA07,Note: 2,gpt-4.1,0.84,2214
BRE16,Note: 5,gpt-4.1,0.47,2405
SPC09,Note: 2,gpt-4.1,0.63,1822
ALS08,Note: 5,gpt-4.1,0.6,2441
PES08,Note: 4,gpt-4.1,0.7,2112
LYO02,Note: 4,gpt-4.1,3.26,2225
UCA05,Note: 3,gpt-4.1,0.6,2537
CVL01,Note: 3,gpt-4.1,2.43,2294
BOD07,Note: 4,gpt-4.1,0.61,2237
ALS03,Note: 4,gpt-4.1,1.3,2373
GRE03,Note: 3,gpt-4.1,1.75,2241
PES06,Note: 4,gpt-4.1,0.67,2198
OCM10,Note: 5,gpt-4.1,0.6,2031
LOR02,Note: 4,gpt-4.1,2.22,2355
UPL02,Note: 4,gpt-4.1,0.82,2290
NOR10,Note: 5,gpt-4.1,0.49,2172
BRE14,Note: 3,gpt-4.1,0.8,2388
LYO05,Note: 2,gpt-4.1,1.72,2228
GRE07,Note: 4,gpt-4.1,1.16,2143
POF03,Note: 3,gpt-4.1,0.66,2486
BFC09,Note: 3,gpt-4.1,0.66,2404
BFC10,Note: 4,gpt-4.1,0.44,2037
GRE01,Note: 5,gpt-4.1,0.78,2331
OCM08,Note: 4,gpt-4.1,0.71,2231
LYO01,Note: 4,gpt-4.1,0.7,2334
BOD11,Note: 4,gpt-4.1,0.8,1900
LRE02,Note: 5,gpt-4.1,0.92,2404
OCM07,Note: 5,gpt-4.1,1.22,2331
SPC05,Note: 5,gpt-4.1,2.53,2271
BOD04,Note: 3,gpt-4.1,1.73,2079
POF05,Note: 4,gpt-4.1,0.77,2497
SPC03,Note: 5,gpt-4.1,0.59,2186
SOU01,Note: 4,gpt-4.1,2.68,2242
OCM11,Note: 5,gpt-4.1,0.61,1824
NOR04,Note: 4,gpt-4.1,2.74,2149
SPC04,Note: 5,gpt-4.1,0.6,2377
LDV05,Note: 5,gpt-4.1,2.64,2381
ALS05,Note: 4,gpt-4.1,0.59,2213
LYO10,Note: 4,gpt-4.1,0.59,1976
OCM14,Note: 4,gpt-4.1,0.99,2385
SOU07,Note: 4,gpt-4.1,0.48,2151
BRE04,Note: 4,gpt-4.1,0.85,2520
HES06,Note: 5,gpt-4.1,0.5,2095
UCA02,Note: 3,gpt-4.1,1.01,2312
PES07,Note: 4,gpt-4.1,0.53,2309
UCA14,Note: 3,gpt-4.1,0.64,2497
CFE05,Note: 3,gpt-4.1,0.53,2313
PES03,Note: 5,gpt-4.1,1.16,2564
ALS04,Note: 5,gpt-4.1,0.7,2390
SOU14,Note: 3,gpt-4.1,0.69,2044
CVL03,Note: 5,gpt-4.1,0.67,2285
NOR12,Note: 5,gpt-4.1,1.52,2179
OCM18,Note: 3,gpt-4.1,0.55,2428
BFC02,Note: 3,gpt-4.1,0.84,2513
CFE09,Note: 4,gpt-4.1,2.61,2372
LDV08,Note: 4,gpt-4.1,0.66,2403
SOU10,Note: 4,gpt-4.1,0.44,1952
SOU09,Note: 4,gpt-4.1,0.8,2227
ALS09,Note: 4,gpt-4.1,1.51,2349
ALS11,Note: 5,gpt-4.1,0.76,2103
GRE13,Note: 3,gpt-4.1,0.74,2308
HES08,Note: 5,gpt-4.1,0.77,2238
LDV09,Note: 4,gpt-4.1,0.52,2255
LDV07,Note: 4,gpt-4.1,0.49,2285
ALS10,Note: 5,gpt-4.1,0.7,2485
OCM13,Note: 4,gpt-4.1,1.18,2090
HES02,Note: 4,gpt-4.1,0.58,2461
HES03,Note: 3,gpt-4.1,2.28,2302
NOR05,Note: 3,gpt-4.1,0.65,2286
LOR03,Note: 4,gpt-4.1,0.9,2332
CVL02,Note: 3,gpt-4.1,0.62,2395
UPS04,Note: 3,gpt-4.1,0.65,2261
HES05,Note: 5,gpt-4.1,0.65,1940
SEN02,Note: 3,gpt-4.1,0.75,2437
BOD12,Note: 4,gpt-4.1,5.55,2266
LYO11,Note: 4,gpt-4.1,0.7,2434
BOD01,Note: 4,gpt-4.1,0.48,2407
SOU13,Note: 5,gpt-4.1,0.69,2330
CFE02,Note: 3,gpt-4.1,0.69,1988
HES01,Note: 3,gpt-4.1,0.7,2404
LOR08,Note: 4,gpt-4.1,0.71,2153
LRE09,Note: 3,gpt-4.1,0.64,2149
BFC06,Note: 5,gpt-4.1,0.86,2483
