ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: B,gpt-4.1,0.66,3231
SEN01,Note: A,gpt-4.1,0.86,3667
UCA11,Note: A,gpt-4.1,0.56,3962
UPS10,Note: A,gpt-4.1,0.7,3817
SPC08,Note: A,gpt-4.1,0.6,3232
LRE11,Note: A,gpt-4.1,0.71,3799
SOU15,Note: A,gpt-4.1,1.09,3871
UCA07,Note: A,gpt-4.1,0.8,3525
BRE16,Note: A,gpt-4.1,0.7,3967
SPC09,Note: A,gpt-4.1,0.91,3430
ALS08,Note: A,gpt-4.1,0.81,4015
PES08,Note: A,gpt-4.1,1.3,3494
LYO02,Note: A,gpt-4.1,0.8,3386
UCA05,Note: A,gpt-4.1,0.5,3594
CVL01,Note: A,gpt-4.1,0.64,3524
BOD07,Note: A,gpt-4.1,0.97,3521
ALS03,Note: A,gpt-4.1,1.41,3884
GRE03,Note: B,gpt-4.1,0.91,3398
PES06,Note: A,gpt-4.1,2.55,3464
OCM10,Note: A,gpt-4.1,1.3,3675
LOR02,Note: A,gpt-4.1,1.21,3719
UPL02,Note: A,gpt-4.1,1.09,3857
NOR10,Note: B,gpt-4.1,0.48,3407
BRE14,Note: A,gpt-4.1,1.01,3503
LYO05,Note: B,gpt-4.1,0.83,3986
GRE07,Note: A,gpt-4.1,0.93,3407
POF03,Note: A,gpt-4.1,0.73,3962
BFC09,Note: B,gpt-4.1,0.59,3296
BFC10,Note: A,gpt-4.1,0.9,3408
GRE01,Note: A,gpt-4.1,0.72,3769
OCM08,Note: B,gpt-4.1,0.77,3636
LYO01,Note: A,gpt-4.1,0.7,3733
BOD11,Note: A,gpt-4.1,0.8,3310
LRE02,Note: A,gpt-4.1,0.87,3782
OCM07,Note: B,gpt-4.1,0.63,3953
SPC05,Note: A,gpt-4.1,0.7,3812
BOD04,Note: A,gpt-4.1,0.7,3494
POF05,Note: A,gpt-4.1,0.59,3211
SPC03,Note: A,gpt-4.1,2.74,3298
SOU01,Note: A,gpt-4.1,0.81,3869
OCM11,Note: B,gpt-4.1,0.52,3560
NOR04,Note: A,gpt-4.1,0.87,3366
SPC04,Note: A,gpt-4.1,2.02,3982
LDV05,Note: A,gpt-4.1,0.81,4057
ALS05,Note: A,gpt-4.1,0.89,3694
LYO10,Note: A,gpt-4.1,0.61,4002
OCM14,Note: B,gpt-4.1,0.96,3787
SOU07,Note: A,gpt-4.1,6.69,3776
BRE04,Note: A,gpt-4.1,1.29,3944
HES06,Note: A,gpt-4.1,1.35,3081
UCA02,Note: A,gpt-4.1,0.54,3384
PES07,Note: A,gpt-4.1,0.65,3733
UCA14,Note: A,gpt-4.1,0.84,4082
CFE05,Note: A,gpt-4.1,0.67,3850
PES03,Note: A,gpt-4.1,0.89,3485
ALS04,Note: A,gpt-4.1,1.97,4119
SOU14,Note: A,gpt-4.1,0.66,3454
CVL03,Note: B,gpt-4.1,0.7,3782
NOR12,Note: A,gpt-4.1,0.59,4049
OCM18,Note: A,gpt-4.1,0.68,3989
BFC02,Note: A,gpt-4.1,0.83,3906
CFE09,Note: A,gpt-4.1,0.59,3953
LDV08,Note: A,gpt-4.1,0.6,3778
SOU10,Note: A,gpt-4.1,0.6,3747
SOU09,Note: B,gpt-4.1,0.8,3149
ALS09,Note: A,gpt-4.1,0.68,3561
ALS11,Note: A,gpt-4.1,0.97,3892
GRE13,Note: B,gpt-4.1,1.02,3860
HES08,Note: A,gpt-4.1,0.46,4047
LDV09,Note: B,gpt-4.1,1.71,3446
LDV07,Note: A,gpt-4.1,1.0,3651
ALS10,Note: A,gpt-4.1,0.91,3855
OCM13,Note: A,gpt-4.1,0.74,3504
HES02,Note: A,gpt-4.1,0.62,3727
HES03,Note: B,gpt-4.1,0.59,3210
NOR05,Note: A,gpt-4.1,0.8,3665
LOR03,Note: B,gpt-4.1,0.59,3678
CVL02,Note: A,gpt-4.1,0.6,3853
UPS04,Note: A,gpt-4.1,0.6,3162
HES05,Note: A,gpt-4.1,0.7,3759
SEN02,Note: B,gpt-4.1,0.7,3937
BOD12,Note: A,gpt-4.1,0.8,3918
LYO11,Note: A,gpt-4.1,0.59,3529
BOD01,Note: A,gpt-4.1,0.8,3686
SOU13,Note: A,gpt-4.1,0.61,3645
CFE02,Note: A,gpt-4.1,0.59,3095
HES01,Note: A,gpt-4.1,0.74,3538
LOR08,Note: A,gpt-4.1,1.09,3565
LRE09,Note: A,gpt-4.1,0.9,3652
BFC06,Note: A,gpt-4.1,0.8,3883
