ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: B,gpt-4.1,0.77,3006
SEN01,Note: C,gpt-4.1,0.53,3434
UCA11,Note: A,gpt-4.1,0.69,3994
UPS10,Note: C,gpt-4.1,0.8,3760
SPC08,Note: C,gpt-4.1,1.21,3550
LRE11,Note: C,gpt-4.1,0.89,3451
SOU15,Note: C,gpt-4.1,0.7,4080
UCA07,Note: C,gpt-4.1,0.73,3491
BRE16,Note: C,gpt-4.1,1.45,4023
SPC09,Note: C,gpt-4.1,0.64,3479
ALS08,Note: C,gpt-4.1,0.51,3692
PES08,Note: C,gpt-4.1,1.3,3741
LYO02,Note: C,gpt-4.1,0.79,3199
UCA05,Note: C,gpt-4.1,0.77,3830
CVL01,Note: A,gpt-4.1,0.68,3562
BOD07,Note: C,gpt-4.1,0.79,3621
ALS03,Note: C,gpt-4.1,1.57,4094
GRE03,Note: C,gpt-4.1,1.11,3595
PES06,Note: C,gpt-4.1,0.81,3379
OCM10,Note: C,gpt-4.1,0.73,3763
LOR02,Note: C,gpt-4.1,0.69,3481
UPL02,Note: A,gpt-4.1,0.57,3785
NOR10,Note: C,gpt-4.1,0.79,3400
BRE14,Note: C,gpt-4.1,0.71,3584
LYO05,Note: C,gpt-4.1,0.67,4049
GRE07,Note: C,gpt-4.1,1.5,3922
POF03,Note: C,gpt-4.1,1.38,3905
BFC09,Note: C,gpt-4.1,1.01,3626
BFC10,Note: C,gpt-4.1,1.04,3677
GRE01,Note: C,gpt-4.1,0.56,3760
OCM08,Note: A,gpt-4.1,0.68,3471
LYO01,Note: C,gpt-4.1,1.5,3749
BOD11,Note: C,gpt-4.1,0.64,3344
LRE02,Note: C,gpt-4.1,0.72,3923
OCM07,Note: C,gpt-4.1,0.64,3819
SPC05,Note: C,gpt-4.1,0.9,3858
BOD04,Note: C,gpt-4.1,0.92,3674
POF05,Note: A,gpt-4.1,0.61,3848
SPC03,Note: A,gpt-4.1,0.57,3562
SOU01,Note: C,gpt-4.1,1.21,3841
OCM11,Note: C,gpt-4.1,0.7,3721
NOR04,Note: A,gpt-4.1,1.61,3490
SPC04,Note: C,gpt-4.1,0.79,3612
LDV05,Note: C,gpt-4.1,0.6,3970
ALS05,Note: C,gpt-4.1,0.97,3698
LYO10,Note: C,gpt-4.1,0.57,3983
OCM14,Note: A,gpt-4.1,0.81,4036
SOU07,Note: C,gpt-4.1,0.67,3939
BRE04,Note: B,gpt-4.1,1.02,3880
HES06,Note: A,gpt-4.1,0.87,3677
UCA02,Note: C,gpt-4.1,0.6,3583
PES07,Note: C,gpt-4.1,0.69,3639
UCA14,Note: C,gpt-4.1,0.62,3924
CFE05,Note: C,gpt-4.1,0.67,3837
PES03,Note: A,gpt-4.1,0.6,3930
ALS04,Note: C,gpt-4.1,0.76,3831
SOU14,Note: C,gpt-4.1,0.97,3362
CVL03,Note: A,gpt-4.1,0.63,3424
NOR12,Note: A,gpt-4.1,0.81,4131
OCM18,Note: C,gpt-4.1,1.03,3574
BFC02,Note: A,gpt-4.1,0.94,4004
CFE09,Note: C,gpt-4.1,1.11,3874
LDV08,Note: C,gpt-4.1,1.1,3200
SOU10,Note: C,gpt-4.1,0.81,3990
SOU09,Note: C,gpt-4.1,1.1,3421
ALS09,Note: C,gpt-4.1,0.62,3425
ALS11,Note: C,gpt-4.1,0.79,3708
GRE13,Note: C,gpt-4.1,1.0,3580
HES08,Note: C,gpt-4.1,0.89,4215
LDV09,Note: C,gpt-4.1,0.8,3776
LDV07,Note: C,gpt-4.1,0.87,4004
ALS10,Note: C,gpt-4.1,0.53,3970
OCM13,Note: A,gpt-4.1,0.92,3466
HES02,Note: C,gpt-4.1,0.87,3959
HES03,Note: C,gpt-4.1,0.66,3448
NOR05,Note: C,gpt-4.1,0.77,3802
LOR03,Note: C,gpt-4.1,0.81,3811
CVL02,Note: C,gpt-4.1,0.78,3861
UPS04,Note: C,gpt-4.1,0.51,3809
HES05,Note: A,gpt-4.1,1.52,3697
SEN02,Note: C,gpt-4.1,2.64,3529
BOD12,Note: C,gpt-4.1,0.81,3614
LYO11,Note: C,gpt-4.1,0.9,3758
BOD01,Note: C,gpt-4.1,0.8,3711
SOU13,Note: C,gpt-4.1,0.7,4018
CFE02,Note: C,gpt-4.1,0.49,3399
HES01,Note: C,gpt-4.1,0.81,3384
LOR08,Note: B,gpt-4.1,0.7,3662
LRE09,Note: C,gpt-4.1,0.8,3472
BFC06,Note: C,gpt-4.1,0.8,3835
