ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: A,gpt-4.1,0.89,3267
SEN01,Note: C,gpt-4.1,0.69,3803
UCA11,Note: C,gpt-4.1,0.53,3870
UPS10,Note: C,gpt-4.1,0.66,4039
SPC08,Note: C,gpt-4.1,0.53,3768
LRE11,Note: C,gpt-4.1,0.97,3908
SOU15,Note: C,gpt-4.1,0.94,3963
UCA07,Note: A,gpt-4.1,0.66,3815
BRE16,Note: C,gpt-4.1,1.09,3783
SPC09,Note: B,gpt-4.1,0.72,3479
ALS08,Note: C,gpt-4.1,0.79,4289
PES08,Note: C,gpt-4.1,0.7,3843
LYO02,Note: C,gpt-4.1,0.6,3877
UCA05,Note: B,gpt-4.1,0.7,3566
CVL01,Note: C,gpt-4.1,0.67,3685
BOD07,Note: C,gpt-4.1,0.62,3674
ALS03,Note: C,gpt-4.1,0.66,3974
GRE03,Note: C,gpt-4.1,0.83,3590
PES06,Note: B,gpt-4.1,0.71,3693
OCM10,Note: C,gpt-4.1,0.77,3801
LOR02,Note: C,gpt-4.1,0.73,4015
UPL02,Note: C,gpt-4.1,1.52,3872
NOR10,Note: C,gpt-4.1,0.9,3448
BRE14,Note: C,gpt-4.1,0.9,3693
LYO05,Note: C,gpt-4.1,0.8,4283
GRE07,Note: C,gpt-4.1,1.42,3679
POF03,Note: C,gpt-4.1,0.94,4238
BFC09,Note: C,gpt-4.1,0.98,3779
BFC10,Note: C,gpt-4.1,0.84,3863
GRE01,Note: C,gpt-4.1,1.66,3630
OCM08,Note: C,gpt-4.1,0.83,3811
LYO01,Note: C,gpt-4.1,0.7,4044
BOD11,Note: C,gpt-4.1,0.7,3542
LRE02,Note: C,gpt-4.1,0.6,4133
OCM07,Note: C,gpt-4.1,0.7,3682
SPC05,Note: C,gpt-4.1,0.74,4087
BOD04,Note: C,gpt-4.1,2.07,3754
POF05,Note: B,gpt-4.1,0.7,3791
SPC03,Note: B,gpt-4.1,0.6,3548
SOU01,Note: C,gpt-4.1,0.7,3570
OCM11,Note: C,gpt-4.1,0.6,3759
NOR04,Note: C,gpt-4.1,0.87,3780
SPC04,Note: C,gpt-4.1,0.73,4235
LDV05,Note: C,gpt-4.1,0.74,3727
ALS05,Note: B,gpt-4.1,0.93,3875
LYO10,Note: C,gpt-4.1,2.38,3915
OCM14,Note: B,gpt-4.1,0.65,3986
SOU07,Note: B,gpt-4.1,1.3,4133
BRE04,Note: C,gpt-4.1,1.0,4152
HES06,Note: B,gpt-4.1,0.66,3517
UCA02,Note: B,gpt-4.1,0.47,3769
PES07,Note: C,gpt-4.1,0.65,3534
UCA14,Note: B,gpt-4.1,0.62,4163
CFE05,Note: C,gpt-4.1,1.12,4023
PES03,Note: C,gpt-4.1,1.08,3777
ALS04,Note: C,gpt-4.1,0.91,4192
SOU14,Note: B,gpt-4.1,0.45,3531
CVL03,Note: B,gpt-4.1,0.75,3570
NOR12,Note: B,gpt-4.1,0.85,4063
OCM18,Note: C,gpt-4.1,0.87,3721
BFC02,Note: B,gpt-4.1,0.97,4155
CFE09,Note: C,gpt-4.1,0.84,3813
LDV08,Note: C,gpt-4.1,0.66,3803
SOU10,Note: B,gpt-4.1,0.64,3958
SOU09,Note: C,gpt-4.1,0.86,3549
ALS09,Note: C,gpt-4.1,0.7,3728
ALS11,Note: C,gpt-4.1,1.11,3639
GRE13,Note: C,gpt-4.1,1.01,4006
HES08,Note: C,gpt-4.1,0.72,3994
LDV09,Note: C,gpt-4.1,0.98,3609
LDV07,Note: C,gpt-4.1,1.01,4007
ALS10,Note: C,gpt-4.1,2.23,3935
OCM13,Note: C,gpt-4.1,0.85,3753
HES02,Note: C,gpt-4.1,1.06,3974
HES03,Note: C,gpt-4.1,0.6,3541
NOR05,Note: B,gpt-4.1,0.7,3580
LOR03,Note: C,gpt-4.1,0.7,3815
CVL02,Note: C,gpt-4.1,0.48,4010
UPS04,Note: B,gpt-4.1,0.49,3733
HES05,Note: C,gpt-4.1,0.83,3326
SEN02,Note: C,gpt-4.1,0.81,3938
BOD12,Note: C,gpt-4.1,0.86,4056
LYO11,Note: C,gpt-4.1,0.84,4126
BOD01,Note: C,gpt-4.1,0.92,3824
SOU13,Note: C,gpt-4.1,0.7,4066
CFE02,Note: C,gpt-4.1,1.0,3547
HES01,Note: C,gpt-4.1,0.56,3813
LOR08,Note: C,gpt-4.1,0.73,3782
LRE09,Note: C,gpt-4.1,0.59,3498
BFC06,Note: C,gpt-4.1,0.62,3864
