ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: 2,gpt-4.1,0.7,2038
SEN01,Note: 4,gpt-4.1,0.6,1969
UCA11,Note: 5,gpt-4.1,0.7,2119
UPS10,Note: 4,gpt-4.1,0.7,2289
SPC08,Note: 5,gpt-4.1,0.71,2329
LRE11,Note: 5,gpt-4.1,1.86,2143
SOU15,Note: 5,gpt-4.1,0.59,2010
UCA07,Note: 3,gpt-4.1,0.6,1776
BRE16,Note: 5,gpt-4.1,1.1,2414
SPC09,Note: 2,gpt-4.1,0.95,2027
ALS08,Note: 5,gpt-4.1,0.88,2590
PES08,Note: 5,gpt-4.1,0.58,2341
LYO02,Note: 3,gpt-4.1,0.44,2291
UCA05,Note: 4,gpt-4.1,0.83,1907
CVL01,Note: 4,gpt-4.1,0.72,2224
BOD07,Note: 4,gpt-4.1,0.58,2367
ALS03,Note: 4,gpt-4.1,0.61,1886
GRE03,Note: 5,gpt-4.1,0.49,2358
PES06,Note: 5,gpt-4.1,0.78,2389
OCM10,Note: 5,gpt-4.1,0.72,2472
LOR02,Note: 5,gpt-4.1,0.62,1982
UPL02,Note: 4,gpt-4.1,1.7,2395
NOR10,Note: 4,gpt-4.1,1.01,2130
BRE14,Note: 4,gpt-4.1,0.67,2153
LYO05,Note: 3,gpt-4.1,0.73,2527
GRE07,Note: 4,gpt-4.1,0.59,2283
POF03,Note: 4,gpt-4.1,0.7,2298
BFC09,Note: 5,gpt-4.1,1.32,2164
BFC10,Note: 4,gpt-4.1,0.91,2372
GRE01,Note: 5,gpt-4.1,0.59,1768
OCM08,Note: 3,gpt-4.1,0.71,1911
LYO01,Note: 4,gpt-4.1,0.9,2346
BOD11,Note: 4,gpt-4.1,0.7,2041
LRE02,Note: 4,gpt-4.1,0.92,2350
OCM07,Note: 5,gpt-4.1,0.58,2268
SPC05,Note: 5,gpt-4.1,0.59,2575
BOD04,Note: 3,gpt-4.1,0.9,2287
POF05,Note: 4,gpt-4.1,0.56,2027
SPC03,Note: 5,gpt-4.1,0.44,2143
SOU01,Note: 4,gpt-4.1,0.81,2425
OCM11,Note: 4,gpt-4.1,0.88,2340
NOR04,Note: 4,gpt-4.1,0.65,2178
SPC04,Note: 5,gpt-4.1,1.37,2263
LDV05,Note: 5,gpt-4.1,1.53,2431
ALS05,Note: 5,gpt-4.1,0.58,2153
LYO10,Note: 4,gpt-4.1,0.7,1929
OCM14,Note: 4,gpt-4.1,0.7,2207
SOU07,Note: 5,gpt-4.1,0.59,2073
BRE04,Note: 4,gpt-4.1,1.15,2257
HES06,Note: 4,gpt-4.1,1.28,2402
UCA02,Note: 4,gpt-4.1,0.61,1940
PES07,Note: 5,gpt-4.1,0.6,2264
UCA14,Note: 3,gpt-4.1,0.62,2422
CFE05,Note: 4,gpt-4.1,1.06,2241
PES03,Note: 5,gpt-4.1,0.7,2242
ALS04,Note: 4,gpt-4.1,1.43,2470
SOU14,Note: 5,gpt-4.1,0.62,1762
CVL03,Note: 5,gpt-4.1,0.46,2451
NOR12,Note: 5,gpt-4.1,0.59,2092
OCM18,Note: 4,gpt-4.1,0.71,2270
BFC02,Note: 4,gpt-4.1,0.65,2638
CFE09,Note: 5,gpt-4.1,0.64,2329
LDV08,Note: 4,gpt-4.1,1.0,2154
SOU10,Note: 5,gpt-4.1,0.59,2334
SOU09,Note: 4,gpt-4.1,0.56,1709
ALS09,Note: 4,gpt-4.1,0.62,2023
ALS11,Note: 4,gpt-4.1,0.73,2559
GRE13,Note: 5,gpt-4.1,0.73,2244
HES08,Note: 5,gpt-4.1,0.83,2215
LDV09,Note: 4,gpt-4.1,0.81,2263
LDV07,Note: 4,gpt-4.1,1.42,2312
ALS10,Note: 4,gpt-4.1,0.7,2368
OCM13,Note: 4,gpt-4.1,0.8,1801
HES02,Note: 5,gpt-4.1,0.8,2408
HES03,Note: 3,gpt-4.1,0.63,2125
NOR05,Note: 4,gpt-4.1,0.66,1997
LOR03,Note: 4,gpt-4.1,0.56,2446
CVL02,Note: 4,gpt-4.1,1.1,2333
UPS04,Note: 4,gpt-4.1,0.63,2087
HES05,Note: 5,gpt-4.1,0.59,1738
SEN02,Note: 5,gpt-4.1,0.71,1872
BOD12,Note: 5,gpt-4.1,1.0,2471
LYO11,Note: 5,gpt-4.1,0.8,2418
BOD01,Note: 4,gpt-4.1,0.7,2336
SOU13,Note: 5,gpt-4.1,0.7,1870
CFE02,Note: 5,gpt-4.1,0.89,1696
HES01,Note: 4,gpt-4.1,0.71,2180
LOR08,Note: 4,gpt-4.1,0.67,2012
LRE09,Note: 4,gpt-4.1,0.7,2297
BFC06,Note: 5,gpt-4.1,0.73,2397
