ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: A,gpt-4.1,1.57,3094
SEN01,Note: C,gpt-4.1,1.7,3746
UCA11,Note: C,gpt-4.1,0.79,3698
UPS10,Note: C,gpt-4.1,1.31,3604
SPC08,Note: C,gpt-4.1,0.89,3229
LRE11,Note: C,gpt-4.1,1.81,3625
SOU15,Note: C,gpt-4.1,0.89,3671
UCA07,Note: A,gpt-4.1,0.91,3772
BRE16,Note: C,gpt-4.1,1.09,4025
SPC09,Note: B,gpt-4.1,1.61,3128
ALS08,Note: C,gpt-4.1,0.98,3802
PES08,Note: C,gpt-4.1,1.22,3400
LYO02,Note: C,gpt-4.1,0.87,3675
UCA05,Note: C,gpt-4.1,1.1,3719
CVL01,Note: C,gpt-4.1,0.79,3744
BOD07,Note: C,gpt-4.1,1.17,3583
ALS03,Note: C,gpt-4.1,0.75,3492
GRE03,Note: C,gpt-4.1,0.68,3555
PES06,Note: C,gpt-4.1,0.83,3747
OCM10,Note: C,gpt-4.1,0.75,3699
LOR02,Note: C,gpt-4.1,0.65,3534
UPL02,Note: C,gpt-4.1,0.66,3211
NOR10,Note: C,gpt-4.1,0.83,3398
BRE14,Note: C,gpt-4.1,0.67,3618
LYO05,Note: B,gpt-4.1,2.56,3992
GRE07,Note: C,gpt-4.1,1.02,3856
POF03,Note: C,gpt-4.1,1.07,3865
BFC09,Note: C,gpt-4.1,1.22,3891
BFC10,Note: C,gpt-4.1,0.79,3300
GRE01,Note: C,gpt-4.1,0.59,3254
OCM08,Note: B,gpt-4.1,0.7,3373
LYO01,Note: C,gpt-4.1,0.78,3588
BOD11,Note: C,gpt-4.1,0.82,3503
LRE02,Note: C,gpt-4.1,0.86,3815
OCM07,Note: C,gpt-4.1,0.63,3736
SPC05,Note: C,gpt-4.1,1.19,3563
BOD04,Note: B,gpt-4.1,0.71,3367
POF05,Note: C,gpt-4.1,0.59,3764
SPC03,Note: C,gpt-4.1,0.78,3189
SOU01,Note: C,gpt-4.1,0.79,4006
OCM11,Note: C,gpt-4.1,0.69,3244
NOR04,Note: C,gpt-4.1,0.79,3546
SPC04,Note: C,gpt-4.1,0.79,3936
LDV05,Note: C,gpt-4.1,0.8,3577
ALS05,Note: C,gpt-4.1,0.81,4069
LYO10,Note: C,gpt-4.1,0.77,3466
OCM14,Note: C,gpt-4.1,0.92,3646
SOU07,Note: C,gpt-4.1,0.64,3761
BRE04,Note: C,gpt-4.1,0.78,3862
HES06,Note: C,gpt-4.1,0.88,3472
UCA02,Note: B,gpt-4.1,0.7,3341
PES07,Note: C,gpt-4.1,1.98,3591
UCA14,Note: B,gpt-4.1,0.83,4063
CFE05,Note: C,gpt-4.1,0.69,3463
PES03,Note: C,gpt-4.1,0.71,3545
ALS04,Note: C,gpt-4.1,0.82,4093
SOU14,Note: C,gpt-4.1,0.88,3509
CVL03,Note: C,gpt-4.1,0.86,3717
NOR12,Note: C,gpt-4.1,0.63,3786
OCM18,Note: C,gpt-4.1,0.79,3859
BFC02,Note: C,gpt-4.1,0.9,4011
CFE09,Note: C,gpt-4.1,0.6,3871
LDV08,Note: C,gpt-4.1,0.59,3594
SOU10,Note: C,gpt-4.1,0.71,3864
SOU09,Note: C,gpt-4.1,1.51,3339
ALS09,Note: C,gpt-4.1,0.7,3768
ALS11,Note: C,gpt-4.1,1.01,4108
GRE13,Note: C,gpt-4.1,1.14,3827
HES08,Note: C,gpt-4.1,0.67,3957
LDV09,Note: C,gpt-4.1,0.72,3427
LDV07,Note: C,gpt-4.1,0.88,3713
ALS10,Note: C,gpt-4.1,0.84,3695
OCM13,Note: B,gpt-4.1,0.74,3233
HES02,Note: C,gpt-4.1,0.92,3790
HES03,Note: B,gpt-4.1,0.7,3512
NOR05,Note: B,gpt-4.1,2.01,3399
LOR03,Note: C,gpt-4.1,1.44,3689
CVL02,Note: C,gpt-4.1,1.1,3932
UPS04,Note: C,gpt-4.1,0.7,3814
HES05,Note: C,gpt-4.1,0.67,3762
SEN02,Note: C,gpt-4.1,0.82,3598
BOD12,Note: C,gpt-4.1,1.21,3693
LYO11,Note: C,gpt-4.1,0.69,3586
BOD01,Note: C,gpt-4.1,0.8,4012
SOU13,Note: C,gpt-4.1,0.78,3945
CFE02,Note: B,gpt-4.1,0.72,3485
HES01,Note: C,gpt-4.1,1.75,3768
LOR08,Note: C,gpt-4.1,0.58,3613
LRE09,Note: B,gpt-4.1,0.74,3468
BFC06,Note: C,gpt-4.1,0.66,3796
