ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: A,gpt-4.1,1.11,3002
SEN01,Note: B,gpt-4.1,0.88,3583
UCA11,Note: B,gpt-4.1,0.73,3886
UPS10,Note: C,gpt-4.1,5.1,4124
SPC08,Note: B,gpt-4.1,3.06,3717
LRE11,Note: B,gpt-4.1,0.89,3955
SOU15,Note: B,gpt-4.1,0.79,3508
UCA07,Note: A,gpt-4.1,0.6,3746
BRE16,Note: B,gpt-4.1,0.5,3853
SPC09,Note: C,gpt-4.1,0.7,3100
ALS08,Note: B,gpt-4.1,0.6,3875
PES08,Note: B,gpt-4.1,1.32,3620
LYO02,Note: B,gpt-4.1,0.74,3251
UCA05,Note: A,gpt-4.1,0.75,3744
CVL01,Note: C,gpt-4.1,0.67,3482
BOD07,Note: B,gpt-4.1,0.71,3811
ALS03,Note: C,gpt-4.1,0.59,4015
GRE03,Note: B,gpt-4.1,0.77,3646
PES06,Note: B,gpt-4.1,0.89,3882
OCM10,Note: B,gpt-4.1,0.95,3658
LOR02,Note: B,gpt-4.1,1.82,3724
UPL02,Note: B,gpt-4.1,0.7,3765
NOR10,Note: B,gpt-4.1,2.12,3517
BRE14,Note: B,gpt-4.1,0.67,3736
LYO05,Note: B,gpt-4.1,0.73,3821
GRE07,Note: C,gpt-4.1,0.8,3891
POF03,Note: B,gpt-4.1,1.64,3983
BFC09,Note: B,gpt-4.1,0.79,3785
BFC10,Note: B,gpt-4.1,0.68,3680
GRE01,Note: B,gpt-4.1,0.7,3546
OCM08,Note: B,gpt-4.1,0.7,3661
LYO01,Note: B,gpt-4.1,0.59,3887
BOD11,Note: B,gpt-4.1,0.62,3578
LRE02,Note: B,gpt-4.1,0.78,3804
OCM07,Note: B,gpt-4.1,0.63,4087
SPC05,Note: B,gpt-4.1,0.67,3810
BOD04,Note: B,gpt-4.1,1.11,3621
POF05,Note: B,gpt-4.1,0.59,3732
SPC03,Note: B,gpt-4.1,0.52,3478
SOU01,Note: B,gpt-4.1,0.66,4102
OCM11,Note: B,gpt-4.1,0.7,3731
NOR04,Note: B,gpt-4.1,0.88,3464
SPC04,Note: B,gpt-4.1,0.58,3979
LDV05,Note: B,gpt-4.1,0.63,3976
ALS05,Note: B,gpt-4.1,0.91,3791
LYO10,Note: B,gpt-4.1,0.56,4034
OCM14,Note: B,gpt-4.1,1.28,3621
SOU07,Note: B,gpt-4.1,0.98,4016
BRE04,Note: B,gpt-4.1,0.91,3855
HES06,Note: C,gpt-4.1,0.65,3513
UCA02,Note: C,gpt-4.1,0.63,3735
PES07,Note: B,gpt-4.1,0.61,3645
UCA14,Note: A,gpt-4.1,0.8,4072
CFE05,Note: B,gpt-4.1,0.77,3817
PES03,Note: B,gpt-4.1,0.63,3426
ALS04,Note: B,gpt-4.1,0.5,3972
SOU14,Note: C,gpt-4.1,0.8,3307
CVL03,Note: B,gpt-4.1,0.86,3787
NOR12,Note: B,gpt-4.1,13.94,4131
OCM18,Note: B,gpt-4.1,0.8,3866
BFC02,Note: B,gpt-4.1,0.92,4080
CFE09,Note: B,gpt-4.1,0.56,3846
LDV08,Note: B,gpt-4.1,0.62,3630
SOU10,Note: B,gpt-4.1,0.64,3726
SOU09,Note: A,gpt-4.1,1.1,3608
ALS09,Note: B,gpt-4.1,0.65,3777
ALS11,Note: C,gpt-4.1,2.23,4010
GRE13,Note: B,gpt-4.1,1.0,3849
HES08,Note: B,gpt-4.1,0.68,4059
LDV09,Note: B,gpt-4.1,1.03,3576
LDV07,Note: B,gpt-4.1,1.01,3979
ALS10,Note: B,gpt-4.1,0.85,4111
OCM13,Note: C,gpt-4.1,0.63,3390
HES02,Note: B,gpt-4.1,0.63,3868
HES03,Note: B,gpt-4.1,0.47,3244
NOR05,Note: C,gpt-4.1,0.7,3637
LOR03,Note: B,gpt-4.1,0.8,3744
CVL02,Note: B,gpt-4.1,0.6,4133
UPS04,Note: C,gpt-4.1,0.61,3892
HES05,Note: B,gpt-4.1,0.59,3766
SEN02,Note: B,gpt-4.1,1.23,3951
BOD12,Note: B,gpt-4.1,0.73,3985
LYO11,Note: B,gpt-4.1,0.76,4039
BOD01,Note: B,gpt-4.1,0.73,3981
SOU13,Note: B,gpt-4.1,0.77,3728
CFE02,Note: B,gpt-4.1,0.65,3334
HES01,Note: C,gpt-4.1,0.86,3469
LOR08,Note: B,gpt-4.1,0.69,3341
LRE09,Note: B,gpt-4.1,0.78,3619
BFC06,Note: B,gpt-4.1,0.61,3670
