ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: A,gpt-4.1,0.69,2923
SEN01,Note: C,gpt-4.1,0.59,3821
UCA11,Note: C,gpt-4.1,0.57,3717
UPS10,Note: C,gpt-4.1,1.03,3823
SPC08,Note: C,gpt-4.1,0.99,3727
LRE11,Note: C,gpt-4.1,0.72,3921
SOU15,Note: C,gpt-4.1,0.48,3779
UCA07,Note: A,gpt-4.1,0.7,3729
BRE16,Note: C,gpt-4.1,0.79,4254
SPC09,Note: B,gpt-4.1,0.64,3478
ALS08,Note: C,gpt-4.1,0.65,4042
PES08,Note: C,gpt-4.1,1.31,3658
LYO02,Note: C,gpt-4.1,0.73,3722
UCA05,Note: C,gpt-4.1,0.75,3563
CVL01,Note: C,gpt-4.1,0.79,3671
BOD07,Note: C,gpt-4.1,0.59,4235
ALS03,Note: C,gpt-4.1,0.99,3951
GRE03,Note: C,gpt-4.1,1.06,3094
PES06,Note: C,gpt-4.1,0.8,3527
OCM10,Note: C,gpt-4.1,0.57,3830
LOR02,Note: C,gpt-4.1,0.73,3738
UPL02,Note: C,gpt-4.1,0.78,3832
NOR10,Note: B,gpt-4.1,0.66,3640
BRE14,Note: C,gpt-4.1,0.79,3330
LYO05,Note: C,gpt-4.1,0.57,4006
GRE07,Note: B,gpt-4.1,1.41,3956
POF03,Note: C,gpt-4.1,0.81,4058
BFC09,Note: C,gpt-4.1,0.6,3562
BFC10,Note: C,gpt-4.1,0.89,3679
GRE01,Note: C,gpt-4.1,0.61,3622
OCM08,Note: B,gpt-4.1,0.58,3093
LYO01,Note: C,gpt-4.1,0.8,3835
BOD11,Note: C,gpt-4.1,0.9,3619
LRE02,Note: C,gpt-4.1,0.68,3919
OCM07,Note: C,gpt-4.1,0.61,3718
SPC05,Note: C,gpt-4.1,0.57,3854
BOD04,Note: C,gpt-4.1,0.82,3875
POF05,Note: C,gpt-4.1,0.7,3705
SPC03,Note: C,gpt-4.1,0.69,3421
SOU01,Note: C,gpt-4.1,0.68,4103
OCM11,Note: C,gpt-4.1,0.54,3649
NOR04,Note: C,gpt-4.1,0.92,3549
SPC04,Note: C,gpt-4.1,0.9,3939
LDV05,Note: C,gpt-4.1,0.61,3883
ALS05,Note: C,gpt-4.1,0.88,3880
LYO10,Note: C,gpt-4.1,0.83,3824
OCM14,Note: C,gpt-4.1,1.49,3756
SOU07,Note: C,gpt-4.1,0.79,3898
BRE04,Note: C,gpt-4.1,0.8,3999
HES06,Note: C,gpt-4.1,0.8,3588
UCA02,Note: B,gpt-4.1,1.5,3956
PES07,Note: C,gpt-4.1,0.72,3632
UCA14,Note: A,gpt-4.1,0.7,4005
CFE05,Note: C,gpt-4.1,0.7,3905
PES03,Note: C,gpt-4.1,0.93,3881
ALS04,Note: C,gpt-4.1,0.66,3696
SOU14,Note: C,gpt-4.1,0.63,3352
CVL03,Note: C,gpt-4.1,0.57,3400
NOR12,Note: C,gpt-4.1,3.25,3936
OCM18,Note: C,gpt-4.1,0.6,3966
BFC02,Note: C,gpt-4.1,0.84,4301
CFE09,Note: C,gpt-4.1,0.65,4096
LDV08,Note: C,gpt-4.1,0.88,3531
SOU10,Note: C,gpt-4.1,0.58,3741
SOU09,Note: C,gpt-4.1,0.84,3532
ALS09,Note: C,gpt-4.1,0.69,3781
ALS11,Note: C,gpt-4.1,1.2,3973
GRE13,Note: C,gpt-4.1,0.95,3741
HES08,Note: C,gpt-4.1,0.69,3903
LDV09,Note: C,gpt-4.1,0.56,3468
LDV07,Note: C,gpt-4.1,0.83,4003
ALS10,Note: C,gpt-4.1,0.7,4083
OCM13,Note: B,gpt-4.1,0.8,3428
HES02,Note: C,gpt-4.1,0.62,3634
HES03,Note: C,gpt-4.1,0.58,3323
NOR05,Note: B,gpt-4.1,0.69,3725
LOR03,Note: C,gpt-4.1,0.7,3802
CVL02,Note: C,gpt-4.1,0.69,3620
UPS04,Note: B,gpt-4.1,0.67,4001
HES05,Note: C,gpt-4.1,0.74,3775
SEN02,Note: C,gpt-4.1,0.77,4085
BOD12,Note: C,gpt-4.1,0.74,3769
LYO11,Note: C,gpt-4.1,0.71,4024
BOD01,Note: C,gpt-4.1,0.67,3668
SOU13,Note: C,gpt-4.1,0.79,3921
CFE02,Note: B,gpt-4.1,0.74,3395
HES01,Note: B,gpt-4.1,0.59,3292
LOR08,Note: C,gpt-4.1,0.56,3756
LRE09,Note: C,gpt-4.1,0.9,3333
BFC06,Note: C,gpt-4.1,1.15,3953
