ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: A,gpt-4.1,0.73,3070
SEN01,Note: A,gpt-4.1,0.65,3958
UCA11,Note: B,gpt-4.1,0.62,4177
UPS10,Note: A,gpt-4.1,1.21,3880
SPC08,Note: A,gpt-4.1,1.38,3881
LRE11,Note: A,gpt-4.1,0.68,4026
SOU15,Note: A,gpt-4.1,0.68,3984
UCA07,Note: A,gpt-4.1,0.9,4117
BRE16,Note: A,gpt-4.1,0.84,4252
SPC09,Note: A,gpt-4.1,0.59,3443
ALS08,Note: A,gpt-4.1,0.81,4224
PES08,Note: A,gpt-4.1,1.19,3881
LYO02,Note: A,gpt-4.1,0.88,3656
UCA05,Note: A,gpt-4.1,0.43,3914
CVL01,Note: B,gpt-4.1,0.91,3962
BOD07,Note: A,gpt-4.1,0.75,4086
ALS03,Note: A,gpt-4.1,0.56,3982
GRE03,Note: A,gpt-4.1,0.78,3713
PES06,Note: B,gpt-4.1,0.86,3756
OCM10,Note: A,gpt-4.1,0.54,3838
LOR02,Note: A,gpt-4.1,0.8,3719
UPL02,Note: A,gpt-4.1,0.93,4135
NOR10,Note: A,gpt-4.1,0.58,3623
BRE14,Note: A,gpt-4.1,0.68,3863
LYO05,Note: A,gpt-4.1,1.34,4205
GRE07,Note: A,gpt-4.1,0.66,4146
POF03,Note: A,gpt-4.1,0.72,4235
BFC09,Note: B,gpt-4.1,0.77,3861
BFC10,Note: A,gpt-4.1,0.64,3659
GRE01,Note: A,gpt-4.1,0.91,4183
OCM08,Note: A,gpt-4.1,0.66,3485
LYO01,Note: A,gpt-4.1,0.98,4086
BOD11,Note: A,gpt-4.1,0.98,3486
LRE02,Note: A,gpt-4.1,0.63,3743
OCM07,Note: A,gpt-4.1,0.8,4031
SPC05,Note: A,gpt-4.1,0.62,4218
BOD04,Note: A,gpt-4.1,0.78,3872
POF05,Note: A,gpt-4.1,0.78,3727
SPC03,Note: B,gpt-4.1,0.67,3251
SOU01,Note: A,gpt-4.1,0.56,4005
OCM11,Note: A,gpt-4.1,0.71,3619
NOR04,Note: A,gpt-4.1,0.85,3588
SPC04,Note: A,gpt-4.1,0.86,3707
LDV05,Note: A,gpt-4.1,0.84,4097
ALS05,Note: A,gpt-4.1,0.75,3987
LYO10,Note: A,gpt-4.1,0.7,3860
OCM14,Note: A,gpt-4.1,1.06,3963
SOU07,Note: B,gpt-4.1,0.85,4205
BRE04,Note: B,gpt-4.1,0.64,4041
HES06,Note: A,gpt-4.1,0.63,3783
UCA02,Note: A,gpt-4.1,0.51,3573
PES07,Note: A,gpt-4.1,0.49,3667
UCA14,Note: A,gpt-4.1,3.08,4311
CFE05,Note: A,gpt-4.1,0.45,4136
PES03,Note: B,gpt-4.1,0.57,3953
ALS04,Note: A,gpt-4.1,0.68,4262
SOU14,Note: A,gpt-4.1,0.57,3664
CVL03,Note: A,gpt-4.1,0.82,3674
NOR12,Note: A,gpt-4.1,0.61,4019
OCM18,Note: A,gpt-4.1,0.99,4077
BFC02,Note: A,gpt-4.1,0.92,4090
CFE09,Note: A,gpt-4.1,0.57,3952
LDV08,Note: A,gpt-4.1,0.87,3924
SOU10,Note: B,gpt-4.1,0.65,3852
SOU09,Note: A,gpt-4.1,0.79,3517
ALS09,Note: A,gpt-4.1,0.53,3591
ALS11,Note: A,gpt-4.1,0.8,4066
GRE13,Note: A,gpt-4.1,0.85,3792
HES08,Note: A,gpt-4.1,0.83,3910
LDV09,Note: A,gpt-4.1,6.47,3851
LDV07,Note: A,gpt-4.1,5.31,3946
ALS10,Note: A,gpt-4.1,1.21,4264
OCM13,Note: A,gpt-4.1,0.81,3569
HES02,Note: A,gpt-4.1,0.71,4335
HES03,Note: A,gpt-4.1,0.8,3468
NOR05,Note: A,gpt-4.1,0.68,3491
LOR03,Note: A,gpt-4.1,0.88,3976
CVL02,Note: A,gpt-4.1,0.84,4130
UPS04,Note: A,gpt-4.1,0.58,3934
HES05,Note: A,gpt-4.1,0.52,3573
SEN02,Note: A,gpt-4.1,0.8,4055
BOD12,Note: A,gpt-4.1,0.64,3957
LYO11,Note: B,gpt-4.1,0.65,3850
BOD01,Note: B,gpt-4.1,0.8,3850
SOU13,Note: A,gpt-4.1,0.7,4036
CFE02,Note: A,gpt-4.1,0.7,3757
HES01,Note: A,gpt-4.1,0.9,3597
LOR08,Note: A,gpt-4.1,0.7,3692
LRE09,Note: A,gpt-4.1,0.71,3752
BFC06,Note: A,gpt-4.1,0.59,4020
