ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: 2,gpt-4.1,1.17,479
SEN01,Note: 5,gpt-4.1,1.55,798
UCA11,Note: 4,gpt-4.1,1.94,860
UPS10,Note: 5,gpt-4.1,1.78,963
SPC08,Note: 5,gpt-4.1,1.52,770
LRE11,Note: 5,gpt-4.1,6.29,837
SOU15,Note: 5,gpt-4.1,1.22,912
UCA07,Note: 2,gpt-4.1,1.93,807
BRE16,Note: 5,gpt-4.1,0.6,918
SPC09,Note: 4,gpt-4.1,0.52,629
ALS08,Note: 5,gpt-4.1,0.68,954
PES08,Note: 5,gpt-4.1,0.84,794
LYO02,Note: 4,gpt-4.1,2.41,796
UCA05,Note: 3,gpt-4.1,0.81,809
CVL01,Note: 5,gpt-4.1,0.79,758
BOD07,Note: 5,gpt-4.1,2.34,859
ALS03,Note: 5,gpt-4.1,2.55,903
GRE03,Note: 5,gpt-4.1,1.83,705
PES06,Note: 5,gpt-4.1,0.5,791
OCM10,Note: 5,gpt-4.1,0.7,819
LOR02,Note: 5,gpt-4.1,1.73,811
UPL02,Note: 4,gpt-4.1,3.06,896
NOR10,Note: 5,gpt-4.1,1.35,711
BRE14,Note: 4,gpt-4.1,0.68,827
LYO05,Note: 4,gpt-4.1,2.95,929
GRE07,Note: 4,gpt-4.1,1.24,823
POF03,Note: 5,gpt-4.1,1.9,972
BFC09,Note: 5,gpt-4.1,0.82,779
BFC10,Note: 5,gpt-4.1,1.63,719
GRE01,Note: 5,gpt-4.1,1.42,785
OCM08,Note: 4,gpt-4.1,1.51,745
LYO01,Note: 5,gpt-4.1,1.42,851
BOD11,Note: 5,gpt-4.1,1.73,729
LRE02,Note: 5,gpt-4.1,1.43,890
OCM07,Note: 5,gpt-4.1,2.0,897
SPC05,Note: 5,gpt-4.1,1.85,921
BOD04,Note: 5,gpt-4.1,1.73,788
POF05,Note: 5,gpt-4.1,1.05,816
SPC03,Note: 5,gpt-4.1,1.8,699
SOU01,Note: 5,gpt-4.1,1.67,943
OCM11,Note: 4,gpt-4.1,2.3,742
NOR04,Note: 5,gpt-4.1,0.8,712
SPC04,Note: 5,gpt-4.1,2.24,918
LDV05,Note: 5,gpt-4.1,1.72,944
ALS05,Note: 5,gpt-4.1,1.63,841
LYO10,Note: 5,gpt-4.1,1.33,913
OCM14,Note: 4,gpt-4.1,2.34,842
SOU07,Note: 5,gpt-4.1,1.12,920
BRE04,Note: 5,gpt-4.1,2.36,912
HES06,Note: 4,gpt-4.1,1.55,701
UCA02,Note: 4,gpt-4.1,0.96,769
PES07,Note: 5,gpt-4.1,1.73,765
UCA14,Note: 2,gpt-4.1,2.03,962
CFE05,Note: 5,gpt-4.1,1.22,843
PES03,Note: 5,gpt-4.1,2.04,836
ALS04,Note: 5,gpt-4.1,1.63,961
SOU14,Note: 4,gpt-4.1,2.34,726
CVL03,Note: 5,gpt-4.1,1.72,798
NOR12,Note: 5,gpt-4.1,0.5,948
OCM18,Note: 5,gpt-4.1,2.24,864
BFC02,Note: 5,gpt-4.1,1.83,981
CFE09,Note: 5,gpt-4.1,2.03,885
LDV08,Note: 5,gpt-4.1,1.11,795
SOU10,Note: 5,gpt-4.1,2.86,870
SOU09,Note: 4,gpt-4.1,1.83,667
ALS09,Note: 5,gpt-4.1,0.53,805
ALS11,Note: 5,gpt-4.1,2.48,961
GRE13,Note: 5,gpt-4.1,0.71,875
HES08,Note: 5,gpt-4.1,2.19,909
LDV09,Note: 5,gpt-4.1,1.38,750
LDV07,Note: 4,gpt-4.1,2.88,852
ALS10,Note: 5,gpt-4.1,0.71,924
OCM13,Note: 5,gpt-4.1,2.3,657
HES02,Note: 4,gpt-4.1,0.54,947
HES03,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4.1 in organization org-e5cFhZROxrXpgUfSrROrwa9Y on tokens per min (TPM): Limit 30000, Used 29612, Requested 690. Please try again in 604ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",gpt-4.1,0.0,0
NOR05,Note: 4,gpt-4.1,1.63,827
LOR03,Note: 5,gpt-4.1,0.61,887
CVL02,Note: 5,gpt-4.1,2.84,914
UPS04,Note: 5,gpt-4.1,0.5,828
HES05,Note: 5,gpt-4.1,1.52,769
SEN02,Note: 5,gpt-4.1,2.34,903
BOD12,Note: 5,gpt-4.1,2.64,924
LYO11,Note: 5,gpt-4.1,0.62,878
BOD01,Note: 4,gpt-4.1,1.61,872
SOU13,Note: 5,gpt-4.1,1.73,901
CFE02,Note: 5,gpt-4.1,2.34,670
HES01,Note: 4,gpt-4.1,0.5,728
LOR08,Note: 4,gpt-4.1,2.19,807
LRE09,Note: 5,gpt-4.1,1.98,716
BFC06,Note: 5,gpt-4.1,1.11,857
