ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: 4,gpt-4.1,0.63,478
SEN01,Note: 5,gpt-4.1,2.52,797
UCA11,Note: 5,gpt-4.1,0.5,859
UPS10,Note: 5,gpt-4.1,2.04,962
SPC08,Note: 5,gpt-4.1,1.62,769
LRE11,Note: 5,gpt-4.1,2.0,836
SOU15,Note: 5,gpt-4.1,1.36,911
UCA07,Note: 5,gpt-4.1,3.37,806
BRE16,Note: 5,gpt-4.1,0.61,917
SPC09,Note: 4,gpt-4.1,1.21,628
ALS08,Note: 5,gpt-4.1,2.34,953
PES08,Note: 5,gpt-4.1,1.01,793
LYO02,Note: 5,gpt-4.1,2.34,795
UCA05,Note: 5,gpt-4.1,0.91,808
CVL01,Note: 5,gpt-4.1,1.12,757
BOD07,Note: 5,gpt-4.1,1.93,858
ALS03,Note: 5,gpt-4.1,2.65,902
GRE03,Note: 5,gpt-4.1,0.6,704
PES06,Note: 5,gpt-4.1,1.12,790
OCM10,Note: 5,gpt-4.1,2.67,818
LOR02,Note: 5,gpt-4.1,1.18,810
UPL02,Note: 5,gpt-4.1,1.33,895
NOR10,Note: 5,gpt-4.1,1.32,710
BRE14,Note: 5,gpt-4.1,1.63,826
LYO05,Note: 4,gpt-4.1,2.34,928
GRE07,Note: 5,gpt-4.1,1.42,822
POF03,Note: 5,gpt-4.1,1.73,971
BFC09,Note: 5,gpt-4.1,1.63,778
BFC10,Note: 5,gpt-4.1,1.42,718
GRE01,Note: 5,gpt-4.1,1.23,784
OCM08,Note: 5,gpt-4.1,1.93,744
LYO01,Note: 5,gpt-4.1,1.63,850
BOD11,Note: 5,gpt-4.1,0.5,728
LRE02,Note: 5,gpt-4.1,1.72,889
OCM07,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4.1 in organization org-e5cFhZROxrXpgUfSrROrwa9Y on tokens per min (TPM): Limit 30000, Used 29009, Requested 1032. Please try again in 82ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",gpt-4.1,0.0,0
SPC05,Note: 5,gpt-4.1,0.64,920
BOD04,Note: 5,gpt-4.1,2.03,787
POF05,Note: 5,gpt-4.1,0.6,815
SPC03,Note: 4,gpt-4.1,1.62,698
SOU01,Note: 5,gpt-4.1,2.04,942
OCM11,Note: 5,gpt-4.1,1.11,741
NOR04,Note: 5,gpt-4.1,2.14,711
SPC04,Note: 5,gpt-4.1,2.55,917
LDV05,Note: 5,gpt-4.1,0.72,943
ALS05,Note: 4,gpt-4.1,2.22,840
LYO10,Note: 5,gpt-4.1,2.16,912
OCM14,Note: 4,gpt-4.1,0.6,841
SOU07,Note: 5,gpt-4.1,3.06,919
BRE04,Note: 5,gpt-4.1,0.57,911
HES06,Note: 5,gpt-4.1,1.77,700
UCA02,Note: 5,gpt-4.1,2.86,768
PES07,Note: 5,gpt-4.1,0.61,764
UCA14,Note: 4,gpt-4.1,1.42,961
CFE05,Note: 5,gpt-4.1,1.28,842
PES03,Note: 5,gpt-4.1,2.08,835
ALS04,Note: 5,gpt-4.1,1.63,960
SOU14,Note: 5,gpt-4.1,1.28,725
CVL03,Note: 5,gpt-4.1,2.15,797
NOR12,Note: 4,gpt-4.1,1.81,947
OCM18,Note: 5,gpt-4.1,1.57,863
BFC02,Note: 4,gpt-4.1,2.34,980
CFE09,Note: 5,gpt-4.1,1.12,884
LDV08,Note: 5,gpt-4.1,2.08,794
SOU10,Note: 5,gpt-4.1,1.54,869
SOU09,Note: 5,gpt-4.1,1.09,666
ALS09,Note: 5,gpt-4.1,0.65,804
ALS11,Note: 5,gpt-4.1,2.97,960
GRE13,Note: 5,gpt-4.1,1.73,874
HES08,Note: 5,gpt-4.1,1.52,908
LDV09,Note: 5,gpt-4.1,2.72,749
LDV07,Note: 5,gpt-4.1,0.71,851
ALS10,Note: 5,gpt-4.1,1.83,923
OCM13,Note: 4,gpt-4.1,1.06,656
HES02,Note: 5,gpt-4.1,1.81,946
HES03,Note: 5,gpt-4.1,3.01,625
NOR05,Note: 5,gpt-4.1,0.58,826
LOR03,Note: 5,gpt-4.1,1.85,886
CVL02,Note: 5,gpt-4.1,2.44,913
UPS04,Note: 5,gpt-4.1,1.52,827
HES05,Note: 4,gpt-4.1,0.66,768
SEN02,Note: 5,gpt-4.1,2.4,902
BOD12,Note: 5,gpt-4.1,0.9,923
LYO11,Note: 5,gpt-4.1,1.92,877
BOD01,Note: 5,gpt-4.1,2.86,871
SOU13,Note: 5,gpt-4.1,0.5,900
CFE02,Note: 5,gpt-4.1,1.43,669
HES01,Note: 5,gpt-4.1,1.63,727
LOR08,Note: 4,gpt-4.1,2.66,806
LRE09,Note: 5,gpt-4.1,0.83,715
BFC06,Note: 5,gpt-4.1,1.35,856
