ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: 58,gpt-4.1,0.52,442
SEN01,Note: 92,gpt-4.1,1.75,761
UCA11,Note: 92,gpt-4.1,1.73,823
UPS10,Note: 92,gpt-4.1,2.73,926
SPC08,Note: 92,gpt-4.1,0.72,733
LRE11,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4.1 in organization org-e5cFhZROxrXpgUfSrROrwa9Y on tokens per min (TPM): Limit 30000, Used 29450, Requested 864. Please try again in 628ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",gpt-4.1,0.0,0
SOU15,Note: 92,gpt-4.1,6.6,875
UCA07,Note: 62,gpt-4.1,0.58,770
BRE16,Note: 92,gpt-4.1,0.61,881
SPC09,Note: 75,gpt-4.1,0.45,592
ALS08,Note: 93,gpt-4.1,0.78,917
PES08,Note: 92,gpt-4.1,0.6,757
LYO02,Note: 91,gpt-4.1,0.68,759
UCA05,Note: 85,gpt-4.1,0.64,772
CVL01,Note: 92,gpt-4.1,3.01,721
BOD07,Note: 92,gpt-4.1,0.67,822
ALS03,Note: 91,gpt-4.1,1.62,866
GRE03,Note: 92,gpt-4.1,1.31,668
PES06,Note: 92,gpt-4.1,1.88,754
OCM10,Note: 92,gpt-4.1,0.81,782
LOR02,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4.1 in organization org-e5cFhZROxrXpgUfSrROrwa9Y on tokens per min (TPM): Limit 30000, Used 29186, Requested 835. Please try again in 42ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",gpt-4.1,0.0,0
UPL02,Note: 91,gpt-4.1,0.53,859
NOR10,Note: 88,gpt-4.1,1.16,674
BRE14,Note: 87,gpt-4.1,2.01,790
LYO05,Note: 85,gpt-4.1,2.14,892
GRE07,Note: 88,gpt-4.1,0.56,786
POF03,Note: 92,gpt-4.1,2.32,935
BFC09,Note: 92,gpt-4.1,0.49,742
BFC10,Note: 92,gpt-4.1,2.5,682
GRE01,Note: 93,gpt-4.1,1.37,748
OCM08,Note: 85,gpt-4.1,2.45,708
LYO01,Note: 92,gpt-4.1,0.57,814
BOD11,Note: 86,gpt-4.1,1.0,692
LRE02,Note: 92,gpt-4.1,2.89,853
OCM07,Note: 92,gpt-4.1,0.94,860
SPC05,Note: 92,gpt-4.1,2.11,884
BOD04,Note: 92,gpt-4.1,1.21,751
POF05,Note: 91,gpt-4.1,2.65,779
SPC03,Note: 89,gpt-4.1,0.51,662
SOU01,Note: 91,gpt-4.1,1.11,906
OCM11,Note: 95,gpt-4.1,4.23,705
NOR04,Note: 92,gpt-4.1,1.36,675
SPC04,Note: 94,gpt-4.1,0.56,881
LDV05,Note: 92,gpt-4.1,0.62,907
ALS05,Note: 90,gpt-4.1,1.51,804
LYO10,Note: 92,gpt-4.1,1.97,876
OCM14,Note: 87,gpt-4.1,2.04,805
SOU07,Note: 92,gpt-4.1,2.56,883
BRE04,Note: 93,gpt-4.1,0.68,875
HES06,Note: 92,gpt-4.1,0.73,664
UCA02,Note: 84,gpt-4.1,1.11,732
PES07,Note: 89,gpt-4.1,2.04,728
UCA14,Note: 74,gpt-4.1,1.32,925
CFE05,Note: 90,gpt-4.1,2.0,806
PES03,Note: 92,gpt-4.1,1.34,799
ALS04,Note: 92,gpt-4.1,0.72,924
SOU14,Note: 88,gpt-4.1,3.47,689
CVL03,Note: 92,gpt-4.1,0.65,761
NOR12,Note: 92,gpt-4.1,2.19,911
OCM18,Note: 93,gpt-4.1,0.94,827
BFC02,Note: 89,gpt-4.1,2.36,944
CFE09,Note: 93,gpt-4.1,1.28,848
LDV08,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4.1 in organization org-e5cFhZROxrXpgUfSrROrwa9Y on tokens per min (TPM): Limit 30000, Used 29148, Requested 879. Please try again in 54ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",gpt-4.1,0.0,0
SOU10,Note: 92,gpt-4.1,1.68,833
SOU09,Note: 86,gpt-4.1,0.46,630
ALS09,Note: 92,gpt-4.1,0.9,768
ALS11,Note: 92,gpt-4.1,0.67,924
GRE13,Note: 92,gpt-4.1,3.4,838
HES08,Note: 92,gpt-4.1,1.41,872
LDV09,Note: 90,gpt-4.1,1.63,713
LDV07,Note: 90,gpt-4.1,2.24,815
ALS10,Note: 92,gpt-4.1,0.5,887
OCM13,Note: 88,gpt-4.1,2.65,620
HES02,Note: 96,gpt-4.1,0.61,910
HES03,Note: 87,gpt-4.1,1.83,589
NOR05,Note: 85,gpt-4.1,1.34,790
LOR03,Note: 93,gpt-4.1,2.69,850
CVL02,Note: 90,gpt-4.1,0.55,877
UPS04,Note: 90,gpt-4.1,2.57,791
HES05,Note: 92,gpt-4.1,0.65,732
SEN02,Note: 92,gpt-4.1,1.66,866
BOD12,Note: 90,gpt-4.1,1.52,887
LYO11,Note: 92,gpt-4.1,1.72,841
BOD01,Note: 92,gpt-4.1,1.83,835
SOU13,Note: 92,gpt-4.1,2.65,864
CFE02,Note: 90,gpt-4.1,0.74,633
HES01,Note: 84,gpt-4.1,0.75,691
LOR08,Note: 86,gpt-4.1,2.58,770
LRE09,Note: 86,gpt-4.1,1.32,679
BFC06,Note: 92,gpt-4.1,1.94,820
