ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: 2,gpt-4.1,1.32,492
SEN01,Note: 5,gpt-4.1,1.65,811
UCA11,Note: 5,gpt-4.1,1.76,873
UPS10,Note: 5,gpt-4.1,1.82,976
SPC08,Note: 5,gpt-4.1,1.2,783
LRE11,Note: 5,gpt-4.1,3.08,850
SOU15,Note: 5,gpt-4.1,0.39,925
UCA07,Note: 3,gpt-4.1,2.53,820
BRE16,Note: 5,gpt-4.1,1.46,931
SPC09,Note: 4,gpt-4.1,1.91,642
ALS08,Note: 5,gpt-4.1,2.22,967
PES08,Note: 5,gpt-4.1,1.1,807
LYO02,Note: 5,gpt-4.1,1.11,809
UCA05,Note: 5,gpt-4.1,1.73,822
CVL01,Note: 5,gpt-4.1,1.31,771
BOD07,Note: 5,gpt-4.1,2.68,872
ALS03,Note: 5,gpt-4.1,0.65,916
GRE03,Note: 5,gpt-4.1,1.98,718
PES06,Note: 5,gpt-4.1,1.32,804
OCM10,Note: 5,gpt-4.1,2.04,832
LOR02,Note: 5,gpt-4.1,2.04,824
UPL02,Note: 5,gpt-4.1,0.7,909
NOR10,Note: 5,gpt-4.1,3.02,724
BRE14,Note: 4,gpt-4.1,0.85,840
LYO05,Note: 5,gpt-4.1,2.46,942
GRE07,Note: 5,gpt-4.1,0.76,836
POF03,Note: 5,gpt-4.1,1.46,985
BFC09,Note: 5,gpt-4.1,2.14,792
BFC10,Note: 5,gpt-4.1,1.57,732
GRE01,Note: 5,gpt-4.1,1.01,798
OCM08,Note: 5,gpt-4.1,1.71,758
LYO01,Note: 5,gpt-4.1,1.37,864
BOD11,Note: 5,gpt-4.1,2.01,742
LRE02,Note: 5,gpt-4.1,2.59,903
OCM07,Note: 5,gpt-4.1,0.96,910
SPC05,Note: 5,gpt-4.1,1.8,934
BOD04,Note: 5,gpt-4.1,1.8,801
POF05,Note: 5,gpt-4.1,2.55,829
SPC03,Note: 5,gpt-4.1,0.55,712
SOU01,Note: 5,gpt-4.1,1.36,956
OCM11,Note: 5,gpt-4.1,2.45,755
NOR04,Note: 5,gpt-4.1,0.7,725
SPC04,Note: 5,gpt-4.1,2.12,931
LDV05,Note: 5,gpt-4.1,1.73,957
ALS05,Note: 5,gpt-4.1,1.89,854
LYO10,Note: 5,gpt-4.1,1.37,926
OCM14,Note: 5,gpt-4.1,2.07,855
SOU07,Note: 5,gpt-4.1,2.82,933
BRE04,Note: 5,gpt-4.1,0.74,925
HES06,Note: 5,gpt-4.1,1.49,714
UCA02,Note: 5,gpt-4.1,1.42,782
PES07,Note: 5,gpt-4.1,2.51,778
UCA14,Note: 4,gpt-4.1,1.04,975
CFE05,Note: 5,gpt-4.1,2.75,856
PES03,Note: 5,gpt-4.1,1.52,849
ALS04,Note: 5,gpt-4.1,0.51,974
SOU14,Note: 4,gpt-4.1,1.82,739
CVL03,Note: 5,gpt-4.1,1.39,811
NOR12,Note: 5,gpt-4.1,1.95,961
OCM18,Note: 5,gpt-4.1,1.74,877
BFC02,Note: 5,gpt-4.1,2.14,994
CFE09,Note: 5,gpt-4.1,1.73,898
LDV08,Note: 5,gpt-4.1,1.9,808
SOU10,Note: 5,gpt-4.1,2.99,883
SOU09,Note: 4,gpt-4.1,0.56,680
ALS09,Note: 5,gpt-4.1,1.11,818
ALS11,Note: 5,gpt-4.1,1.98,974
GRE13,Note: 5,gpt-4.1,1.51,888
HES08,Note: 5,gpt-4.1,0.52,922
LDV09,Note: 5,gpt-4.1,3.0,763
LDV07,Note: 5,gpt-4.1,2.66,865
ALS10,Note: 5,gpt-4.1,1.24,937
OCM13,Note: 5,gpt-4.1,0.48,670
HES02,Note: 5,gpt-4.1,2.27,960
HES03,Note: 5,gpt-4.1,1.44,639
NOR05,Note: 5,gpt-4.1,2.67,840
LOR03,Note: 5,gpt-4.1,0.73,900
CVL02,Note: 5,gpt-4.1,1.86,927
UPS04,Note: 5,gpt-4.1,1.67,841
HES05,Note: 5,gpt-4.1,1.23,782
SEN02,Note: 5,gpt-4.1,2.49,916
BOD12,Note: 5,gpt-4.1,2.65,937
LYO11,Note: 5,gpt-4.1,0.71,891
BOD01,Note: 5,gpt-4.1,2.96,885
SOU13,Note: 5,gpt-4.1,0.6,914
CFE02,Note: 5,gpt-4.1,1.54,683
HES01,Note: 5,gpt-4.1,0.9,741
LOR08,Note: 5,gpt-4.1,0.6,820
LRE09,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4.1 in organization org-e5cFhZROxrXpgUfSrROrwa9Y on tokens per min (TPM): Limit 30000, Used 29264, Requested 808. Please try again in 144ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",gpt-4.1,0.0,0
BFC06,Note: 5,gpt-4.1,2.23,870
