ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: 2,gpt-4.1,0.7,504
SEN01,Note: 5,gpt-4.1,0.6,823
UCA11,Note: 5,gpt-4.1,1.92,885
UPS10,Note: 5,gpt-4.1,1.83,988
SPC08,Note: 5,gpt-4.1,1.21,795
LRE11,Note: 5,gpt-4.1,1.82,862
SOU15,Note: 4,gpt-4.1,3.26,937
UCA07,Note: 3,gpt-4.1,1.12,832
BRE16,Note: 5,gpt-4.1,1.32,943
SPC09,Note: 2,gpt-4.1,1.22,654
ALS08,Note: 5,gpt-4.1,2.96,979
PES08,Note: 5,gpt-4.1,1.62,819
LYO02,Note: 5,gpt-4.1,0.71,821
UCA05,Note: 4,gpt-4.1,2.34,834
CVL01,Note: 4,gpt-4.1,0.6,783
BOD07,Note: 5,gpt-4.1,2.86,884
ALS03,Note: 5,gpt-4.1,0.8,928
GRE03,Note: 3,gpt-4.1,2.75,730
PES06,Note: 5,gpt-4.1,0.56,816
OCM10,Note: 5,gpt-4.1,1.56,844
LOR02,Note: 5,gpt-4.1,1.85,836
UPL02,Note: 5,gpt-4.1,2.56,921
NOR10,Note: 4,gpt-4.1,0.91,736
BRE14,Note: 4,gpt-4.1,2.2,852
LYO05,Note: 4,gpt-4.1,0.91,954
GRE07,Note: 4,gpt-4.1,2.79,848
POF03,Note: 4,gpt-4.1,0.38,997
BFC09,Note: 4,gpt-4.1,3.16,804
BFC10,Note: 5,gpt-4.1,1.24,744
GRE01,Note: 5,gpt-4.1,0.96,810
OCM08,Note: 4,gpt-4.1,2.7,770
LYO01,Note: 5,gpt-4.1,0.7,876
BOD11,Note: 4,gpt-4.1,1.31,754
LRE02,Note: 5,gpt-4.1,1.53,915
OCM07,Note: 5,gpt-4.1,2.03,922
SPC05,Note: 5,gpt-4.1,1.93,946
BOD04,Note: 4,gpt-4.1,1.42,813
POF05,Note: 5,gpt-4.1,1.62,841
SPC03,Note: 5,gpt-4.1,2.86,724
SOU01,Note: 4,gpt-4.1,0.5,968
OCM11,Note: 5,gpt-4.1,1.32,767
NOR04,Note: 5,gpt-4.1,1.93,737
SPC04,Note: 5,gpt-4.1,1.63,943
LDV05,Note: 5,gpt-4.1,2.03,969
ALS05,Note: 4,gpt-4.1,2.09,866
LYO10,Note: 4,gpt-4.1,1.3,938
OCM14,Note: 4,gpt-4.1,1.88,867
SOU07,Note: 4,gpt-4.1,1.74,945
BRE04,Note: 4,gpt-4.1,2.03,937
HES06,Note: 5,gpt-4.1,1.63,726
UCA02,Note: 3,gpt-4.1,1.36,794
PES07,Note: 4,gpt-4.1,1.77,790
UCA14,Note: 4,gpt-4.1,2.03,987
CFE05,Note: 4,gpt-4.1,2.65,868
PES03,Note: 5,gpt-4.1,0.6,861
ALS04,Note: 5,gpt-4.1,2.31,986
SOU14,Note: 3,gpt-4.1,1.0,751
CVL03,Note: 5,gpt-4.1,1.87,823
NOR12,Note: 5,gpt-4.1,2.64,973
OCM18,Note: 4,gpt-4.1,0.45,889
BFC02,Note: 4,gpt-4.1,2.85,1006
CFE09,Note: 5,gpt-4.1,2.39,910
LDV08,Note: 4,gpt-4.1,0.63,820
SOU10,Note: 4,gpt-4.1,2.72,895
SOU09,Note: 4,gpt-4.1,1.31,692
ALS09,Note: 5,gpt-4.1,1.21,830
ALS11,Note: 5,gpt-4.1,2.8,986
GRE13,Note: 4,gpt-4.1,0.63,900
HES08,Note: 5,gpt-4.1,2.05,934
LDV09,Note: 5,gpt-4.1,1.12,775
LDV07,Note: 5,gpt-4.1,1.83,877
ALS10,Note: 5,gpt-4.1,2.86,949
OCM13,Note: 5,gpt-4.1,0.71,682
HES02,Note: 5,gpt-4.1,1.43,972
HES03,Note: 4,gpt-4.1,2.85,651
NOR05,Note: 4,gpt-4.1,0.61,852
LOR03,Note: 4,gpt-4.1,1.9,912
CVL02,Note: 5,gpt-4.1,1.68,939
UPS04,Note: 5,gpt-4.1,1.32,853
HES05,Note: 4,gpt-4.1,1.53,794
SEN02,Note: 4,gpt-4.1,3.27,928
BOD12,Note: 4,gpt-4.1,1.02,949
LYO11,Note: 5,gpt-4.1,1.42,903
BOD01,Note: 4,gpt-4.1,3.06,897
SOU13,Note: 5,gpt-4.1,0.91,926
CFE02,Note: 4,gpt-4.1,1.31,695
HES01,Note: 4,gpt-4.1,0.76,753
LOR08,Note: 4,gpt-4.1,2.18,832
LRE09,Note: 3,gpt-4.1,2.86,741
BFC06,Note: 5,gpt-4.1,0.5,882
