ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: B,gpt-4.1,0.69,511
SEN01,Note: A,gpt-4.1,0.39,830
UCA11,Note: A,gpt-4.1,0.52,892
UPS10,Note: A,gpt-4.1,0.67,995
SPC08,Note: A,gpt-4.1,4.29,802
LRE11,Note: A,gpt-4.1,0.72,869
SOU15,Note: A,gpt-4.1,0.81,944
UCA07,Note: A,gpt-4.1,0.7,839
BRE16,Note: A,gpt-4.1,0.6,950
SPC09,Note: A,gpt-4.1,1.94,661
ALS08,Note: A,gpt-4.1,0.9,986
PES08,Note: B,gpt-4.1,2.85,826
LYO02,Note: A,gpt-4.1,0.58,828
UCA05,Note: A,gpt-4.1,1.06,841
CVL01,Note: A,gpt-4.1,1.99,790
BOD07,Note: A,gpt-4.1,1.27,891
ALS03,Note: A,gpt-4.1,1.94,935
GRE03,Note: A,gpt-4.1,0.69,737
PES06,Note: A,gpt-4.1,2.19,823
OCM10,Note: A,gpt-4.1,1.72,851
LOR02,Note: A,gpt-4.1,1.78,843
UPL02,Note: A,gpt-4.1,2.1,928
NOR10,Note: A,gpt-4.1,2.55,743
BRE14,Note: A,gpt-4.1,0.7,859
LYO05,Note: B,gpt-4.1,2.14,961
GRE07,Note: A,gpt-4.1,1.72,855
POF03,Note: A,gpt-4.1,3.57,1004
BFC09,Note: B,gpt-4.1,0.58,811
BFC10,Note: B,gpt-4.1,0.7,751
GRE01,Note: A,gpt-4.1,1.75,817
OCM08,Note: A,gpt-4.1,1.33,777
LYO01,Note: A,gpt-4.1,1.77,883
BOD11,Note: A,gpt-4.1,1.47,761
LRE02,Note: A,gpt-4.1,1.55,922
OCM07,Note: B,gpt-4.1,0.51,929
SPC05,Note: A,gpt-4.1,3.32,953
BOD04,Note: A,gpt-4.1,2.74,820
POF05,Note: A,gpt-4.1,0.7,848
SPC03,Note: A,gpt-4.1,1.47,731
SOU01,Note: A,gpt-4.1,2.05,975
OCM11,Note: B,gpt-4.1,1.07,774
NOR04,Note: A,gpt-4.1,2.83,744
SPC04,Note: B,gpt-4.1,1.98,950
LDV05,Note: A,gpt-4.1,0.64,976
ALS05,Note: A,gpt-4.1,3.16,873
LYO10,Note: A,gpt-4.1,0.65,945
OCM14,Note: B,gpt-4.1,1.92,874
SOU07,Note: A,gpt-4.1,2.92,952
BRE04,Note: A,gpt-4.1,0.72,944
HES06,Note: A,gpt-4.1,1.4,733
UCA02,Note: A,gpt-4.1,1.73,801
PES07,Note: A,gpt-4.1,1.62,797
UCA14,Note: A,gpt-4.1,1.47,994
CFE05,Note: A,gpt-4.1,2.04,875
PES03,Note: A,gpt-4.1,1.66,868
ALS04,Note: A,gpt-4.1,2.05,993
SOU14,Note: A,gpt-4.1,1.46,758
CVL03,Note: A,gpt-4.1,1.78,830
NOR12,Note: A,gpt-4.1,1.94,980
OCM18,Note: A,gpt-4.1,1.72,896
BFC02,Note: A,gpt-4.1,2.02,1013
CFE09,Note: B,gpt-4.1,1.93,917
LDV08,Note: B,gpt-4.1,1.25,827
SOU10,Note: A,gpt-4.1,2.16,902
SOU09,Note: A,gpt-4.1,2.46,699
ALS09,Note: A,gpt-4.1,0.64,837
ALS11,Note: A,gpt-4.1,1.69,993
GRE13,Note: A,gpt-4.1,1.76,907
HES08,Note: A,gpt-4.1,1.93,941
LDV09,Note: B,gpt-4.1,1.62,782
LDV07,Note: A,gpt-4.1,1.86,884
ALS10,Note: A,gpt-4.1,2.08,956
OCM13,Note: A,gpt-4.1,1.03,689
HES02,Note: A,gpt-4.1,2.62,979
HES03,Note: B,gpt-4.1,0.53,658
NOR05,Note: A,gpt-4.1,2.69,859
LOR03,Note: A,gpt-4.1,0.55,919
CVL02,Note: B,gpt-4.1,3.47,946
UPS04,Note: A,gpt-4.1,6.95,860
HES05,Note: A,gpt-4.1,0.58,801
SEN02,Note: A,gpt-4.1,0.73,935
BOD12,Note: A,gpt-4.1,0.59,956
LYO11,Note: A,gpt-4.1,0.6,910
BOD01,Note: A,gpt-4.1,0.6,904
SOU13,Note: A,gpt-4.1,1.21,933
CFE02,Note: A,gpt-4.1,1.27,702
HES01,Note: A,gpt-4.1,2.17,760
LOR08,Note: A,gpt-4.1,1.0,839
LRE09,Note: A,gpt-4.1,2.44,748
BFC06,Note: A,gpt-4.1,1.22,889
