ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: B,gpt-4.1,0.7,512
SEN01,Note: C,gpt-4.1,1.73,831
UCA11,Note: A,gpt-4.1,1.62,893
UPS10,Note: C,gpt-4.1,1.93,996
SPC08,Note: C,gpt-4.1,5.92,803
LRE11,Note: C,gpt-4.1,0.68,870
SOU15,Note: C,gpt-4.1,0.72,945
UCA07,Note: C,gpt-4.1,0.7,840
BRE16,Note: C,gpt-4.1,0.5,951
SPC09,Note: C,gpt-4.1,1.42,662
ALS08,Note: C,gpt-4.1,2.08,987
PES08,Note: C,gpt-4.1,1.58,827
LYO02,Note: C,gpt-4.1,2.24,829
UCA05,Note: C,gpt-4.1,1.32,842
CVL01,Note: C,gpt-4.1,2.55,791
BOD07,Note: C,gpt-4.1,1.0,892
ALS03,Note: C,gpt-4.1,1.41,936
GRE03,Note: C,gpt-4.1,1.74,738
PES06,Note: C,gpt-4.1,2.65,824
OCM10,Note: C,gpt-4.1,1.62,852
LOR02,Note: C,gpt-4.1,2.13,844
UPL02,Note: B,gpt-4.1,0.5,929
NOR10,Note: C,gpt-4.1,2.22,744
BRE14,Note: C,gpt-4.1,1.07,860
LYO05,Note: C,gpt-4.1,1.8,962
GRE07,Note: C,gpt-4.1,1.55,856
POF03,Note: C,gpt-4.1,1.9,1005
BFC09,Note: C,gpt-4.1,1.74,812
BFC10,Note: C,gpt-4.1,2.48,752
GRE01,Note: C,gpt-4.1,0.4,818
OCM08,Note: B,gpt-4.1,2.3,778
LYO01,Note: C,gpt-4.1,1.34,884
BOD11,Note: C,gpt-4.1,1.09,762
LRE02,Note: C,gpt-4.1,1.93,923
OCM07,Note: C,gpt-4.1,3.06,930
SPC05,Note: C,gpt-4.1,0.91,954
BOD04,Note: C,gpt-4.1,1.73,821
POF05,Note: A,gpt-4.1,1.52,849
SPC03,Note: C,gpt-4.1,1.73,732
SOU01,Note: C,gpt-4.1,1.42,976
OCM11,Note: C,gpt-4.1,2.75,775
NOR04,Note: C,gpt-4.1,0.7,745
SPC04,Note: C,gpt-4.1,1.85,951
LDV05,Note: C,gpt-4.1,0.58,977
ALS05,Note: C,gpt-4.1,4.08,874
LYO10,Note: C,gpt-4.1,0.76,946
OCM14,Note: B,gpt-4.1,2.18,875
SOU07,Note: C,gpt-4.1,1.26,953
BRE04,Note: C,gpt-4.1,2.05,945
HES06,Note: B,gpt-4.1,0.72,734
UCA02,Note: C,gpt-4.1,2.6,802
PES07,Note: C,gpt-4.1,2.43,798
UCA14,Note: C,gpt-4.1,0.6,995
CFE05,Note: C,gpt-4.1,2.45,876
PES03,Note: C,gpt-4.1,2.13,869
ALS04,Note: C,gpt-4.1,1.32,994
SOU14,Note: C,gpt-4.1,1.32,759
CVL03,Note: A,gpt-4.1,1.62,831
NOR12,Note: C,gpt-4.1,2.85,981
OCM18,Note: C,gpt-4.1,0.5,897
BFC02,Note: A,gpt-4.1,2.35,1014
CFE09,Note: C,gpt-4.1,3.06,918
LDV08,Note: C,gpt-4.1,0.6,828
SOU10,Note: C,gpt-4.1,2.04,903
SOU09,Note: C,gpt-4.1,2.14,700
ALS09,Note: C,gpt-4.1,0.7,838
ALS11,Note: C,gpt-4.1,2.3,994
GRE13,Note: C,gpt-4.1,1.05,908
HES08,Note: C,gpt-4.1,2.4,942
LDV09,Note: C,gpt-4.1,2.28,783
LDV07,Note: C,gpt-4.1,0.81,885
ALS10,Note: C,gpt-4.1,1.83,957
OCM13,Note: B,gpt-4.1,2.86,690
HES02,Note: C,gpt-4.1,0.75,980
HES03,Note: C,gpt-4.1,1.16,659
NOR05,Note: C,gpt-4.1,1.42,860
LOR03,Note: C,gpt-4.1,2.14,920
CVL02,Note: C,gpt-4.1,2.85,947
UPS04,Note: C,gpt-4.1,0.5,861
HES05,Note: C,gpt-4.1,1.73,802
SEN02,Note: C,gpt-4.1,2.86,936
BOD12,Note: C,gpt-4.1,1.85,957
LYO11,Note: C,gpt-4.1,0.69,911
BOD01,Note: C,gpt-4.1,2.14,905
SOU13,Note: C,gpt-4.1,1.49,934
CFE02,Note: C,gpt-4.1,2.48,703
HES01,Note: C,gpt-4.1,0.7,761
LOR08,Note: C,gpt-4.1,1.52,840
LRE09,Note: C,gpt-4.1,1.74,749
BFC06,Note: C,gpt-4.1,1.92,890
