ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: B,gpt-4.1,2.85,540
SEN01,Note: C,gpt-4.1,0.52,859
UCA11,Note: C,gpt-4.1,2.49,921
UPS10,Note: C,gpt-4.1,0.54,1024
SPC08,Note: C,gpt-4.1,2.02,831
LRE11,Note: C,gpt-4.1,1.63,898
SOU15,Note: C,gpt-4.1,2.04,973
UCA07,Note: B,gpt-4.1,1.93,868
BRE16,Note: C,gpt-4.1,1.42,979
SPC09,Note: B,gpt-4.1,1.83,690
ALS08,Note: C,gpt-4.1,2.14,1015
PES08,Note: C,gpt-4.1,1.37,855
LYO02,Note: C,gpt-4.1,1.78,857
UCA05,Note: B,gpt-4.1,1.92,870
CVL01,Note: C,gpt-4.1,0.72,819
BOD07,Note: C,gpt-4.1,2.44,920
ALS03,Note: B,gpt-4.1,1.83,964
GRE03,Note: C,gpt-4.1,1.52,766
PES06,Note: C,gpt-4.1,1.83,852
OCM10,Note: C,gpt-4.1,1.93,880
LOR02,Note: C,gpt-4.1,2.75,872
UPL02,Note: C,gpt-4.1,1.83,957
NOR10,Note: C,gpt-4.1,0.7,772
BRE14,Note: C,gpt-4.1,2.56,888
LYO05,Note: C,gpt-4.1,0.89,990
GRE07,Note: C,gpt-4.1,2.44,884
POF03,Note: C,gpt-4.1,1.53,1033
BFC09,Note: C,gpt-4.1,1.26,840
BFC10,Note: C,gpt-4.1,0.75,780
GRE01,Note: C,gpt-4.1,3.46,846
OCM08,Note: C,gpt-4.1,0.45,806
LYO01,Note: C,gpt-4.1,2.08,912
BOD11,Note: C,gpt-4.1,1.65,790
LRE02,Note: C,gpt-4.1,2.13,951
OCM07,Note: C,gpt-4.1,1.62,958
SPC05,Note: C,gpt-4.1,2.24,982
BOD04,Note: C,gpt-4.1,1.83,849
POF05,Note: C,gpt-4.1,2.44,877
SPC03,Note: B,gpt-4.1,0.63,760
SOU01,Note: C,gpt-4.1,1.69,1004
OCM11,Note: C,gpt-4.1,1.42,803
NOR04,Note: C,gpt-4.1,1.83,773
SPC04,Note: C,gpt-4.1,3.26,979
LDV05,Note: C,gpt-4.1,0.8,1005
ALS05,Note: B,gpt-4.1,1.73,902
LYO10,Note: C,gpt-4.1,4.71,974
OCM14,Note: C,gpt-4.1,1.09,903
SOU07,Note: C,gpt-4.1,1.63,981
BRE04,Note: C,gpt-4.1,1.42,973
HES06,Note: C,gpt-4.1,0.68,762
UCA02,Note: C,gpt-4.1,1.13,830
PES07,Note: C,gpt-4.1,1.73,826
UCA14,Note: B,gpt-4.1,2.14,1023
CFE05,Note: C,gpt-4.1,2.5,904
PES03,Note: C,gpt-4.1,0.65,897
ALS04,Note: C,gpt-4.1,2.03,1022
SOU14,Note: B,gpt-4.1,1.52,787
CVL03,Note: B,gpt-4.1,2.03,859
NOR12,Note: C,gpt-4.1,1.63,1009
OCM18,Note: C,gpt-4.1,2.13,925
BFC02,Note: B,gpt-4.1,2.1,1042
CFE09,Note: C,gpt-4.1,2.83,946
LDV08,Note: C,gpt-4.1,0.4,856
SOU10,Note: B,gpt-4.1,3.09,931
SOU09,Note: C,gpt-4.1,0.83,728
ALS09,Note: C,gpt-4.1,1.44,866
ALS11,Note: C,gpt-4.1,2.02,1022
GRE13,Note: C,gpt-4.1,2.95,936
HES08,Note: C,gpt-4.1,2.03,970
LDV09,Note: C,gpt-4.1,0.6,811
LDV07,Note: C,gpt-4.1,2.76,913
ALS10,Note: C,gpt-4.1,13.63,985
OCM13,Note: C,gpt-4.1,1.33,718
HES02,Note: C,gpt-4.1,0.55,1008
HES03,Note: C,gpt-4.1,0.74,687
NOR05,Note: B,gpt-4.1,0.54,888
LOR03,Note: C,gpt-4.1,0.53,948
CVL02,Note: C,gpt-4.1,0.52,975
UPS04,Note: B,gpt-4.1,0.54,889
HES05,Note: B,gpt-4.1,0.56,830
SEN02,Note: C,gpt-4.1,0.7,964
BOD12,Note: C,gpt-4.1,0.6,985
LYO11,Note: C,gpt-4.1,0.6,939
BOD01,Note: C,gpt-4.1,2.24,933
SOU13,Note: C,gpt-4.1,2.16,962
CFE02,Note: C,gpt-4.1,0.62,731
HES01,Note: C,gpt-4.1,3.33,789
LOR08,Note: C,gpt-4.1,0.5,868
LRE09,Note: C,gpt-4.1,0.7,777
BFC06,Note: C,gpt-4.1,3.17,918
