ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: 2,gpt-4.1,1.72,477
SEN01,Note: 4,gpt-4.1,0.6,796
UCA11,Note: 4,gpt-4.1,1.53,858
UPS10,Note: 4,gpt-4.1,2.13,961
SPC08,Note: 5,gpt-4.1,2.55,768
LRE11,Note: 5,gpt-4.1,0.7,835
SOU15,Note: 5,gpt-4.1,1.72,910
UCA07,Note: 3,gpt-4.1,1.94,805
BRE16,Note: 5,gpt-4.1,1.72,916
SPC09,Note: 3,gpt-4.1,0.6,627
ALS08,Note: 5,gpt-4.1,2.14,952
PES08,Note: 5,gpt-4.1,1.93,792
LYO02,Note: 4,gpt-4.1,1.42,794
UCA05,Note: 4,gpt-4.1,3.16,807
CVL01,Note: 5,gpt-4.1,0.6,756
BOD07,Note: 4,gpt-4.1,0.71,857
ALS03,Note: 4,gpt-4.1,2.35,901
GRE03,Note: 4,gpt-4.1,1.3,703
PES06,Note: 5,gpt-4.1,1.11,789
OCM10,Note: 5,gpt-4.1,2.65,817
LOR02,Note: 5,gpt-4.1,0.5,809
UPL02,Note: 4,gpt-4.1,1.98,894
NOR10,Note: 4,gpt-4.1,1.44,709
BRE14,Note: 4,gpt-4.1,1.66,825
LYO05,Note: 3,gpt-4.1,1.73,927
GRE07,Note: 4,gpt-4.1,1.62,821
POF03,Note: 5,gpt-4.1,2.55,970
BFC09,Note: 5,gpt-4.1,7.98,777
BFC10,Note: 4,gpt-4.1,0.7,717
GRE01,Note: 5,gpt-4.1,1.01,783
OCM08,Note: 4,gpt-4.1,0.66,743
LYO01,Note: 5,gpt-4.1,0.74,849
BOD11,Note: 4,gpt-4.1,0.72,727
LRE02,Note: 5,gpt-4.1,0.68,888
OCM07,Note: 5,gpt-4.1,0.5,895
SPC05,Note: 5,gpt-4.1,1.32,919
BOD04,Note: 4,gpt-4.1,2.04,786
POF05,Note: 4,gpt-4.1,0.81,814
SPC03,Note: 5,gpt-4.1,2.13,697
SOU01,Note: 5,gpt-4.1,0.91,941
OCM11,Note: 5,gpt-4.1,2.03,740
NOR04,Note: 4,gpt-4.1,1.44,710
SPC04,Note: 5,gpt-4.1,1.61,916
LDV05,Note: 5,gpt-4.1,1.42,942
ALS05,Note: 5,gpt-4.1,2.03,839
LYO10,Note: 4,gpt-4.1,2.03,911
OCM14,Note: 4,gpt-4.1,2.44,840
SOU07,Note: 5,gpt-4.1,0.91,918
BRE04,Note: 5,gpt-4.1,2.16,910
HES06,Note: 4,gpt-4.1,0.58,699
UCA02,Note: 4,gpt-4.1,1.63,767
PES07,Note: 5,gpt-4.1,1.83,763
UCA14,Note: 4,gpt-4.1,1.72,960
CFE05,Note: 5,gpt-4.1,1.73,841
PES03,Note: 5,gpt-4.1,1.73,834
ALS04,Note: 4,gpt-4.1,3.26,959
SOU14,Note: 4,gpt-4.1,0.9,724
CVL03,Note: 5,gpt-4.1,0.6,796
NOR12,Note: 5,gpt-4.1,2.9,946
OCM18,Note: 5,gpt-4.1,1.07,862
BFC02,Note: 5,gpt-4.1,2.85,979
CFE09,Note: 4,gpt-4.1,0.8,883
LDV08,Note: 4,gpt-4.1,1.22,793
SOU10,Note: 5,gpt-4.1,2.85,868
SOU09,Note: 4,gpt-4.1,1.21,665
ALS09,Note: 4,gpt-4.1,0.51,803
ALS11,Note: 5,gpt-4.1,2.34,959
GRE13,Note: 5,gpt-4.1,1.33,873
HES08,Note: 5,gpt-4.1,1.93,907
LDV09,Note: 4,gpt-4.1,1.32,748
LDV07,Note: 4,gpt-4.1,2.34,850
ALS10,Note: 4,gpt-4.1,1.37,922
OCM13,Note: 4,gpt-4.1,0.53,655
HES02,Note: 5,gpt-4.1,2.75,945
HES03,Note: 4,gpt-4.1,0.61,624
NOR05,Note: 4,gpt-4.1,2.76,825
LOR03,Note: 4,gpt-4.1,1.01,885
CVL02,Note: 5,gpt-4.1,1.89,912
UPS04,Note: 4,gpt-4.1,1.51,826
HES05,Note: 5,gpt-4.1,1.78,767
SEN02,Note: 4,gpt-4.1,1.51,901
BOD12,Note: 4,gpt-4.1,2.16,922
LYO11,Note: 5,gpt-4.1,1.16,876
BOD01,Note: 5,gpt-4.1,2.3,870
SOU13,Note: 5,gpt-4.1,2.55,899
CFE02,Note: 4,gpt-4.1,1.52,668
HES01,Note: 4,gpt-4.1,0.5,726
LOR08,Note: 4,gpt-4.1,1.32,805
LRE09,Note: 4,gpt-4.1,0.62,714
BFC06,Note: 5,gpt-4.1,2.43,855
