ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: A,gpt-4.1,0.65,477
SEN01,Note: C,gpt-4.1,0.59,796
UCA11,Note: C,gpt-4.1,0.4,858
UPS10,Note: C,gpt-4.1,0.65,961
SPC08,Note: C,gpt-4.1,0.55,768
LRE11,Note: C,gpt-4.1,0.7,835
SOU15,Note: C,gpt-4.1,0.5,910
UCA07,Note: B,gpt-4.1,0.8,805
BRE16,Note: C,gpt-4.1,0.62,916
SPC09,Note: B,gpt-4.1,0.76,627
ALS08,Note: C,gpt-4.1,0.74,952
PES08,Note: C,gpt-4.1,0.7,792
LYO02,Note: C,gpt-4.1,0.7,794
UCA05,Note: C,gpt-4.1,0.6,807
CVL01,Note: C,gpt-4.1,0.49,756
BOD07,Note: C,gpt-4.1,0.7,857
ALS03,Note: C,gpt-4.1,0.81,901
GRE03,Note: C,gpt-4.1,2.24,703
PES06,Note: C,gpt-4.1,0.47,789
OCM10,Note: C,gpt-4.1,0.74,817
LOR02,Note: C,gpt-4.1,0.49,809
UPL02,Note: C,gpt-4.1,0.6,894
NOR10,Note: C,gpt-4.1,0.71,709
BRE14,Note: C,gpt-4.1,0.7,825
LYO05,Note: C,gpt-4.1,0.9,927
GRE07,Note: C,gpt-4.1,0.8,821
POF03,Note: C,gpt-4.1,0.6,970
BFC09,Note: C,gpt-4.1,0.57,777
BFC10,Note: C,gpt-4.1,0.74,717
GRE01,Note: C,gpt-4.1,0.82,783
OCM08,Note: C,gpt-4.1,1.19,743
LYO01,Note: C,gpt-4.1,0.61,849
BOD11,Note: C,gpt-4.1,0.5,727
LRE02,Note: C,gpt-4.1,0.54,888
OCM07,Note: C,gpt-4.1,0.53,895
SPC05,Note: C,gpt-4.1,1.24,919
BOD04,Note: C,gpt-4.1,0.8,786
POF05,Note: C,gpt-4.1,0.7,814
SPC03,Note: C,gpt-4.1,0.57,697
SOU01,Note: C,gpt-4.1,0.73,941
OCM11,Note: C,gpt-4.1,0.88,740
NOR04,Note: C,gpt-4.1,1.25,710
SPC04,Note: C,gpt-4.1,0.9,916
LDV05,Note: C,gpt-4.1,0.8,942
ALS05,Note: C,gpt-4.1,1.12,839
LYO10,Note: C,gpt-4.1,0.66,911
OCM14,Note: C,gpt-4.1,1.05,840
SOU07,Note: C,gpt-4.1,0.5,918
BRE04,Note: C,gpt-4.1,0.81,910
HES06,Note: C,gpt-4.1,0.91,699
UCA02,Note: C,gpt-4.1,0.6,767
PES07,Note: C,gpt-4.1,0.6,763
UCA14,Note: C,gpt-4.1,0.7,960
CFE05,Note: C,gpt-4.1,1.12,841
PES03,Note: C,gpt-4.1,1.18,834
ALS04,Note: C,gpt-4.1,0.69,959
SOU14,Note: C,gpt-4.1,0.65,724
CVL03,Note: C,gpt-4.1,0.6,796
NOR12,Note: C,gpt-4.1,0.59,946
OCM18,Note: C,gpt-4.1,0.73,862
BFC02,Note: C,gpt-4.1,0.78,979
CFE09,Note: C,gpt-4.1,0.56,883
LDV08,Note: C,gpt-4.1,0.8,793
SOU10,Note: C,gpt-4.1,0.65,868
SOU09,Note: C,gpt-4.1,0.6,665
ALS09,Note: C,gpt-4.1,1.22,803
ALS11,Note: C,gpt-4.1,1.41,959
GRE13,Note: C,gpt-4.1,1.67,873
HES08,Note: C,gpt-4.1,2.08,907
LDV09,Note: C,gpt-4.1,2.55,748
LDV07,Note: C,gpt-4.1,0.6,850
ALS10,Note: C,gpt-4.1,2.85,922
OCM13,Note: C,gpt-4.1,1.22,655
HES02,Note: C,gpt-4.1,0.5,945
HES03,Note: C,gpt-4.1,2.55,624
NOR05,Note: C,gpt-4.1,0.6,825
LOR03,Note: C,gpt-4.1,1.83,885
CVL02,Note: C,gpt-4.1,2.65,912
UPS04,Note: C,gpt-4.1,0.38,826
HES05,Note: C,gpt-4.1,1.95,767
SEN02,Note: C,gpt-4.1,2.85,901
BOD12,Note: C,gpt-4.1,0.74,922
LYO11,Note: C,gpt-4.1,1.63,876
BOD01,Note: C,gpt-4.1,2.71,870
SOU13,Note: C,gpt-4.1,2.59,899
CFE02,Note: C,gpt-4.1,1.27,668
HES01,Note: C,gpt-4.1,0.9,726
LOR08,Note: C,gpt-4.1,0.7,805
LRE09,Note: C,gpt-4.1,1.01,714
BFC06,Note: C,gpt-4.1,2.15,855
