ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: A,gpt-4.1,0.59,512
SEN01,Note: B,gpt-4.1,0.41,831
UCA11,Note: B,gpt-4.1,1.92,893
UPS10,Note: B,gpt-4.1,3.05,996
SPC08,Note: B,gpt-4.1,2.34,803
LRE11,Note: B,gpt-4.1,2.34,870
SOU15,Note: B,gpt-4.1,1.93,945
UCA07,Note: B,gpt-4.1,0.91,840
BRE16,Note: B,gpt-4.1,2.24,951
SPC09,Note: C,gpt-4.1,0.71,662
ALS08,Note: B,gpt-4.1,2.03,987
PES08,Note: B,gpt-4.1,1.84,827
LYO02,Note: B,gpt-4.1,2.34,829
UCA05,Note: B,gpt-4.1,0.6,842
CVL01,Note: B,gpt-4.1,1.42,791
BOD07,Note: B,gpt-4.1,2.72,892
ALS03,Note: B,gpt-4.1,0.9,936
GRE03,Note: B,gpt-4.1,2.66,738
PES06,Note: B,gpt-4.1,0.93,824
OCM10,Note: B,gpt-4.1,1.57,852
LOR02,Note: B,gpt-4.1,1.47,844
UPL02,Note: B,gpt-4.1,0.8,929
NOR10,Note: B,gpt-4.1,0.7,744
BRE14,Note: B,gpt-4.1,3.97,860
LYO05,Note: B,gpt-4.1,1.83,962
GRE07,Note: C,gpt-4.1,3.16,856
POF03,Note: B,gpt-4.1,1.21,1005
BFC09,Note: B,gpt-4.1,0.46,812
BFC10,Note: B,gpt-4.1,1.67,752
GRE01,Note: B,gpt-4.1,2.58,818
OCM08,Note: B,gpt-4.1,1.69,778
LYO01,Note: B,gpt-4.1,0.5,884
BOD11,Note: B,gpt-4.1,1.51,762
LRE02,Note: B,gpt-4.1,2.01,923
OCM07,Note: B,gpt-4.1,1.76,930
SPC05,Note: B,gpt-4.1,1.76,954
BOD04,Note: B,gpt-4.1,3.04,821
POF05,Note: B,gpt-4.1,0.59,849
SPC03,Note: B,gpt-4.1,2.48,732
SOU01,Note: B,gpt-4.1,0.67,976
OCM11,Note: B,gpt-4.1,1.42,775
NOR04,Note: B,gpt-4.1,0.84,745
SPC04,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4.1 in organization org-e5cFhZROxrXpgUfSrROrwa9Y on tokens per min (TPM): Limit 30000, Used 29227, Requested 1050. Please try again in 554ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",gpt-4.1,0.0,0
LDV05,Note: B,gpt-4.1,1.22,977
ALS05,Note: B,gpt-4.1,0.97,874
LYO10,Note: B,gpt-4.1,2.08,946
OCM14,Note: B,gpt-4.1,3.08,875
SOU07,Note: B,gpt-4.1,0.75,953
BRE04,Note: B,gpt-4.1,1.31,945
HES06,Note: C,gpt-4.1,2.24,734
UCA02,Note: C,gpt-4.1,0.5,802
PES07,Note: B,gpt-4.1,1.81,798
UCA14,Note: B,gpt-4.1,2.76,995
CFE05,Note: B,gpt-4.1,1.83,876
PES03,Note: B,gpt-4.1,0.51,869
ALS04,Note: B,gpt-4.1,2.04,994
SOU14,Note: C,gpt-4.1,1.72,759
CVL03,Note: B,gpt-4.1,2.04,831
NOR12,Note: B,gpt-4.1,1.49,981
OCM18,Note: B,gpt-4.1,2.95,897
BFC02,Note: B,gpt-4.1,2.09,1014
CFE09,Note: B,gpt-4.1,0.71,918
LDV08,Note: B,gpt-4.1,0.6,828
SOU10,Note: B,gpt-4.1,0.75,903
SOU09,Note: B,gpt-4.1,1.78,700
ALS09,Note: B,gpt-4.1,3.56,838
ALS11,Note: B,gpt-4.1,1.93,994
GRE13,Note: B,gpt-4.1,1.64,908
HES08,Note: B,gpt-4.1,1.8,942
LDV09,Note: B,gpt-4.1,1.91,783
LDV07,Note: B,gpt-4.1,2.61,885
ALS10,Note: B,gpt-4.1,0.58,957
OCM13,Note: B,gpt-4.1,2.65,690
HES02,Note: B,gpt-4.1,1.68,980
HES03,Note: B,gpt-4.1,0.65,659
NOR05,Note: B,gpt-4.1,2.96,860
LOR03,Note: B,gpt-4.1,1.32,920
CVL02,Note: B,gpt-4.1,1.21,947
UPS04,Note: C,gpt-4.1,1.55,861
HES05,Note: B,gpt-4.1,2.62,802
SEN02,Note: B,gpt-4.1,2.87,936
BOD12,Note: B,gpt-4.1,0.63,957
LYO11,Note: B,gpt-4.1,0.53,911
BOD01,Note: B,gpt-4.1,2.44,905
SOU13,Note: B,gpt-4.1,3.08,934
CFE02,Note: B,gpt-4.1,0.59,703
HES01,Note: B,gpt-4.1,9.63,761
LOR08,Note: B,gpt-4.1,1.08,840
LRE09,Note: B,gpt-4.1,1.11,749
BFC06,Note: B,gpt-4.1,0.41,890
