ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: A,gpt-4.1,1.01,525
SEN01,Note: C,gpt-4.1,1.52,844
UCA11,Note: C,gpt-4.1,1.42,906
UPS10,Note: C,gpt-4.1,2.24,1009
SPC08,Note: C,gpt-4.1,1.87,816
LRE11,Note: C,gpt-4.1,1.48,883
SOU15,Note: C,gpt-4.1,2.04,958
UCA07,Note: A,gpt-4.1,1.93,853
BRE16,Note: C,gpt-4.1,1.63,964
SPC09,Note: B,gpt-4.1,1.52,675
ALS08,Note: C,gpt-4.1,1.93,1000
PES08,Note: C,gpt-4.1,2.66,840
LYO02,Note: C,gpt-4.1,1.82,842
UCA05,Note: C,gpt-4.1,1.53,855
CVL01,Note: C,gpt-4.1,1.12,804
BOD07,Note: C,gpt-4.1,0.96,905
ALS03,Note: C,gpt-4.1,3.14,949
GRE03,Note: C,gpt-4.1,0.44,751
PES06,Note: C,gpt-4.1,2.88,837
OCM10,Note: C,gpt-4.1,0.71,865
LOR02,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4.1 in organization org-e5cFhZROxrXpgUfSrROrwa9Y on tokens per min (TPM): Limit 30000, Used 29369, Requested 952. Please try again in 642ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",gpt-4.1,0.0,0
UPL02,Note: C,gpt-4.1,0.64,942
NOR10,Note: C,gpt-4.1,2.14,757
BRE14,Note: C,gpt-4.1,0.66,873
LYO05,Note: C,gpt-4.1,3.4,975
GRE07,Note: B,gpt-4.1,1.16,869
POF03,Note: C,gpt-4.1,0.66,1018
BFC09,Note: C,gpt-4.1,0.61,825
BFC10,Note: C,gpt-4.1,1.41,765
GRE01,Note: C,gpt-4.1,3.47,831
OCM08,Note: C,gpt-4.1,2.85,791
LYO01,Note: C,gpt-4.1,0.6,897
BOD11,Note: C,gpt-4.1,1.73,775
LRE02,Note: C,gpt-4.1,1.32,936
OCM07,Note: C,gpt-4.1,2.24,943
SPC05,Note: C,gpt-4.1,2.03,967
BOD04,Note: C,gpt-4.1,1.63,834
POF05,Note: C,gpt-4.1,3.16,862
SPC03,Note: C,gpt-4.1,1.22,745
SOU01,Note: C,gpt-4.1,0.6,989
OCM11,Note: C,gpt-4.1,1.62,788
NOR04,Note: C,gpt-4.1,1.37,758
SPC04,Note: C,gpt-4.1,3.11,964
LDV05,Note: C,gpt-4.1,0.7,990
ALS05,Note: C,gpt-4.1,2.85,887
LYO10,Note: C,gpt-4.1,2.03,959
OCM14,Note: C,gpt-4.1,0.6,888
SOU07,Note: C,gpt-4.1,1.72,966
BRE04,Note: C,gpt-4.1,2.34,958
HES06,Note: C,gpt-4.1,2.44,747
UCA02,Note: B,gpt-4.1,0.71,815
PES07,Note: C,gpt-4.1,1.18,811
UCA14,Note: B,gpt-4.1,2.08,1008
CFE05,Note: C,gpt-4.1,1.72,889
PES03,Note: C,gpt-4.1,2.24,882
ALS04,Note: C,gpt-4.1,1.52,1007
SOU14,Note: C,gpt-4.1,0.5,772
CVL03,Note: C,gpt-4.1,2.84,844
NOR12,Note: C,gpt-4.1,2.23,994
OCM18,Note: C,gpt-4.1,2.23,910
BFC02,Note: C,gpt-4.1,1.43,1027
CFE09,Note: C,gpt-4.1,1.52,931
LDV08,Note: C,gpt-4.1,2.14,841
SOU10,Note: C,gpt-4.1,2.66,916
SOU09,Note: C,gpt-4.1,0.71,713
ALS09,Note: C,gpt-4.1,1.41,851
ALS11,Note: C,gpt-4.1,1.83,1007
GRE13,Note: C,gpt-4.1,3.98,921
HES08,Note: C,gpt-4.1,0.6,955
LDV09,Note: C,gpt-4.1,0.71,796
LDV07,Note: C,gpt-4.1,1.72,898
ALS10,Note: C,gpt-4.1,3.06,970
OCM13,Note: C,gpt-4.1,0.81,703
HES02,Note: C,gpt-4.1,2.44,993
HES03,Note: C,gpt-4.1,0.6,672
NOR05,Note: C,gpt-4.1,1.52,873
LOR03,Note: C,gpt-4.1,2.14,933
CVL02,Note: C,gpt-4.1,2.85,960
UPS04,Note: C,gpt-4.1,1.73,874
HES05,Note: C,gpt-4.1,0.6,815
SEN02,Note: C,gpt-4.1,2.24,949
BOD12,Note: C,gpt-4.1,1.89,970
LYO11,Note: C,gpt-4.1,1.37,924
BOD01,Note: C,gpt-4.1,1.59,918
SOU13,Note: C,gpt-4.1,2.48,947
CFE02,Note: B,gpt-4.1,2.86,716
HES01,Note: C,gpt-4.1,0.81,774
LOR08,Note: C,gpt-4.1,1.11,853
LRE09,Note: C,gpt-4.1,2.14,762
BFC06,Note: C,gpt-4.1,0.6,903
