ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: B,gpt-4o,4.6,3007
SEN01,Note: B,gpt-4o,0.84,3708
UCA11,Note: B,gpt-4o,14.11,3762
UPS10,Note: B,gpt-4o,7.76,4080
SPC08,Note: B,gpt-4o,7.31,3562
LRE11,Note: B,gpt-4o,7.61,3592
SOU15,Note: B,gpt-4o,6.52,3513
UCA07,Note: C,gpt-4o,7.81,3482
BRE16,Note: B,gpt-4o,7.25,3881
SPC09,Note: B,gpt-4o,1.97,3510
ALS08,Note: B,gpt-4o,14.56,3931
PES08,Note: B,gpt-4o,5.95,3760
LYO02,Note: B,gpt-4o,6.55,3519
UCA05,Note: C,gpt-4o,7.74,3719
CVL01,Note: B,gpt-4o,8.45,3430
BOD07,Note: B,gpt-4o,5.67,3738
ALS03,Note: B,gpt-4o,7.45,3813
GRE03,Note: B,gpt-4o,8.6,3410
PES06,Note: B,gpt-4o,6.22,3668
OCM10,Note: B,gpt-4o,7.74,3721
LOR02,Note: B,gpt-4o,7.36,3868
UPL02,Note: B,gpt-4o,9.26,3854
NOR10,Note: B,gpt-4o,6.3,3415
BRE14,Note: B,gpt-4o,8.06,3937
LYO05,Note: C,gpt-4o,0.87,4063
GRE07,Note: B,gpt-4o,14.87,3735
POF03,Note: B,gpt-4o,6.47,4141
BFC09,Note: B,gpt-4o,7.59,3653
BFC10,Note: B,gpt-4o,6.49,3518
GRE01,Note: B,gpt-4o,8.61,3602
OCM08,Note: C,gpt-4o,7.21,3384
LYO01,Note: B,gpt-4o,7.97,3978
BOD11,Note: B,gpt-4o,0.97,3454
LRE02,Note: B,gpt-4o,11.37,3680
OCM07,Note: B,gpt-4o,0.88,3733
SPC05,Note: B,gpt-4o,14.86,3940
BOD04,Note: B,gpt-4o,7.48,3807
POF05,Note: B,gpt-4o,7.73,3672
SPC03,Note: B,gpt-4o,6.6,3536
SOU01,Note: B,gpt-4o,7.18,3560
OCM11,Note: C,gpt-4o,7.08,3561
NOR04,Note: B,gpt-4o,6.46,3249
SPC04,Note: B,gpt-4o,7.83,3905
LDV05,Note: B,gpt-4o,7.6,3904
ALS05,Note: B,gpt-4o,7.85,3668
LYO10,Note: B,gpt-4o,6.99,3859
OCM14,Note: B,gpt-4o,6.87,3487
SOU07,Note: B,gpt-4o,7.95,3744
BRE04,Note: B,gpt-4o,6.79,3695
HES06,Note: B,gpt-4o,0.92,3601
UCA02,Note: B,gpt-4o,13.86,3569
PES07,Note: B,gpt-4o,6.79,3532
UCA14,Note: B,gpt-4o,9.29,4003
CFE05,Note: B,gpt-4o,6.25,3692
PES03,Note: B,gpt-4o,7.1,3508
ALS04,Note: B,gpt-4o,7.97,4157
SOU14,Note: C,gpt-4o,9.2,3618
CVL03,Note: B,gpt-4o,5.02,3581
NOR12,Note: B,gpt-4o,7.84,3908
OCM18,Note: B,gpt-4o,9.17,3776
BFC02,Note: B,gpt-4o,8.74,3816
CFE09,Note: B,gpt-4o,5.76,3979
LDV08,Note: B,gpt-4o,8.22,3865
SOU10,Note: B,gpt-4o,5.69,3337
SOU09,Note: B,gpt-4o,8.78,3337
ALS09,Note: B,gpt-4o,5.51,3566
ALS11,Note: B,gpt-4o,7.97,4205
GRE13,Note: B,gpt-4o,7.6,3590
HES08,Note: B,gpt-4o,0.85,4054
LDV09,Note: B,gpt-4o,9.32,3563
LDV07,Note: B,gpt-4o,12.16,3763
ALS10,Note: B,gpt-4o,10.05,3656
OCM13,Note: B,gpt-4o,3.29,3218
HES02,Note: B,gpt-4o,10.05,3954
HES03,Note: B,gpt-4o,4.3,3099
NOR05,Note: B,gpt-4o,0.71,3746
LOR03,Note: B,gpt-4o,14.0,3694
CVL02,Note: B,gpt-4o,6.74,3421
UPS04,Note: B,gpt-4o,0.85,3896
HES05,Note: B,gpt-4o,14.85,3812
SEN02,Note: B,gpt-4o,7.49,3730
BOD12,Note: B,gpt-4o,8.34,3948
LYO11,Note: B,gpt-4o,9.12,3960
BOD01,Note: B,gpt-4o,5.84,3779
SOU13,Note: B,gpt-4o,8.31,3942
CFE02,Note: B,gpt-4o,6.03,3370
HES01,Note: A,gpt-4o,8.34,3234
LOR08,Note: B,gpt-4o,8.34,3710
LRE09,Note: C,gpt-4o,6.25,3560
BFC06,Note: B,gpt-4o,5.87,3789
