ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: 2,gpt-4o,0.73,1907
SEN01,Note: 5,gpt-4o,0.85,2148
UCA11,Note: 4,gpt-4o,7.1,2259
UPS10,Note: 5,gpt-4o,0.97,2313
SPC08,Note: 4,gpt-4o,11.04,2169
LRE11,Note: 4,gpt-4o,4.37,2064
SOU15,Note: 5,gpt-4o,0.88,2311
UCA07,Note: 4,gpt-4o,8.86,2495
BRE16,Note: 5,gpt-4o,5.73,2606
SPC09,Note: 4,gpt-4o,6.13,2177
ALS08,Note: 5,gpt-4o,2.82,2353
PES08,Note: 5,gpt-4o,4.41,2115
LYO02,Note: 5,gpt-4o,4.41,2335
UCA05,Note: 3,gpt-4o,4.03,2130
CVL01,Note: 4,gpt-4o,3.43,1985
BOD07,Note: 4,gpt-4o,4.65,2287
ALS03,Note: 4,gpt-4o,4.87,2224
GRE03,Note: 4,gpt-4o,0.83,2393
PES06,Note: 4,gpt-4o,2.97,2261
OCM10,Note: 5,gpt-4o,9.45,2247
LOR02,Note: 5,gpt-4o,0.6,2132
UPL02,Note: 4,gpt-4o,0.7,2464
NOR10,Note: 4,gpt-4o,5.56,2078
BRE14,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-e5cFhZROxrXpgUfSrROrwa9Y on tokens per min (TPM): Limit 30000, Used 28516, Requested 2396. Please try again in 1.824s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",gpt-4o,0.0,0
LYO05,Note: 4,gpt-4o,0.71,2078
GRE07,Note: 4,gpt-4o,3.85,2144
POF03,Note: 4,gpt-4o,4.6,2293
BFC09,Note: 4,gpt-4o,6.98,2347
BFC10,Note: 4,gpt-4o,2.2,2267
GRE01,Note: 5,gpt-4o,4.42,2333
OCM08,Note: 2,gpt-4o,4.65,2293
LYO01,Note: 5,gpt-4o,0.84,2390
BOD11,Note: 4,gpt-4o,0.6,1878
LRE02,Note: 5,gpt-4o,10.99,2240
OCM07,Note: 4,gpt-4o,6.61,2436
SPC05,Note: 5,gpt-4o,0.84,2460
BOD04,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-e5cFhZROxrXpgUfSrROrwa9Y on tokens per min (TPM): Limit 30000, Used 28582, Requested 2257. Please try again in 1.678s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",gpt-4o,0.0,0
POF05,Note: 3,gpt-4o,1.46,2504
SPC03,Note: 4,gpt-4o,4.19,2247
SOU01,Note: 5,gpt-4o,0.7,2342
OCM11,Note: 5,gpt-4o,5.84,2109
NOR04,Note: 5,gpt-4o,5.59,2079
SPC04,Note: 5,gpt-4o,5.95,2466
LDV05,Note: 5,gpt-4o,1.37,2294
ALS05,Note: 3,gpt-4o,0.85,2208
LYO10,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-e5cFhZROxrXpgUfSrROrwa9Y on tokens per min (TPM): Limit 30000, Used 27781, Requested 2299. Please try again in 160ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",gpt-4o,0.0,0
OCM14,Note: 4,gpt-4o,1.71,2410
SOU07,Note: 4,gpt-4o,6.74,2147
BRE04,Note: 4,gpt-4o,0.96,2480
HES06,Note: 3,gpt-4o,1.26,1850
UCA02,Note: 4,gpt-4o,0.55,2168
PES07,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-e5cFhZROxrXpgUfSrROrwa9Y on tokens per min (TPM): Limit 30000, Used 28214, Requested 2300. Please try again in 1.028s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",gpt-4o,0.0,0
UCA14,Note: 4,gpt-4o,4.41,2432
CFE05,Note: 4,gpt-4o,5.15,2531
PES03,Note: 5,gpt-4o,0.82,2306
ALS04,Note: 5,gpt-4o,6.28,2360
SOU14,Note: 4,gpt-4o,0.59,2125
CVL03,Note: 4,gpt-4o,6.38,2366
NOR12,Note: 4,gpt-4o,0.71,2487
OCM18,Note: 4,gpt-4o,11.25,2334
BFC02,Note: 4,gpt-4o,4.34,2302
CFE09,Note: 4,gpt-4o,0.59,2112
LDV08,Note: 5,gpt-4o,9.84,2145
SOU10,Note: 5,gpt-4o,5.19,2237
SOU09,Note: 4,gpt-4o,0.66,2066
ALS09,Note: 5,gpt-4o,4.64,2032
ALS11,Note: 5,gpt-4o,0.72,2328
GRE13,Note: 5,gpt-4o,0.6,2563
HES08,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-e5cFhZROxrXpgUfSrROrwa9Y on tokens per min (TPM): Limit 30000, Used 29777, Requested 2317. Please try again in 4.188s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",gpt-4o,0.0,0
LDV09,Note: 4,gpt-4o,0.96,2438
LDV07,Note: 4,gpt-4o,0.47,2173
ALS10,Note: 4,gpt-4o,12.03,2463
OCM13,Note: 3,gpt-4o,8.34,2196
HES02,Note: 5,gpt-4o,0.6,2174
HES03,Note: 4,gpt-4o,0.84,2096
NOR05,Note: 4,gpt-4o,0.71,2375
LOR03,Note: 4,gpt-4o,11.53,2357
CVL02,Note: 4,gpt-4o,0.72,2281
UPS04,Note: 5,gpt-4o,0.72,2149
HES05,Note: 4,gpt-4o,10.43,2457
SEN02,Note: 5,gpt-4o,0.72,2270
BOD12,Note: 5,gpt-4o,12.52,2612
LYO11,Note: 5,gpt-4o,4.29,2228
BOD01,Note: 4,gpt-4o,5.26,2440
SOU13,Note: 4,gpt-4o,4.54,2449
CFE02,Note: 5,gpt-4o,1.15,2238
HES01,Note: 4,gpt-4o,4.95,1877
LOR08,Note: 4,gpt-4o,6.01,2174
LRE09,Note: 4,gpt-4o,0.73,2264
BFC06,Note: 3,gpt-4o,11.28,2256
