ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: A,gpt-4o,5.46,3037
SEN01,Note: C,gpt-4o,9.15,3513
UCA11,Note: A,gpt-4o,7.36,3643
UPS10,Note: B,gpt-4o,7.52,4000
SPC08,Note: A,gpt-4o,5.45,3717
LRE11,Note: C,gpt-4o,0.71,3704
SOU15,Note: A,gpt-4o,14.52,3889
UCA07,Note: A,gpt-4o,7.23,3536
BRE16,Note: B,gpt-4o,9.69,3841
SPC09,Note: A,gpt-4o,5.03,3394
ALS08,Note: C,gpt-4o,9.71,4057
PES08,Note: A,gpt-4o,5.71,3365
LYO02,Note: A,gpt-4o,7.24,3531
UCA05,Note: A,gpt-4o,9.12,3636
CVL01,Note: A,gpt-4o,3.77,3507
BOD07,Note: A,gpt-4o,6.97,3475
ALS03,Note: C,gpt-4o,8.17,3927
GRE03,Note: A,gpt-4o,5.81,3003
PES06,Note: A,gpt-4o,7.59,3601
OCM10,Note: A,gpt-4o,7.97,3722
LOR02,Note: A,gpt-4o,14.74,3644
UPL02,Note: C,gpt-4o,0.95,3755
NOR10,Note: C,gpt-4o,6.29,3440
BRE14,Note: B,gpt-4o,7.48,3927
LYO05,Note: A,gpt-4o,7.47,3697
GRE07,Note: A,gpt-4o,6.2,3675
POF03,Note: A,gpt-4o,0.73,4016
BFC09,Note: B,gpt-4o,6.62,3454
BFC10,Note: C,gpt-4o,15.29,3672
GRE01,Note: C,gpt-4o,7.16,3671
OCM08,Note: A,gpt-4o,7.35,3527
LYO01,Note: B,gpt-4o,0.78,3603
BOD11,Note: C,gpt-4o,14.43,3349
LRE02,Note: A,gpt-4o,6.86,3892
OCM07,Note: A,gpt-4o,5.94,3488
SPC05,Note: A,gpt-4o,12.01,3775
BOD04,Note: C,gpt-4o,3.53,3790
POF05,Note: A,gpt-4o,8.32,3819
SPC03,Note: B,gpt-4o,8.71,3206
SOU01,Note: A,gpt-4o,4.78,3972
OCM11,Note: C,gpt-4o,6.93,3616
NOR04,Note: A,gpt-4o,9.25,3571
SPC04,Note: C,gpt-4o,0.79,3951
LDV05,Note: A,gpt-4o,15.27,4069
ALS05,Note: B,gpt-4o,7.45,3760
LYO10,Note: A,gpt-4o,7.38,4063
OCM14,Note: A,gpt-4o,6.12,3739
SOU07,Note: A,gpt-4o,10.18,3864
BRE04,Note: A,gpt-4o,7.48,3957
HES06,Note: C,gpt-4o,6.74,3424
UCA02,Note: A,gpt-4o,7.74,3562
PES07,Note: A,gpt-4o,6.84,3571
UCA14,Note: A,gpt-4o,7.16,3568
CFE05,Note: C,gpt-4o,4.96,3551
PES03,Note: C,gpt-4o,7.13,3678
ALS04,Note: A,gpt-4o,7.63,3485
SOU14,Note: A,gpt-4o,6.46,3218
CVL03,Note: A,gpt-4o,7.73,3662
NOR12,Note: A,gpt-4o,7.47,4150
OCM18,Note: C,gpt-4o,7.17,3753
BFC02,Note: B,gpt-4o,8.03,3806
CFE09,Note: C,gpt-4o,7.48,4039
LDV08,Note: A,gpt-4o,9.25,3480
SOU10,Note: A,gpt-4o,6.22,3712
SOU09,Note: A,gpt-4o,8.69,3213
ALS09,Note: C,gpt-4o,0.84,3456
ALS11,Note: A,gpt-4o,10.53,3979
GRE13,Note: A,gpt-4o,9.11,3954
HES08,Note: A,gpt-4o,8.22,3914
LDV09,Note: C,gpt-4o,7.34,3763
LDV07,Note: B,gpt-4o,6.65,3685
ALS10,Note: C,gpt-4o,0.51,4011
OCM13,Note: A,gpt-4o,14.8,3442
HES02,Note: A,gpt-4o,0.9,4206
HES03,Note: C,gpt-4o,8.63,3243
NOR05,Note: B,gpt-4o,12.55,3714
LOR03,Note: C,gpt-4o,8.3,3566
CVL02,Note: C,gpt-4o,5.88,3821
UPS04,Note: C,gpt-4o,7.65,3841
HES05,Note: C,gpt-4o,7.55,3477
SEN02,Note: <MASK>C,gpt-4o,8.8,3888
BOD12,Note: A,gpt-4o,5.67,3787
LYO11,Note: B,gpt-4o,10.43,3957
BOD01,Note: B,gpt-4o,0.69,3509
SOU13,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-e5cFhZROxrXpgUfSrROrwa9Y on tokens per min (TPM): Limit 30000, Used 26362, Requested 3972. Please try again in 668ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",gpt-4o,0.0,0
CFE02,Note: C,gpt-4o,2.07,3249
HES01,Note: C,gpt-4o,4.72,3676
LOR08,Note: A,gpt-4o,8.38,3643
LRE09,Note: C,gpt-4o,7.11,3407
BFC06,Note: C,gpt-4o,0.79,3684
