ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: 45,gpt-4o,1.96,2042
SEN01,Note: 70,gpt-4o,0.72,2361
UCA11,Note: 77,gpt-4o,1.46,2423
UPS10,Note: 52,gpt-4o,3.66,2526
SPC08,Note: 75,gpt-4o,2.45,2333
LRE11,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-e5cFhZROxrXpgUfSrROrwa9Y on tokens per min (TPM): Limit 30000, Used 28755, Requested 2735. Please try again in 2.98s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",gpt-4o,0.0,0
SOU15,Note: 76,gpt-4o,6.38,2475
UCA07,Note: 75,gpt-4o,2.93,2370
BRE16,Note: 93,gpt-4o,4.29,2481
SPC09,Note: 75,gpt-4o,4.27,2192
ALS08,Note: 75,gpt-4o,5.51,2517
PES08,Note: 72,gpt-4o,0.84,2357
LYO02,Note: 75,gpt-4o,8.59,2359
UCA05,Note: 75,gpt-4o,5.17,2372
CVL01,Note: 45,gpt-4o,0.94,2321
BOD07,Note: 76,gpt-4o,10.05,2422
ALS03,Note: 75,gpt-4o,0.8,2466
GRE03,Note: 92,gpt-4o,1.24,2268
PES06,Note: 95,gpt-4o,9.7,2354
OCM10,Note: 95,gpt-4o,4.77,2382
LOR02,Note: 72,gpt-4o,0.85,2374
UPL02,Note: 75,gpt-4o,9.1,2459
NOR10,Note: 75,gpt-4o,6.46,2274
BRE14,Note: 54,gpt-4o,1.01,2390
LYO05,Note: 70,gpt-4o,6.59,2492
GRE07,Note: 76,gpt-4o,6.74,2386
POF03,Note: 72,gpt-4o,5.28,2535
BFC09,Note: 75,gpt-4o,2.12,2342
BFC10,Note: 82,gpt-4o,4.72,2282
GRE01,Note: 75,gpt-4o,4.9,2348
OCM08,Note: 56,gpt-4o,4.16,2308
LYO01,Note: 95,gpt-4o,5.51,2414
BOD11,Note: 65,gpt-4o,6.61,2292
LRE02,Note: 75,gpt-4o,0.84,2453
OCM07,Note: 85,gpt-4o,0.58,2460
SPC05,Note: 94,gpt-4o,10.7,2484
BOD04,Note: 75,gpt-4o,6.68,2351
POF05,Note: 92,gpt-4o,3.98,2379
SPC03,Note: 92,gpt-4o,0.85,2262
SOU01,Note: 94,gpt-4o,0.76,2506
OCM11,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-e5cFhZROxrXpgUfSrROrwa9Y on tokens per min (TPM): Limit 30000, Used 28476, Requested 2597. Please try again in 2.146s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",gpt-4o,0.0,0
NOR04,Note: 85,gpt-4o,0.52,2275
SPC04,Note: 92,gpt-4o,7.86,2481
LDV05,Note: 74,gpt-4o,1.58,2507
ALS05,Note: 61,gpt-4o,5.48,2404
LYO10,Note: 69,gpt-4o,0.63,2476
OCM14,Note: 72,gpt-4o,6.99,2405
SOU07,Note: 92,gpt-4o,6.7,2483
BRE04,Note: 92,gpt-4o,6.4,2475
HES06,Note: 58,gpt-4o,3.68,2264
UCA02,Note: 75,gpt-4o,4.4,2332
PES07,Note: 75,gpt-4o,6.4,2328
UCA14,Note: 75,gpt-4o,3.78,1714
CFE05,Note: 92,gpt-4o,0.71,2406
PES03,Note: 77,gpt-4o,6.49,2399
ALS04,Note: 75,gpt-4o,5.16,2524
SOU14,Note: 92,gpt-4o,6.98,2289
CVL03,Note: 91,gpt-4o,0.6,2361
NOR12,Note: 92,gpt-4o,6.99,2511
OCM18,Note: 77,gpt-4o,0.72,2427
BFC02,Note: 75,gpt-4o,6.99,2544
CFE09,Note: 80,gpt-4o,7.24,2448
LDV08,Note: 78,gpt-4o,0.94,2358
SOU10,Note: 73,gpt-4o,8.12,2433
SOU09,Note: 75,gpt-4o,7.66,2230
ALS09,Note: 67,gpt-4o,1.4,2368
ALS11,Note: 75,gpt-4o,0.76,2524
GRE13,Note: 55,gpt-4o,6.69,2438
HES08,Note: 72,gpt-4o,0.97,2472
LDV09,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-e5cFhZROxrXpgUfSrROrwa9Y on tokens per min (TPM): Limit 30000, Used 27797, Requested 2708. Please try again in 1.009s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",gpt-4o,0.0,0
LDV07,Note: 75,gpt-4o,0.71,2415
ALS10,Note: 83,gpt-4o,3.54,2487
OCM13,Note: 65,gpt-4o,0.7,2220
HES02,Note: 35,gpt-4o,7.01,2510
HES03,Note: <MASK>,gpt-4o,6.13,2190
NOR05,Note: 67,gpt-4o,0.73,2390
LOR03,Note: 76,gpt-4o,1.18,2450
CVL02,Note: 78,gpt-4o,10.27,2477
UPS04,Note: 91,gpt-4o,7.29,2391
HES05,Note: 75,gpt-4o,4.64,2332
SEN02,Note: 75,gpt-4o,6.74,2466
BOD12,Note: 73,gpt-4o,0.72,2487
LYO11,Note: 67,gpt-4o,0.65,2441
BOD01,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-e5cFhZROxrXpgUfSrROrwa9Y on tokens per min (TPM): Limit 30000, Used 28348, Requested 2831. Please try again in 2.358s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",gpt-4o,0.0,0
SOU13,Note: 72,gpt-4o,0.69,2464
CFE02,Note: 92,gpt-4o,9.37,2233
HES01,Note: 75,gpt-4o,1.95,2291
LOR08,Note: 79,gpt-4o,5.04,2370
LRE09,Note: 65,gpt-4o,4.5,2279
BFC06,Note: 78,gpt-4o,3.13,1714
